"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
290,0,10,7,0,2.3990824,2.3990824,0
39,3,39,0,0,2.3990824,2.6880696,0
331,0,11,8,0,2.399353,2.399353,0
291,1,11,7,0,2.399353,2.3994236,0
248,0,8,6,0,2.4003718,2.4003718,0
249,1,9,6,0,2.4003718,2.4003818,0
1584,0,24,39,0,2.4484024,2.4484024,0
1328,1,8,33,0,2.4484024,2.4515662,0
1582,0,22,39,0,2.4484577,2.4484577,0
1583,1,23,39,0,2.4484577,2.451427,0
1580,0,20,39,0,2.4490745,2.4490745,0
1581,1,21,39,0,2.4490745,2.4510562,0
1586,0,26,39,0,2.4493911,2.4493911,0
1585,1,25,39,0,2.4493911,2.4525595,0
1578,0,18,39,0,2.4498715,2.4498715,0
1579,1,19,39,0,2.4498715,2.451021,0
1576,0,16,39,0,2.4506409,2.4506409,0
1577,1,17,39,0,2.4506409,2.4510372,0
1491,0,11,37,0,2.4509542,2.4509542,0
1574,1,14,39,0,2.4509542,2.451432,0
1410,0,10,35,0,2.4510131,2.4510131,0
1450,1,10,36,0,2.4510131,2.4512246,0
1533,0,13,38,0,2.4510505,2.4510505,0
1493,1,13,37,0,2.4510505,2.4512899,0
1288,0,8,32,0,2.4514873,2.4514873,0
1208,1,8,30,0,2.4514873,2.4515517,0
1588,0,28,39,0,2.4519713,2.4519713,0
1587,1,27,39,0,2.4519713,2.4549673,0
1590,0,30,39,0,2.4567308,2.4567308,0
1589,1,29,39,0,2.4567308,2.459224,0
1592,0,32,39,0,2.4642859,2.4642859,0
1591,1,31,39,0,2.4642859,2.4659503,0
1594,0,34,39,0,2.4752579,2.4752579,0
1593,1,33,39,0,2.4752579,2.4757888,0
