"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
620,0,20,15,0,2.4340277,2.4340277,0
0,3,0,0,0,2.4340277,5.8251181,0
308,0,28,7,0,2.7809842,2.7809842,0
348,1,28,8,0,2.7809842,2.7868128,0
683,0,3,17,0,2.9584036,2.9584036,0
685,1,5,17,0,2.9584036,2.9921577,0
642,0,2,16,0,2.9684763,2.9684763,0
682,1,2,17,0,2.9684763,2.9807553,0
1195,0,35,29,0,3.2122035,3.2122035,0
1155,1,35,28,0,3.2122035,3.219182,0
1197,0,37,29,0,3.2379661,3.2379661,0
1157,1,37,28,0,3.2379661,3.2496018,0
1199,0,39,29,0,3.2852814,3.2852814,0
1198,1,38,29,0,3.2852814,3.2977507,0
