"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,2.4082932,320,0,36,10,0,8,0
1,2.402427,1576,0,0,1,16,39,0
2,2.4016871,1578,0,0,1,18,39,0
3,2.4010653,1580,0,0,1,20,39,0
4,2.4005566,1582,0,0,1,22,39,0
5,2.4001555,1584,0,0,1,24,39,0
6,2.3998544,1586,0,0,1,26,39,0
7,2.3996491,1588,0,0,1,28,39,0
8,2.3995326,1590,0,0,1,30,39,0
9,2.3994977,1592,0,0,1,32,39,0
10,2.3995392,1594,0,0,1,34,39,0
11,2.3996513,1596,0,0,1,36,39,0
12,2.3998284,1598,0,0,1,38,39,0
13,2.4001789,1591,1,2,2,31,39,0
14,2.4002023,1593,1,0,4,33,39,0
15,2.4002299,1589,1,2,6,29,39,0
16,2.4002931,1595,1,0,8,35,39,0
17,2.4003608,1587,1,1,10,27,39,0
18,2.4004462,1597,1,2,12,37,39,0
19,2.4005792,1585,1,6,2,25,39,0
20,2.4008906,1583,1,12,2,23,39,0
21,2.4013021,1581,1,17,2,21,39,0
22,2.4018197,1579,1,21,2,19,39,0
23,2.4024489,1577,1,451,25,17,39,0
24,2.4086533,685,1,1024,38,5,17,0
25,2.4434955,39,3,1024,38,39,0,0
