"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,2.6018836,23,0,0,1,23,0,0
1,2.601907,25,0,0,1,25,0,0
2,2.6019316,27,0,0,1,27,0,0
3,2.6019568,29,0,0,1,29,0,0
4,2.6019819,31,0,0,1,31,0,0
5,2.6020067,33,0,0,1,33,0,0
6,2.6020308,35,0,0,1,35,0,0
7,2.6020534,37,0,0,1,37,0,0
8,2.6020732,39,0,0,1,39,0,0
9,2.6017933,46,0,0,1,6,1,0
10,2.6017911,48,0,1,2,8,1,0
11,2.6017919,89,0,0,1,9,2,0
12,2.6017935,86,1,1,3,6,2,0
13,2.6017938,49,1,118,13,9,1,0
14,2.6018848,22,1,21,2,22,0,0
15,2.6019104,24,1,18,2,24,0,0
16,2.6019375,26,1,19,2,26,0,0
17,2.6019654,28,1,17,2,28,0,0
18,2.601994,30,1,20,2,30,0,0
19,2.6020224,32,1,18,2,32,0,0
20,2.6020501,34,1,16,2,34,0,0
21,2.6020765,36,1,17,2,36,0,0
22,2.6021008,38,1,1310,39,38,0,0
23,2.6100986,1598,3,1310,39,38,39,0
