"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Persistence","ClusterID","TreeID","isDummyNode","TrueNodeId","isImportantPair","isMultiPersPairNode","BranchNodeID","Points:0","Points:1","Points:2"
0,2.851687,1590,3,1395,23,0.29772544,0,0,0,7,1,0,0,-43.297176,2.851687,0
2,2.6021526,701,1,1395,23,0.00035095215,0,0,0,6,0,0,1,-43.374718,2.6021526,0
2,2.6021526,701,1,1395,23,0.00035095215,0,0,1,6,0,0,1,-43.297176,2.6021526,0
4,2.60197,738,1,2,3,8.6784363e-05,0,0,0,4,0,0,2,-43.389603,2.60197,0
4,2.60197,738,1,2,3,8.6784363e-05,0,0,1,4,0,0,2,-43.374718,2.60197,0
6,2.6020823,702,1,2,1,0.00011324883,0,0,0,5,0,0,3,-43.359829,2.6020823,0
6,2.6020823,702,1,2,1,0.00011324883,0,0,1,5,0,0,3,-43.297176,2.6020823,0
8,2.6018016,739,0,1,1,0.00035095215,0,0,0,2,0,0,1,-43.374718,2.6018016,0
8,2.6018016,739,0,1,1,0.00035095215,0,0,1,2,0,0,1,-43.374718,2.6018016,0
10,2.6018832,698,0,0,1,8.6784363e-05,0,0,0,1,0,0,2,-43.389603,2.6018832,0
10,2.6018832,698,0,0,1,8.6784363e-05,0,0,1,1,0,0,2,-43.389603,2.6018832,0
12,2.5539615,679,0,192,17,0.29772544,0,0,0,0,1,0,0,-43.297176,2.5539615,0
12,2.5539615,679,0,192,17,0.29772544,0,0,1,0,1,0,0,-43.297176,2.5539615,0
14,2.601969,741,0,0,1,0.00011324883,0,0,0,3,0,0,3,-43.359829,2.601969,0
14,2.601969,741,0,0,1,0.00011324883,0,0,1,3,0,0,3,-43.359829,2.601969,0
