"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,96.195389,112,0,0,1,32,2,0
1,86.054375,191,0,0,1,31,4,0
2,71.956337,309,0,0,1,29,7,0
3,58.768738,388,0,0,1,28,9,0
4,0.08912985,819,0,1,1,19,20,0
5,0.013633939,896,0,3,1,16,22,0
6,0.017850598,977,0,0,1,17,24,0
7,0.027269332,1018,0,1,1,18,25,0
8,0.038023889,1017,1,0,2,17,25,0
9,0.061319441,937,1,12,3,17,23,0
10,0.2618365,818,1,283,13,18,20,0
11,62.437912,427,1,55,2,27,10,0
12,77.260399,349,1,31,3,29,8,0
13,86.145782,230,1,47,2,30,5,0
14,99.432961,152,1,1151,36,32,3,0
15,1293.6133,1599,3,1151,36,39,39,0
