"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Persistence","ClusterID","TreeID","isDummyNode","TrueNodeId","isImportantPair","isMultiPersPairNode","BranchNodeID","Points:0","Points:1","Points:2"
0,13218153,1572,3,15,1,13218151,0,0,0,71,1,0,0,6608999.5,13218153,0
2,4764056.5,1531,1,15,1,2196726,0,0,0,70,1,0,1,30897352,4764056.5,0
2,4764056.5,1531,1,15,1,2196726,0,0,1,70,1,0,1,6608999.5,4764056.5,0
4,2567330.5,1571,0,0,1,2196726,0,0,0,34,1,0,1,30897352,2567330.5,0
4,2567330.5,1571,0,0,1,2196726,0,0,1,34,1,0,1,30897352,2567330.5,0
6,4309256,1490,1,5,1,555892.25,0,0,0,69,0,0,2,5064128,4309256,0
6,4309256,1490,1,5,1,555892.25,0,0,1,69,0,0,2,6608999.5,4309256,0
8,2573812.8,1528,1,34,2,43932.25,0,0,0,68,0,0,3,5064128,2573812.5,0
8,2573812.8,1528,1,34,2,43932.25,0,0,1,68,0,0,3,6608999.5,2573812.5,0
10,3753363.8,1491,0,0,1,555892.25,0,0,0,33,0,0,2,5064128,3753363.8,0
10,3753363.8,1491,0,0,1,555892.25,0,0,1,33,0,0,2,5064128,3753363.8,0
12,1625332.8,181,1,34,36,403585.5,0,0,0,67,0,0,4,4403220.5,1625332.8,0
12,1625332.8,181,1,34,36,403585.5,0,0,1,67,0,0,4,6608999.5,1625332.8,0
14,2529880.5,1489,0,0,1,43932.25,0,0,0,32,0,0,3,5064128,2529880.2,0
14,2529880.5,1489,0,0,1,43932.25,0,0,1,32,0,0,3,5064128,2529880.2,0
16,1308272.1,1409,1,25,33,88440.875,0,0,0,66,0,0,5,5064128,1308272.1,0
16,1308272.1,1409,1,25,33,88440.875,0,0,1,66,0,0,5,6608999.5,1308272.1,0
18,1221747.2,180,0,1,1,403585.5,0,0,0,5,0,0,4,4403220.5,1221747.2,0
18,1221747.2,180,0,1,1,403585.5,0,0,1,5,0,0,4,4403220.5,1221747.2,0
20,1089882.9,63,1,18,36,301716.19,0,0,0,65,0,0,6,4403220.5,1089882.9,0
20,1089882.9,63,1,18,36,301716.19,0,0,1,65,0,0,6,6608999.5,1089882.9,0
22,1219831.2,1410,0,0,1,88440.875,0,0,0,29,0,0,5,5064128,1219831.2,0
22,1219831.2,1410,0,0,1,88440.875,0,0,1,29,0,0,5,5064128,1219831.2,0
24,788166.69,23,0,0,1,301716.19,0,0,0,0,0,0,6,4403220.5,788166.75,0
24,788166.69,23,0,0,1,301716.19,0,0,1,0,0,0,6,4403220.5,788166.75,0
26,1059275.6,152,1,6,9,6684.625,0,0,0,64,0,0,7,5064128,1059275.6,0
26,1059275.6,152,1,6,9,6684.625,0,0,1,64,0,0,7,6608999.5,1059275.6,0
28,949383.25,338,1,12,14,71309.562,0,0,0,63,0,0,8,5064128,949383.31,0
28,949383.25,338,1,12,14,71309.562,0,0,1,63,0,0,8,6608999.5,949383.31,0
30,1052591,113,0,0,1,6684.625,0,0,0,3,0,0,7,5064128,1052591,0
30,1052591,113,0,0,1,6684.625,0,0,1,3,0,0,7,5064128,1052591,0
32,772364.69,271,1,29,13,59370.875,0,0,0,62,0,0,9,5064128,772364.69,0
32,772364.69,271,1,29,13,59370.875,0,0,1,62,0,0,9,6608999.5,772364.69,0
34,878073.69,298,0,0,1,71309.562,0,0,0,9,0,0,8,5064128,878073.69,0
34,878073.69,298,0,0,1,71309.562,0,0,1,9,0,0,8,5064128,878073.69,0
36,693144.31,145,1,15,6,174812.34,0,0,0,61,0,0,10,437775.62,693144.31,0
36,693144.31,145,1,15,6,174812.34,0,0,1,61,0,0,10,6608999.5,693144.31,0
38,712993.81,270,0,0,1,59370.875,0,0,0,8,0,0,9,5064128,712993.81,0
38,712993.81,270,0,0,1,59370.875,0,0,1,8,0,0,9,5064128,712993.81,0
40,518331.97,106,0,0,1,174812.34,0,0,0,2,0,0,10,437775.62,518332,0
40,518331.97,106,0,0,1,174812.34,0,0,1,2,0,0,10,437775.62,518332,0
42,647345.44,340,1,8,7,428162.31,0,0,0,60,0,0,11,3081405.5,647345.44,0
42,647345.44,340,1,8,7,428162.31,0,0,1,60,0,0,11,6608999.5,647345.44,0
44,638998.38,143,1,0,5,39130.875,0,0,0,58,0,0,12,2420498,638998.38,0
44,638998.38,143,1,0,5,39130.875,0,0,1,58,0,0,12,3081405.5,638998.38,0
46,627804.81,1447,1,1,30,9464.1875,0,0,0,59,0,0,13,5064128,627804.88,0
46,627804.81,1447,1,1,30,9464.1875,0,0,1,59,0,0,13,6608999.5,627804.88,0
48,573777.06,222,1,2,2,130731.31,0,0,0,54,0,0,14,1098683.1,573777.06,0
48,573777.06,222,1,2,2,130731.31,0,0,1,54,0,0,14,3081405.5,573777.06,0
50,599867.5,103,0,1,1,39130.875,0,0,0,1,0,0,12,2420498,599867.5,0
50,599867.5,103,0,1,1,39130.875,0,0,1,1,0,0,12,2420498,599867.5,0
52,614366.88,1536,1,4,9,159172.53,0,0,0,57,0,0,15,3742313,614366.94,0
52,614366.88,1536,1,4,9,159172.53,0,0,1,57,0,0,15,6608999.5,614366.94,0
54,618340.62,1487,0,0,1,9464.1875,0,0,0,31,0,0,13,5064128,618340.62,0
