"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
779,0,19,19,0,2.1119568,2.1119568,0
1572,3,12,39,0,2.1119568,13218153,0
974,0,14,24,0,722.25525,722.25525,0
975,1,15,24,0,722.25525,4057.0681,0
1053,0,13,26,0,784.94922,784.94922,0
1013,1,13,25,0,784.94922,879.54926,0
745,0,25,18,0,929.42841,929.42841,0
823,1,23,20,0,929.42841,37061.574,0
666,0,26,16,0,966.23505,966.23505,0
706,1,26,17,0,966.23505,1111.7646,0
864,0,24,21,0,1048.2573,1048.2573,0
825,1,25,20,0,1048.2573,1300.0144,0
943,0,23,23,0,1116.191,1116.191,0
904,1,24,22,0,1116.191,1262.3861,0
1062,0,22,26,0,1238.724,1238.724,0
1023,1,23,25,0,1238.724,1456.329,0
1181,0,21,29,0,1425.2211,1425.2211,0
1142,1,22,28,0,1425.2211,1661.2699,0
430,0,30,10,0,1534.463,1534.463,0
469,1,29,11,0,1534.463,1647.1851,0
375,0,15,9,0,2395.7817,2395.7817,0
454,1,14,11,0,2395.7817,4430.8657,0
900,0,20,22,0,2646.0288,2646.0288,0
860,1,20,21,0,2646.0288,4279.4141,0
657,0,17,16,0,11314.944,11314.944,0
697,1,17,17,0,11314.944,12281.843,0
619,0,19,15,0,18682.59,18682.59,0
620,1,20,15,0,18682.59,22029.592,0
498,0,18,12,0,39326.32,39326.32,0
499,1,19,12,0,39326.32,48053.465,0
586,2,26,14,0,78303.695,78303.695,0
704,3,24,17,0,78303.695,124724.69,0
625,2,25,15,0,100028.06,100028.06,0
626,3,26,15,0,100028.06,116315.16,0
942,2,22,23,0,146158.38,146158.38,0
902,3,22,22,0,146158.38,292675.41,0
507,2,27,12,0,161759.22,161759.22,0
547,3,27,13,0,161759.22,170867.56,0
506,2,26,12,0,196847.22,196847.22,0
545,3,25,13,0,196847.22,744255.5,0
1253,0,13,31,0,206781.34,206781.34,0
1213,1,13,30,0,206781.34,228142.53,0
301,0,21,7,0,219183.11,219183.11,0
340,1,20,8,0,219183.11,647345.44,0
576,2,16,14,0,245241.44,245241.44,0
656,3,16,16,0,245241.44,404657.91,0
1021,2,21,25,0,263517,263517,0
981,3,21,24,0,263517,434031.16,0
1456,0,16,36,0,305558.09,305558.09,0
1417,1,17,35,0,305558.09,503389.5,0
225,0,25,5,0,327977.03,327977.03,0
263,1,23,6,0,327977.03,535030,0
147,0,27,3,0,336598.06,336598.06,0
186,1,26,4,0,336598.06,360048.78,0
1212,2,12,30,0,354252.34,354252.34,0
1173,3,13,29,0,354252.34,395861.84,0
1136,0,16,28,0,360125.78,360125.78,0
1135,1,15,28,0,360125.78,384431.59,0
1137,2,17,28,0,418176.19,418176.19,0
1057,3,17,26,0,418176.19,1134011,0
183,0,23,4,0,443045.75,443045.75,0
222,1,22,5,0,443045.75,573777.06,0
1576,0,16,39,0,455194.34,455194.34,0
1536,1,16,38,0,455194.34,614366.88,0
339,0,19,8,0,464466.31,464466.31,0
379,1,19,9,0,464466.31,485590.03,0
106,0,26,2,0,518331.97,518331.97,0
145,1,25,3,0,518331.97,693144.31,0
103,0,23,2,0,599867.5,599867.5,0
143,1,23,3,0,599867.5,638998.38,0
1487,0,7,37,0,618340.62,618340.62,0
1447,1,7,36,0,618340.62,627804.81,0
184,2,24,4,0,637465.5,637465.5,0
223,3,23,5,0,637465.5,679515.5,0
270,0,30,6,0,712993.81,712993.81,0
271,1,31,6,0,712993.81,772364.69,0
303,2,23,7,0,722496.69,722496.69,0
341,3,21,8,0,722496.69,953487.81,0
417,2,17,10,0,745247.44,745247.44,0
456,3,16,11,0,745247.44,837324.94,0
387,2,27,9,0,775589.88,775589.88,0
427,3,27,10,0,775589.88,824710.31,0
23,0,23,0,0,788166.69,788166.69,0
63,1,23,1,0,788166.69,1089882.9,0
309,2,29,7,0,867619.81,867619.81,0
310,3,30,7,0,867619.81,872682.75,0
1337,2,17,33,0,872766.06,872766.06,0
1377,3,17,34,0,872766.06,1270225,0
298,0,18,7,0,878073.69,878073.69,0
338,1,18,8,0,878073.69,949383.25,0
188,2,28,4,0,1043866.6,1043866.6,0
266,3,26,6,0,1043866.6,1479629.5,0
113,0,33,2,0,1052591,1052591,0
152,1,32,3,0,1052591,1059275.6,0
1410,0,10,35,0,1219831.2,1219831.2,0
1409,1,9,35,0,1219831.2,1308272.1,0
180,0,20,4,0,1221747.2,1221747.2,0
181,1,21,4,0,1221747.2,1625332.8,0
1526,2,6,38,0,1373316.2,1373316.2,0
1486,3,6,37,0,1373316.2,1492155.9,0
1577,2,17,39,0,1426050.5,1426050.5,0
1537,3,17,38,0,1426050.5,1825734,0
1335,2,15,33,0,1679644.9,1679644.9,0
1257,3,17,31,0,1679644.9,4004637.5,0
218,2,18,5,0,1920479.1,1920479.1,0
220,3,20,5,0,1920479.1,3050535.8,0
1489,0,9,37,0,2529880.5,2529880.5,0
1528,1,8,38,0,2529880.5,2573812.8,0
1571,0,11,39,0,2567330.5,2567330.5,0
1531,1,11,38,0,2567330.5,4764056.5,0
1256,2,16,31,0,2644299,2644299,0
1295,3,15,32,0,2644299,3416413.5,0
1373,2,13,34,0,2678370.5,2678370.5,0
1374,3,14,34,0,2678370.5,2821900.5,0
70,2,30,1,0,2750927,2750927,0
69,3,29,1,0,2750927,2781444.2,0
101,2,21,2,0,2798868.2,2798868.2,0
140,3,20,3,0,2798868.2,5648811,0
1449,2,9,36,0,2888228.5,2888228.5,0
1488,3,8,37,0,2888228.5,3632350.2,0
112,2,32,2,0,3082801.2,3082801.2,0
151,3,31,3,0,3082801.2,6125911,0
1491,0,11,37,0,3753363.8,3753363.8,0
1490,1,10,37,0,3753363.8,4309256,0
21,2,21,0,0,4395170,4395170,0
61,3,21,1,0,4395170,5979379.5,0
32,2,32,0,0,4508702.5,4508702.5,0
72,3,32,1,0,4508702.5,5805423,0
1452,2,12,36,0,4916726.5,4916726.5,0
1451,3,11,36,0,4916726.5,10041722,0
20,2,20,0,0,5546895.5,5546895.5,0
59,3,19,1,0,5546895.5,7794224.5,0
