"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,2.3047895,5,0,0,1,5,0,0
1,2.3047683,7,0,0,1,7,0,0
2,2.304764,9,0,1,1,9,0,0
3,2.3047664,11,0,0,1,11,0,0
4,2.3047595,13,0,0,1,13,0,0
5,2.3047454,15,0,0,1,15,0,0
6,2.3047221,17,0,0,1,17,0,0
7,2.3046832,19,0,0,1,19,0,0
8,2.3046343,21,0,0,1,21,0,0
9,2.3045893,23,0,0,1,23,0,0
10,2.3045676,25,0,0,1,25,0,0
11,2.304559,27,0,0,1,27,0,0
12,2.3045566,30,0,3,1,30,0,0
13,2.3045387,37,0,1,2,37,0,0
14,2.3045578,111,0,0,1,31,2,0
15,2.3045809,115,0,1,1,35,2,0
16,2.3045843,233,0,1,1,33,5,0
17,2.3052332,819,0,0,1,19,20,0
18,2.3045604,71,1,5,3,31,1,0
19,2.3045666,28,1,8,2,28,0,0
20,2.3045864,26,1,7,8,26,0,0
21,2.3046005,114,1,1,10,34,2,0
22,2.3046041,24,1,5,9,24,0,0
23,2.3046181,193,1,11,11,33,4,0
24,2.3046403,22,1,1,13,22,0,0
25,2.3046446,75,1,16,15,35,1,0
26,2.3046896,20,1,15,2,20,0,0
27,2.3047345,18,1,13,2,18,0,0
28,2.3047664,16,1,6,2,16,0,0
29,2.3047826,14,1,6,2,14,0,0
30,2.3047924,12,1,1,2,12,0,0
31,2.3047943,10,1,1,2,10,0,0
32,2.3047957,8,1,4,2,8,0,0
33,2.3048029,6,1,359,23,6,0,0
34,2.3052363,779,1,1098,27,19,19,0
35,918.18622,1598,3,1098,27,38,39,0
