"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Persistence","ClusterID","TreeID","isDummyNode","TrueNodeId","isImportantPair","isMultiPersPairNode","BranchNodeID","Points:0","Points:1","Points:2"
0,918.18622,1598,3,1098,27,915.88165,0,0,0,35,1,0,0,382.24536,918.18622,0
2,2.3052363,779,1,1098,27,3.0994415e-06,0,0,0,34,0,0,1,311.608,2.3052363,0
2,2.3052363,779,1,1098,27,3.0994415e-06,0,0,1,34,0,0,1,382.24536,2.3052363,0
4,2.3048029,6,1,359,23,1.335144e-05,0,0,0,33,0,0,2,82.637634,2.3048029,0
4,2.3048029,6,1,359,23,1.335144e-05,0,0,1,33,0,0,2,382.24536,2.3048029,0
6,2.3052332,819,0,0,1,3.0994415e-06,0,0,0,17,0,0,1,311.608,2.3052332,0
6,2.3052332,819,0,0,1,3.0994415e-06,0,0,1,17,0,0,1,311.608,2.3052332,0
8,2.3047957,8,1,4,2,2.7418137e-05,0,0,0,32,0,0,3,128.43172,2.3047957,0
8,2.3047957,8,1,4,2,2.7418137e-05,0,0,1,32,0,0,3,382.24536,2.3047957,0
10,2.3047895,5,0,0,1,1.335144e-05,0,0,0,0,0,0,2,82.637634,2.3047895,0
10,2.3047895,5,0,0,1,1.335144e-05,0,0,1,0,0,0,2,82.637634,2.3047895,0
12,2.3047943,10,1,1,2,3.027916e-05,0,0,0,31,0,0,4,174.2258,2.3047943,0
12,2.3047943,10,1,1,2,3.027916e-05,0,0,1,31,0,0,4,382.24536,2.3047943,0
14,2.3047683,7,0,0,1,2.7418137e-05,0,0,0,1,0,0,3,128.43172,2.3047683,0
14,2.3047683,7,0,0,1,2.7418137e-05,0,0,1,1,0,0,3,128.43172,2.3047683,0
16,2.304764,9,0,1,1,3.027916e-05,0,0,0,2,0,0,4,174.2258,2.304764,0
16,2.304764,9,0,1,1,3.027916e-05,0,0,1,2,0,0,4,174.2258,2.304764,0
18,2.3047924,12,1,1,2,2.5987625e-05,0,0,0,30,0,0,5,220.01987,2.3047924,0
18,2.3047924,12,1,1,2,2.5987625e-05,0,0,1,30,0,0,5,382.24536,2.3047924,0
20,2.3047826,14,1,6,2,2.3126602e-05,0,0,0,29,0,0,6,265.81393,2.3047826,0
20,2.3047826,14,1,6,2,2.3126602e-05,0,0,1,29,0,0,6,382.24536,2.3047826,0
22,2.3047664,11,0,0,1,2.5987625e-05,0,0,0,3,0,0,5,220.01987,2.3047664,0
22,2.3047664,11,0,0,1,2.5987625e-05,0,0,1,3,0,0,5,220.01987,2.3047664,0
24,2.3047664,16,1,6,2,2.0980835e-05,0,0,0,28,0,0,7,311.608,2.3047664,0
24,2.3047664,16,1,6,2,2.0980835e-05,0,0,1,28,0,0,7,382.24536,2.3047664,0
26,2.3047595,13,0,0,1,2.3126602e-05,0,0,0,4,0,0,6,265.81393,2.3047595,0
26,2.3047595,13,0,0,1,2.3126602e-05,0,0,1,4,0,0,6,265.81393,2.3047595,0
28,2.3047345,18,1,13,2,1.2397766e-05,0,0,0,27,0,0,8,311.608,2.3047345,0
28,2.3047345,18,1,13,2,1.2397766e-05,0,0,1,27,0,0,8,382.24536,2.3047345,0
30,2.3047454,15,0,0,1,2.0980835e-05,0,0,0,5,0,0,7,311.608,2.3047454,0
30,2.3047454,15,0,0,1,2.0980835e-05,0,0,1,5,0,0,7,311.608,2.3047454,0
32,2.3046896,20,1,15,2,6.4373016e-06,0,0,0,26,0,0,9,311.608,2.3046896,0
32,2.3046896,20,1,15,2,6.4373016e-06,0,0,1,26,0,0,9,382.24536,2.3046896,0
34,2.3047221,17,0,0,1,1.2397766e-05,0,0,0,6,0,0,8,311.608,2.3047221,0
34,2.3047221,17,0,0,1,1.2397766e-05,0,0,1,6,0,0,8,311.608,2.3047221,0
36,2.3046446,75,1,16,15,8.7976456e-05,0,0,0,25,0,0,10,311.608,2.3046446,0
36,2.3046446,75,1,16,15,8.7976456e-05,0,0,1,25,0,0,10,382.24536,2.3046446,0
38,2.3046832,19,0,0,1,6.4373016e-06,0,0,0,7,0,0,9,311.608,2.3046832,0
38,2.3046832,19,0,0,1,6.4373016e-06,0,0,1,7,0,0,9,311.608,2.3046832,0
40,2.3045387,37,0,1,2,915.88165,0,0,0,13,1,0,0,382.24536,2.3045387,0
40,2.3045387,37,0,1,2,915.88165,0,0,1,13,1,0,0,382.24536,2.3045387,0
42,2.3046403,22,1,1,13,5.9604645e-06,0,0,0,24,0,0,11,265.81387,2.3046403,0
42,2.3046403,22,1,1,13,5.9604645e-06,0,0,1,24,0,0,11,311.608,2.3046403,0
44,2.3046181,193,1,11,11,3.3855438e-05,0,0,0,23,0,0,12,36.843521,2.3046181,0
44,2.3046181,193,1,11,11,3.3855438e-05,0,0,1,23,0,0,12,311.608,2.3046181,0
46,2.3046343,21,0,0,1,5.9604645e-06,0,0,0,8,0,0,11,265.81387,2.3046343,0
46,2.3046343,21,0,0,1,5.9604645e-06,0,0,1,8,0,0,11,265.81387,2.3046343,0
48,2.3045843,233,0,1,1,3.3855438e-05,0,0,0,16,0,0,12,36.843521,2.3045843,0
48,2.3045843,233,0,1,1,3.3855438e-05,0,0,1,16,0,0,12,36.843521,2.3045843,0
50,2.3046041,24,1,5,9,1.4781952e-05,0,0,0,22,0,0,13,82.637604,2.3046041,0
50,2.3046041,24,1,5,9,1.4781952e-05,0,0,1,22,0,0,13,311.608,2.3046041,0
52,2.3046005,114,1,1,10,1.9550323e-05,0,0,0,21,0,0,14,128.43169,2.3046005,0
52,2.3046005,114,1,1,10,1.9550323e-05,0,0,1,21,0,0,14,311.608,2.3046005,0
54,2.3045893,23,0,0,1,1.4781952e-05,0,0,0,9,0,0,13,82.637604,2.3045893,0
54,2.3045893,23,0,0,1,1.4781952e-05,0,0,1,9,0,0,13,82.637604,2.3045893,0
56,2.3045864,26,1,7,8,1.8835068e-05,0,0,0,20,0,0,15,174.22574,2.3045864,0
56,2.3045864,26,1,7,8,1.8835068e-05,0,0,1,20,0,0,15,311.608,2.3045864,0
58,2.3045809,115,0,1,1,1.9550323e-05,0,0,0,15,0,0,14,128.43169,2.3045809,0
58,2.3045809,115,0,1,1,1.9550323e-05,0,0,1,15,0,0,14,128.43169,2.3045809,0
60,2.3045666,28,1,8,2,7.6293945e-06,0,0,0,19,0,0,16,220.01981,2.3045666,0
60,2.3045666,28,1,8,2,7.6293945e-06,0,0,1,19,0,0,16,311.608,2.3045666,0
62,2.3045676,25,0,0,1,1.8835068e-05,0,0,0,10,0,0,15,174.22574,2.3045676,0
62,2.3045676,25,0,0,1,1.8835068e-05,0,0,1,10,0,0,15,174.22574,2.3045676,0
64,2.3045604,71,1,5,3,2.6226044e-06,0,0,0,18,0,0,17,265.81387,2.3045604,0
64,2.3045604,71,1,5,3,2.6226044e-06,0,0,1,18,0,0,17,311.608,2.3045604,0
66,2.304559,27,0,0,1,7.6293945e-06,0,0,0,11,0,0,16,220.01981,2.304559,0
66,2.304559,27,0,0,1,7.6293945e-06,0,0,1,11,0,0,16,220.01981,2.304559,0
68,2.3045566,30,0,3,1,8.7976456e-05,0,0,0,12,0,0,10,311.608,2.3045566,0
68,2.3045566,30,0,3,1,8.7976456e-05,0,0,1,12,0,0,10,311.608,2.3045566,0
70,2.3045578,111,0,0,1,2.6226044e-06,0,0,0,14,0,0,17,265.81387,2.3045578,0
70,2.3045578,111,0,0,1,2.6226044e-06,0,0,1,14,0,0,17,265.81387,2.3045578,0
