"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
37,0,37,0,0,2.3045387,2.3045387,0
1598,3,38,39,0,2.3045387,918.18622,0
30,0,30,0,0,2.3045566,2.3045566,0
75,1,35,1,0,2.3045566,2.3046446,0
111,0,31,2,0,2.3045578,2.3045578,0
71,1,31,1,0,2.3045578,2.3045604,0
27,0,27,0,0,2.304559,2.304559,0
28,1,28,0,0,2.304559,2.3045666,0
25,0,25,0,0,2.3045676,2.3045676,0
26,1,26,0,0,2.3045676,2.3045864,0
115,0,35,2,0,2.3045809,2.3045809,0
114,1,34,2,0,2.3045809,2.3046005,0
233,0,33,5,0,2.3045843,2.3045843,0
193,1,33,4,0,2.3045843,2.3046181,0
23,0,23,0,0,2.3045893,2.3045893,0
24,1,24,0,0,2.3045893,2.3046041,0
231,2,31,5,0,2.3046317,2.3046317,0
192,3,32,4,0,2.3046317,2.3046343,0
21,0,21,0,0,2.3046343,2.3046343,0
22,1,22,0,0,2.3046343,2.3046403,0
19,0,19,0,0,2.3046832,2.3046832,0
20,1,20,0,0,2.3046832,2.3046896,0
17,0,17,0,0,2.3047221,2.3047221,0
18,1,18,0,0,2.3047221,2.3047345,0
15,0,15,0,0,2.3047454,2.3047454,0
16,1,16,0,0,2.3047454,2.3047664,0
13,0,13,0,0,2.3047595,2.3047595,0
14,1,14,0,0,2.3047595,2.3047826,0
9,0,9,0,0,2.304764,2.304764,0
10,1,10,0,0,2.304764,2.3047943,0
11,0,11,0,0,2.3047664,2.3047664,0
12,1,12,0,0,2.3047664,2.3047924,0
7,0,7,0,0,2.3047683,2.3047683,0
8,1,8,0,0,2.3047683,2.3047957,0
5,0,5,0,0,2.3047895,2.3047895,0
6,1,6,0,0,2.3047895,2.3048029,0
819,0,19,20,0,2.3052332,2.3052332,0
779,1,19,19,0,2.3052332,2.3052363,0
