"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,2.3035033,1574,0,0,1,14,39,0
1,2.3034382,1580,0,0,1,20,39,0
2,2.3034227,1582,0,0,1,22,39,0
3,2.3034143,1584,0,0,1,24,39,0
4,2.3034077,1586,0,0,1,26,39,0
5,2.3033988,1588,0,0,1,28,39,0
6,2.303376,1592,0,0,1,32,39,0
7,2.3033483,1596,0,0,1,36,39,0
8,2.3033421,1598,0,3,1,38,39,0
9,2.30335,1597,1,18,4,37,39,0
10,2.3033767,1593,1,27,4,33,39,0
11,2.3033996,1589,1,15,2,29,39,0
12,2.3034077,1587,1,16,2,27,39,0
13,2.3034179,1585,1,15,2,25,39,0
14,2.3034241,1583,1,37,2,23,39,0
15,2.3034396,1581,1,214,6,21,39,0
16,2.3035047,1575,1,1237,34,15,39,0
17,2.3038673,320,3,1237,34,0,8,0
