"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
1598,0,38,39,0,2.3033421,2.3033421,0
320,3,0,8,0,2.3033421,2.3038673,0
1596,0,36,39,0,2.3033483,2.3033483,0
1597,1,37,39,0,2.3033483,2.30335,0
1592,0,32,39,0,2.303376,2.303376,0
1593,1,33,39,0,2.303376,2.3033767,0
1588,0,28,39,0,2.3033988,2.3033988,0
1589,1,29,39,0,2.3033988,2.3033996,0
1586,0,26,39,0,2.3034077,2.3034077,0
1587,1,27,39,0,2.3034077,2.3034077,0
1584,0,24,39,0,2.3034143,2.3034143,0
1585,1,25,39,0,2.3034143,2.3034179,0
1582,0,22,39,0,2.3034227,2.3034227,0
1583,1,23,39,0,2.3034227,2.3034241,0
1580,0,20,39,0,2.3034382,2.3034382,0
1581,1,21,39,0,2.3034382,2.3034396,0
1574,0,14,39,0,2.3035033,2.3035033,0
1575,1,15,39,0,2.3035033,2.3035047,0
