"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Persistence","ClusterID","TreeID","isDummyNode","TrueNodeId","isImportantPair","isMultiPersPairNode","BranchNodeID","Points:0","Points:1","Points:2"
0,2.3026588,1479,3,1557,45,0.00016689301,0,0,0,7,1,0,0,-75.697426,2.3026588,0
2,2.3024991,520,1,1557,45,5.4836273e-06,0,0,0,6,0,0,1,-75.747437,2.3024991,0
2,2.3024991,520,1,1557,45,5.4836273e-06,0,0,1,6,0,0,1,-75.697426,2.3024991,0
4,2.3024957,240,1,8,7,1.4305115e-06,0,0,0,4,0,0,2,-75.747429,2.3024957,0
4,2.3024957,240,1,8,7,1.4305115e-06,0,0,1,4,0,0,2,-75.697426,2.3024957,0
6,2.3024952,720,1,13,5,4.7683716e-07,0,0,0,5,0,0,3,-75.747452,2.3024952,0
6,2.3024952,720,1,13,5,4.7683716e-07,0,0,1,5,0,0,3,-75.747437,2.3024952,0
8,2.3024919,40,0,8,5,0.00016689301,0,0,0,0,1,0,0,-75.697426,2.3024919,0
8,2.3024919,40,0,8,5,0.00016689301,0,0,1,0,1,0,0,-75.697426,2.3024919,0
10,2.3024943,280,0,3,1,1.4305115e-06,0,0,0,1,0,0,2,-75.747429,2.3024943,0
10,2.3024943,280,0,3,1,1.4305115e-06,0,0,1,1,0,0,2,-75.747429,2.3024943,0
12,2.3024936,840,0,3,3,5.4836273e-06,0,0,0,3,0,0,1,-75.747437,2.3024936,0
12,2.3024936,840,0,3,3,5.4836273e-06,0,0,1,3,0,0,1,-75.747437,2.3024936,0
14,2.3024948,680,0,0,1,4.7683716e-07,0,0,0,2,0,0,3,-75.747452,2.3024948,0
14,2.3024948,680,0,0,1,4.7683716e-07,0,0,1,2,0,0,3,-75.747452,2.3024948,0
