"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,2.8301539,1560,0,0,1,0,39,0
1,2.8192322,1562,0,0,1,2,39,0
2,2.8091142,1564,0,0,1,4,39,0
3,2.7999399,1566,0,0,1,6,39,0
4,2.7911019,1568,0,0,1,8,39,0
5,2.7837822,1570,0,0,1,10,39,0
6,2.7765586,1572,0,0,1,12,39,0
7,2.7700799,1574,0,0,1,14,39,0
8,2.7640493,1576,0,0,1,16,39,0
9,2.7588472,1578,0,0,1,18,39,0
10,2.7545164,1580,0,0,1,20,39,0
11,2.7508698,1582,0,0,1,22,39,0
12,2.7477703,1584,0,0,1,24,39,0
13,2.7455285,1586,0,0,1,26,39,0
14,2.7442112,1588,0,0,1,28,39,0
15,2.7436774,1590,0,0,1,30,39,0
16,2.7443309,1592,0,0,1,32,39,0
17,2.7459235,1594,0,0,1,34,39,0
18,2.7481072,1596,0,0,1,36,39,0
19,2.7516897,1598,0,0,1,38,39,0
20,2.753154,1589,1,1,2,29,39,0
21,2.7536018,1591,1,1,4,31,39,0
22,2.7540219,1587,1,2,6,27,39,0
23,2.7549951,1593,1,0,8,33,39,0
24,2.7557414,1585,1,2,10,25,39,0
25,2.7571895,1595,1,0,12,35,39,0
26,2.7582216,1583,1,2,14,23,39,0
27,2.7604618,1597,1,0,16,37,39,0
28,2.7615514,1581,1,12,2,21,39,0
29,2.7654281,1579,1,7,2,19,39,0
30,2.770257,1577,1,14,2,17,39,0
31,2.7756691,1575,1,12,2,15,39,0
32,2.781503,1573,1,22,2,13,39,0
33,2.7883241,1571,1,20,2,11,39,0
34,2.7958133,1569,1,23,2,9,39,0
35,2.803966,1567,1,31,2,7,39,0
36,2.8126864,1565,1,34,2,5,39,0
37,2.8224721,1563,1,35,2,3,39,0
38,2.83268,1561,1,1342,54,1,39,0
39,3.4325161,39,3,1342,54,39,0,0
