"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
1590,0,30,39,0,2.7436774,2.7436774,0
39,3,39,0,0,2.7436774,3.4325161,0
1588,0,28,39,0,2.7442112,2.7442112,0
1589,1,29,39,0,2.7442112,2.753154,0
1592,0,32,39,0,2.7443309,2.7443309,0
1591,1,31,39,0,2.7443309,2.7536018,0
1586,0,26,39,0,2.7455285,2.7455285,0
1587,1,27,39,0,2.7455285,2.7540219,0
1594,0,34,39,0,2.7459235,2.7459235,0
1593,1,33,39,0,2.7459235,2.7549951,0
1584,0,24,39,0,2.7477703,2.7477703,0
1585,1,25,39,0,2.7477703,2.7557414,0
1596,0,36,39,0,2.7481072,2.7481072,0
1595,1,35,39,0,2.7481072,2.7571895,0
1582,0,22,39,0,2.7508698,2.7508698,0
1583,1,23,39,0,2.7508698,2.7582216,0
1598,0,38,39,0,2.7516897,2.7516897,0
1597,1,37,39,0,2.7516897,2.7604618,0
1580,0,20,39,0,2.7545164,2.7545164,0
1581,1,21,39,0,2.7545164,2.7615514,0
1578,0,18,39,0,2.7588472,2.7588472,0
1579,1,19,39,0,2.7588472,2.7654281,0
1576,0,16,39,0,2.7640493,2.7640493,0
1577,1,17,39,0,2.7640493,2.770257,0
1574,0,14,39,0,2.7700799,2.7700799,0
1575,1,15,39,0,2.7700799,2.7756691,0
1572,0,12,39,0,2.7765586,2.7765586,0
1573,1,13,39,0,2.7765586,2.781503,0
1570,0,10,39,0,2.7837822,2.7837822,0
1571,1,11,39,0,2.7837822,2.7883241,0
1568,0,8,39,0,2.7911019,2.7911019,0
1569,1,9,39,0,2.7911019,2.7958133,0
1566,0,6,39,0,2.7999399,2.7999399,0
1567,1,7,39,0,2.7999399,2.803966,0
1564,0,4,39,0,2.8091142,2.8091142,0
1565,1,5,39,0,2.8091142,2.8126864,0
1562,0,2,39,0,2.8192322,2.8192322,0
1563,1,3,39,0,2.8192322,2.8224721,0
1560,0,0,39,0,2.8301539,2.8301539,0
1561,1,1,39,0,2.8301539,2.83268,0
