"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Persistence","ClusterID","TreeID","isDummyNode","TrueNodeId","isImportantPair","isMultiPersPairNode","BranchNodeID","Points:0","Points:1","Points:2"
0,5.8716187,1560,3,1224,32,3.3475323,0,0,0,13,1,0,0,-59.802147,5.8716187,0
2,2.6870167,456,1,1224,32,0.012864351,0,0,0,12,0,0,1,-59.997139,2.6870167,0
2,2.6870167,456,1,1224,32,0.012864351,0,0,1,12,0,0,1,-59.802147,2.6870167,0
4,2.5564742,894,1,256,11,0.03166461,0,0,0,11,0,0,2,-60.164516,2.5564742,0
4,2.5564742,894,1,256,11,0.03166461,0,0,1,11,0,0,2,-59.802147,2.5564742,0
6,2.6741524,298,0,10,4,0.012864351,0,0,0,0,0,0,1,-59.997139,2.6741524,0
6,2.6741524,298,0,10,4,0.012864351,0,0,1,0,0,0,1,-59.997139,2.6741524,0
8,2.5461757,1016,1,30,3,0.00031709671,0,0,0,9,0,0,3,-59.997139,2.5461757,0
8,2.5461757,1016,1,30,3,0.00031709671,0,0,1,9,0,0,3,-59.802147,2.5461757,0
10,2.5557671,853,1,1,1,2.8133392e-05,0,0,0,10,0,0,4,-60.331894,2.5557671,0
10,2.5557671,853,1,1,1,2.8133392e-05,0,0,1,10,0,0,4,-60.164516,2.5557671,0
12,2.5424151,981,1,10,5,0.0066883564,0,0,0,8,0,0,5,-59.997139,2.5424151,0
12,2.5424151,981,1,10,5,0.0066883564,0,0,1,8,0,0,5,-59.802147,2.5424151,0
14,2.5458586,976,0,0,1,0.00031709671,0,0,0,4,0,0,3,-59.997139,2.5458586,0
14,2.5458586,976,0,0,1,0.00031709671,0,0,1,4,0,0,3,-59.997139,2.5458586,0
16,2.5297146,690,1,22,5,0.0010671616,0,0,0,7,0,0,6,-60.331894,2.5297146,0
16,2.5297146,690,1,22,5,0.0010671616,0,0,1,7,0,0,6,-60.164516,2.5297146,0
18,2.5557389,854,0,0,1,2.8133392e-05,0,0,0,3,0,0,4,-60.331894,2.5557389,0
18,2.5557389,854,0,0,1,2.8133392e-05,0,0,1,3,0,0,4,-60.331894,2.5557389,0
20,2.5240865,1259,0,26,7,3.3475323,0,0,0,6,1,0,0,-59.802147,2.5240865,0
20,2.5240865,1259,0,26,7,3.3475323,0,0,1,6,1,0,0,-59.802147,2.5240865,0
22,2.5357268,983,0,6,2,0.0066883564,0,0,0,5,0,0,5,-59.997139,2.5357268,0
22,2.5357268,983,0,6,2,0.0066883564,0,0,1,5,0,0,5,-59.997139,2.5357268,0
24,2.5248096,691,0,1,1,0.03166461,0,0,0,2,0,0,2,-60.164516,2.5248096,0
24,2.5248096,691,0,1,1,0.03166461,0,0,1,2,0,0,2,-60.164516,2.5248096,0
26,2.5286474,650,0,0,1,0.0010671616,0,0,0,1,0,0,6,-60.331894,2.5286474,0
26,2.5286474,650,0,0,1,0.0010671616,0,0,1,1,0,0,6,-60.331894,2.5286474,0
