"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,2.3172064,47,0,455,28,7,1,0
1,2.4554365,1572,0,0,1,12,39,0
2,2.4536273,1574,0,1,1,14,39,0
3,2.4580681,1576,0,0,1,16,39,0
4,2.5942633,1594,0,0,1,34,39,0
5,2.6142013,1596,0,0,1,36,39,0
6,2.6365697,1598,0,0,1,38,39,0
7,2.4566667,1573,1,0,2,13,39,0
8,2.4580762,1575,1,77,10,15,39,0
9,2.4844933,1171,1,475,24,11,29,0
10,2.5946729,1593,1,50,2,33,39,0
11,2.6156743,1595,1,51,2,35,39,0
12,2.6388149,1597,1,477,39,37,39,0
13,3.0020854,39,3,477,39,39,0,0
