"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
7,0,7,0,0,2.418839,2.418839,0
1560,3,0,39,0,2.418839,2.4779644,0
5,0,5,0,0,2.4189131,2.4189131,0
6,1,6,0,0,2.4189131,2.419481,0
9,0,9,0,0,2.4190619,2.4190619,0
8,1,8,0,0,2.4190619,2.4194798,0
3,0,3,0,0,2.4192772,2.4192772,0
4,1,4,0,0,2.4192772,2.419771,0
11,0,11,0,0,2.419589,2.419589,0
10,1,10,0,0,2.419589,2.4197733,0
1,0,1,0,0,2.4199224,2.4199224,0
2,1,2,0,0,2.4199224,2.4203405,0
