"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,2.4147258,374,0,1,1,14,9,0
1,2.4147081,415,0,1,1,15,10,0
2,2.5244584,1564,0,0,1,4,39,0
3,2.5124903,1566,0,0,1,6,39,0
4,2.5026829,1568,0,0,1,8,39,0
5,2.494,1570,0,0,1,10,39,0
6,2.48562,1572,0,0,1,12,39,0
7,2.4770732,1574,0,0,1,14,39,0
8,2.4683456,1576,0,0,1,16,39,0
9,2.4599049,1578,0,0,1,18,39,0
10,2.4526253,1580,0,0,1,20,39,0
11,2.4476111,1582,0,0,1,22,39,0
12,2.4459853,1584,0,1,1,24,39,0
13,2.4487021,1586,0,0,1,26,39,0
14,2.4151006,375,1,436,27,15,9,0
15,2.4492319,1585,1,0,2,25,39,0
16,2.4495585,1583,1,10,4,23,39,0
17,2.4534516,1425,1,7,5,25,35,0
18,2.4537663,1581,1,118,2,21,39,0
19,2.4607687,1579,1,106,2,19,39,0
20,2.4693837,1577,1,106,2,17,39,0
21,2.4785564,1575,1,92,2,15,39,0
22,2.487572,1573,1,85,2,13,39,0
23,2.4961963,1571,1,75,2,11,39,0
24,2.5047026,1569,1,74,2,9,39,0
25,2.5138001,1567,1,82,2,7,39,0
26,2.5244956,1565,1,378,51,5,39,0
27,2.6734753,39,3,378,51,39,0,0
