"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Persistence","ClusterID","TreeID","isDummyNode","TrueNodeId","isImportantPair","isMultiPersPairNode","BranchNodeID","Points:0","Points:1","Points:2"
0,2.6100986,1598,3,1310,39,0.008307457,0,0,0,23,1,0,0,-75.394058,2.6100986,0
2,2.6021008,38,1,1310,39,2.7656555e-05,0,0,0,22,0,0,1,-75.444847,2.6021008,0
2,2.6021008,38,1,1310,39,2.7656555e-05,0,0,1,22,0,0,1,-75.394058,2.6021008,0
4,2.6020765,36,1,17,2,2.3126602e-05,0,0,0,21,0,0,2,-75.444427,2.6020765,0
4,2.6020765,36,1,17,2,2.3126602e-05,0,0,1,21,0,0,2,-75.394058,2.6020765,0
6,2.6020732,39,0,0,1,2.7656555e-05,0,0,0,8,0,0,1,-75.444847,2.6020732,0
6,2.6020732,39,0,0,1,2.7656555e-05,0,0,1,8,0,0,1,-75.444847,2.6020732,0
8,2.6020501,34,1,16,2,1.9311905e-05,0,0,0,20,0,0,3,-75.444427,2.6020501,0
8,2.6020501,34,1,16,2,1.9311905e-05,0,0,1,20,0,0,3,-75.394058,2.6020501,0
10,2.6020534,37,0,0,1,2.3126602e-05,0,0,0,7,0,0,2,-75.444427,2.6020534,0
10,2.6020534,37,0,0,1,2.3126602e-05,0,0,1,7,0,0,2,-75.444427,2.6020534,0
12,2.6020224,32,1,18,2,1.5735626e-05,0,0,0,19,0,0,4,-75.444427,2.6020224,0
12,2.6020224,32,1,18,2,1.5735626e-05,0,0,1,19,0,0,4,-75.394058,2.6020224,0
14,2.6020308,35,0,0,1,1.9311905e-05,0,0,0,6,0,0,3,-75.444427,2.6020308,0
14,2.6020308,35,0,0,1,1.9311905e-05,0,0,1,6,0,0,3,-75.444427,2.6020308,0
16,2.601994,30,1,20,2,1.2159348e-05,0,0,0,18,0,0,5,-75.444427,2.601994,0
16,2.601994,30,1,20,2,1.2159348e-05,0,0,1,18,0,0,5,-75.394058,2.601994,0
18,2.6020067,33,0,0,1,1.5735626e-05,0,0,0,5,0,0,4,-75.444427,2.6020067,0
18,2.6020067,33,0,0,1,1.5735626e-05,0,0,1,5,0,0,4,-75.444427,2.6020067,0
20,2.6019654,28,1,17,2,8.5830688e-06,0,0,0,17,0,0,6,-75.444427,2.6019654,0
20,2.6019654,28,1,17,2,8.5830688e-06,0,0,1,17,0,0,6,-75.394058,2.6019654,0
22,2.6019819,31,0,0,1,1.2159348e-05,0,0,0,4,0,0,5,-75.444427,2.6019819,0
22,2.6019819,31,0,0,1,1.2159348e-05,0,0,1,4,0,0,5,-75.444427,2.6019819,0
24,2.6019375,26,1,19,2,5.9604645e-06,0,0,0,16,0,0,7,-75.444427,2.6019375,0
24,2.6019375,26,1,19,2,5.9604645e-06,0,0,1,16,0,0,7,-75.394058,2.6019375,0
26,2.6019568,29,0,0,1,8.5830688e-06,0,0,0,3,0,0,6,-75.444427,2.6019568,0
26,2.6019568,29,0,0,1,8.5830688e-06,0,0,1,3,0,0,6,-75.444427,2.6019568,0
28,2.6019104,24,1,18,2,3.3378601e-06,0,0,0,15,0,0,8,-75.444427,2.6019104,0
28,2.6019104,24,1,18,2,3.3378601e-06,0,0,1,15,0,0,8,-75.394058,2.6019104,0
30,2.6019316,27,0,0,1,5.9604645e-06,0,0,0,2,0,0,7,-75.444427,2.6019316,0
30,2.6019316,27,0,0,1,5.9604645e-06,0,0,1,2,0,0,7,-75.444427,2.6019316,0
32,2.6018848,22,1,21,2,1.1920929e-06,0,0,0,14,0,0,9,-75.444427,2.6018848,0
32,2.6018848,22,1,21,2,1.1920929e-06,0,0,1,14,0,0,9,-75.394058,2.6018848,0
34,2.601907,25,0,0,1,3.3378601e-06,0,0,0,1,0,0,8,-75.444427,2.601907,0
34,2.601907,25,0,0,1,3.3378601e-06,0,0,1,1,0,0,8,-75.444427,2.601907,0
36,2.6017938,49,1,118,13,1.9073486e-06,0,0,0,13,0,0,10,-75.444847,2.6017938,0
36,2.6017938,49,1,118,13,1.9073486e-06,0,0,1,13,0,0,10,-75.394058,2.6017938,0
38,2.6018836,23,0,0,1,1.1920929e-06,0,0,0,0,0,0,9,-75.444427,2.6018836,0
38,2.6018836,23,0,0,1,1.1920929e-06,0,0,1,0,0,0,9,-75.444427,2.6018836,0
40,2.6017919,89,0,0,1,1.9073486e-06,0,0,0,11,0,0,10,-75.444847,2.6017919,0
40,2.6017919,89,0,0,1,1.9073486e-06,0,0,1,11,0,0,10,-75.444847,2.6017919,0
42,2.6017935,86,1,1,3,2.3841858e-07,0,0,0,12,0,0,11,-75.444427,2.6017935,0
42,2.6017935,86,1,1,3,2.3841858e-07,0,0,1,12,0,0,11,-75.394058,2.6017935,0
44,2.6017911,48,0,1,2,0.008307457,0,0,0,10,1,0,0,-75.394058,2.6017911,0
44,2.6017911,48,0,1,2,0.008307457,0,0,1,10,1,0,0,-75.394058,2.6017911,0
46,2.6017933,46,0,0,1,2.3841858e-07,0,0,0,9,0,0,11,-75.444427,2.6017933,0
46,2.6017933,46,0,0,1,2.3841858e-07,0,0,1,9,0,0,11,-75.444427,2.6017933,0
