"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
439,0,39,10,0,2.6008341,2.6008341,0
1598,3,38,39,0,2.6008341,2.6379693,0
536,0,16,13,0,2.6017909,2.6017909,0
467,1,27,11,0,2.6017909,2.602021,0
577,0,17,14,0,2.6017971,2.6017971,0
537,1,17,13,0,2.6017971,2.6018162,0
534,0,14,13,0,2.6018183,2.6018183,0
574,1,14,14,0,2.6018183,2.6018214,0
543,0,23,13,0,2.6019413,2.6019413,0
503,1,23,12,0,2.6019413,2.601943,0
507,0,27,12,0,2.6020029,2.6020029,0
468,1,28,11,0,2.6020029,2.6020041,0
