"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
896,0,16,22,0,0.017491117,0.017491117,0
1599,3,39,39,0,0.017491117,1638.0288,0
1056,0,16,26,0,0.027904144,0.027904144,0
936,1,16,23,0,0.027904144,0.037231769,0
859,0,19,21,0,0.12013862,0.12013862,0
899,1,19,22,0,0.12013862,0.15500571,0
779,0,19,19,0,0.22127876,0.22127876,0
819,1,19,20,0,0.22127876,0.22346339,0
378,0,18,9,0,0.95241416,0.95241416,0
657,1,17,16,0,0.95241416,4.5378613,0
99,0,19,2,0,1.4560885,1.4560885,0
258,1,18,6,0,1.4560885,4.1357236,0
577,0,17,14,0,1.4749708,1.4749708,0
497,1,17,12,0,1.4749708,3.4098821,0
33,0,33,0,0,455.91821,455.91821,0
71,1,31,1,0,455.91821,477.94116,0
113,2,33,2,0,528.66278,528.66278,0
229,3,29,5,0,528.66278,537.66016,0
