"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Persistence","ClusterID","TreeID","isDummyNode","TrueNodeId","isImportantPair","isMultiPersPairNode","BranchNodeID","Points:0","Points:1","Points:2"
0,4049.8206,0,3,1208,19,4049.7744,0,0,0,17,1,0,0,1946.9335,4049.8206,0
2,122.17903,139,1,1208,19,0.50843811,0,0,0,16,0,0,1,1689.7727,122.17903,0
2,122.17903,139,1,1208,19,0.50843811,0,0,1,16,0,0,1,1946.9335,122.17903,0
4,71.079857,229,1,91,10,1.8433456,0,0,0,15,0,0,2,1689.7727,71.079857,0
4,71.079857,229,1,91,10,1.8433456,0,0,1,15,0,0,2,1946.9335,71.079857,0
6,121.67059,99,0,0,1,0.50843811,0,0,0,0,0,0,1,1689.7727,121.67059,0
6,121.67059,99,0,0,1,0.50843811,0,0,1,0,0,0,1,1689.7727,121.67059,0
8,14.380102,1374,1,166,32,6.021698,0,0,0,14,0,0,3,1689.7727,14.380102,0
8,14.380102,1374,1,166,32,6.021698,0,0,1,14,0,0,3,1946.9335,14.380102,0
10,69.236511,190,0,0,1,1.8433456,0,0,0,1,0,0,2,1689.7727,69.236511,0
10,69.236511,190,0,0,1,1.8433456,0,0,1,1,0,0,2,1689.7727,69.236511,0
12,0.55463022,818,1,91,14,0.33180958,0,0,0,12,0,0,4,1284.7953,0.55463022,0
12,0.55463022,818,1,91,14,0.33180958,0,0,1,12,0,0,4,1946.9335,0.55463022,0
14,8.4810696,1573,1,12,5,0.068189621,0,0,0,13,0,0,5,1487.2839,8.4810705,0
14,8.4810696,1573,1,12,5,0.068189621,0,0,1,13,0,0,5,1689.7727,8.4810705,0
16,0.41339567,936,1,3,3,0.31810322,0,0,0,11,0,0,6,1487.2839,0.41339567,0
16,0.41339567,936,1,3,3,0.31810322,0,0,1,11,0,0,6,1946.9335,0.41339567,0
18,0.22282065,819,0,5,1,0.33180958,0,0,0,2,0,0,4,1284.7953,0.22282064,0
18,0.22282065,819,0,5,1,0.33180958,0,0,1,2,0,0,4,1284.7953,0.22282064,0
20,8.3584042,1533,0,0,1,6.021698,0,0,0,7,0,0,3,1689.7727,8.3584051,0
20,8.3584042,1533,0,0,1,6.021698,0,0,1,7,0,0,3,1689.7727,8.3584051,0
22,8.4128799,1574,0,0,1,0.068189621,0,0,0,8,0,0,5,1487.2839,8.4128809,0
22,8.4128799,1574,0,0,1,0.068189621,0,0,1,8,0,0,5,1487.2839,8.4128809,0
24,0.095292456,857,0,1,2,0.31810322,0,0,0,3,0,0,6,1487.2839,0.095292464,0
24,0.095292456,857,0,1,2,0.31810322,0,0,1,3,0,0,6,1487.2839,0.095292464,0
26,0.17226119,1019,1,4,3,0.019484267,0,0,0,10,0,0,7,1689.7727,0.17226118,0
26,0.17226119,1019,1,4,3,0.019484267,0,0,1,10,0,0,7,1946.9335,0.17226118,0
28,0.075776413,1016,1,0,3,0.013520349,0,0,0,9,0,0,8,1689.7727,0.075776413,0
28,0.075776413,1016,1,0,3,0.013520349,0,0,1,9,0,0,8,1946.9335,0.075776413,0
30,0.15277693,1059,0,0,1,0.019484267,0,0,0,6,0,0,7,1689.7727,0.15277693,0
30,0.15277693,1059,0,0,1,0.019484267,0,0,1,6,0,0,7,1689.7727,0.15277693,0
32,0.046220489,976,0,0,1,4049.7744,0,0,0,4,1,0,0,1946.9335,0.046220489,0
32,0.046220489,976,0,0,1,4049.7744,0,0,1,4,1,0,0,1946.9335,0.046220489,0
34,0.062256064,1017,0,1,1,0.013520349,0,0,0,5,0,0,8,1689.7727,0.062256064,0
34,0.062256064,1017,0,1,1,0.013520349,0,0,1,5,0,0,8,1689.7727,0.062256064,0
