"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,18328162,30,0,0,1,30,0,0
1,215368.39,76,0,1,1,36,1,0
2,3886811.5,100,0,1,1,20,2,0
3,5345792.5,103,0,4,1,23,2,0
4,5157228,112,0,1,1,32,2,0
5,3919717.2,223,0,1,1,23,5,0
6,3340516.8,259,0,1,1,19,6,0
7,2523256.2,265,0,0,1,25,6,0
8,5538.21,313,0,0,1,33,7,0
9,1330134.8,379,0,1,1,19,9,0
10,2298592.8,381,0,1,1,21,9,0
11,2315197.8,384,0,0,1,24,9,0
12,6905694,422,0,0,1,22,10,0
13,4058311.8,460,0,0,1,20,11,0
14,86476.914,467,0,0,1,27,11,0
15,3536.0369,470,0,0,1,30,11,0
16,3811540,501,0,0,1,21,12,0
17,2333.876,588,0,0,1,28,14,0
18,3293.144,655,0,2,1,15,16,0
19,2021.7272,667,0,0,1,27,16,0
20,204346.75,696,0,1,1,16,17,0
21,81560.102,698,0,1,1,18,17,0
22,13.36157,820,0,20,4,20,20,0
23,1470.8529,825,0,0,1,25,20,0
24,3156.7244,894,0,1,1,14,22,0
25,1232.5393,904,0,1,1,24,22,0
26,1949.6481,1018,0,0,1,18,25,0
27,2679.0898,1053,0,4,3,13,26,0
28,3568.2847,1060,0,0,1,20,26,0
29,1385.5125,1063,0,1,1,23,26,0
30,3808.9092,1171,0,0,1,11,29,0
31,1355.9883,1182,0,2,2,22,29,0
32,2335540.2,1214,0,0,1,14,30,0
33,3194863.8,1292,0,0,1,12,32,0
34,6223160,1295,0,0,1,15,32,0
35,3898735,1371,0,0,1,11,34,0
36,2646969,1414,0,7,1,14,35,0
37,5208806,1571,0,3,2,11,39,0
38,1598.3832,1103,1,0,3,23,27,0
39,1559.7681,864,1,0,3,24,21,0
40,1644.9326,984,1,9,7,24,24,0
41,1952.8126,979,1,13,2,19,24,0
42,2123.925,706,1,9,2,26,17,0
43,2512.6963,627,1,27,4,27,15,0
44,3534.8699,934,1,6,5,14,23,0
45,3669.2625,510,1,53,5,30,12,0
46,5790.8022,1059,1,0,5,19,26,0
47,4024.3337,1131,1,4,11,11,28,0
48,4602.1812,694,1,517,3,14,17,0
49,5801.291,353,1,2,17,33,8,0
50,5946.6279,903,1,446,5,23,22,0
51,100412.05,739,1,3,3,19,18,0
52,134628.47,816,1,26,3,16,20,0
53,254686.12,697,1,4,12,17,17,0
54,294859.91,468,1,18,13,28,11,0
55,393521.75,77,1,95,21,37,1,0
56,2546806.8,418,1,2,19,18,10,0
57,2694439,1174,1,1,21,14,29,0
58,2779941.5,424,1,17,4,24,10,0
59,3436020.8,380,1,15,4,20,9,0
60,4123941,540,1,0,7,20,13,0
61,4330178,304,1,0,26,24,7,0
62,4374505,1253,1,1,24,13,31,0
63,4506248.5,299,1,7,26,19,7,0
64,4793144,1332,1,14,1,12,33,0
65,5527311,1373,1,10,22,13,34,0
66,6271116,499,1,7,9,19,12,0
67,6749216,139,1,1,30,19,3,0
68,6771962,1335,1,1,28,15,33,0
69,6868473,263,1,22,4,23,6,0
70,7901724,421,1,29,14,21,10,0
71,10241298,113,1,5,10,33,2,0
72,10639891,143,1,10,35,23,3,0
73,11946761,1492,1,45,40,12,37,0
74,19641550,70,1,51,1,30,1,0
75,2.2546989e+08,31,3,51,1,31,0,0
