"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,2.3020258,1,0,2,1,1,0,0
1,2.3020954,3,0,0,1,3,0,0
2,2.3024073,15,0,0,1,15,0,0
3,2.3023703,17,0,0,1,17,0,0
4,2.3023765,19,0,0,1,19,0,0
5,2.3023877,21,0,0,1,21,0,0
6,2.3024206,23,0,0,1,23,0,0
7,2.3024669,25,0,0,1,25,0,0
8,2.3024514,27,0,0,1,27,0,0
9,2.3027444,35,0,0,1,35,0,0
10,2.3027725,37,0,0,1,37,0,0
11,2.3021765,45,0,0,1,5,1,0
12,2.3022256,87,0,0,1,7,2,0
13,2.3023689,133,0,0,1,13,3,0
14,2.3027058,191,0,0,1,31,4,0
15,2.3027456,193,0,0,1,33,4,0
16,2.3021836,240,0,3,2,0,6,0
17,2.3027716,351,0,0,1,31,8,0
18,2.3022108,363,0,0,1,3,9,0
19,2.3023415,373,0,0,1,13,9,0
20,2.3021615,640,0,1,1,0,16,0
21,2.3021705,681,0,1,1,1,17,0
22,2.3028791,712,0,0,1,32,17,0
23,2.3021767,723,0,0,1,3,18,0
24,2.3025327,859,0,0,1,19,21,0
25,2.3021917,880,0,0,1,0,22,0
26,2.3021913,882,0,1,1,2,22,0
27,2.3034208,1599,0,0,1,39,39,0
28,2.3021274,2,1,10,3,2,0,0
29,2.3021729,680,1,7,2,0,17,0
30,2.3021827,5,1,3,5,5,0,0
31,2.302186,722,1,10,3,2,18,0
32,2.3021989,161,1,14,4,1,4,0
33,2.3021927,881,1,2,1,1,22,0
34,2.3021936,842,1,34,11,2,21,0
35,2.302212,323,1,0,3,3,8,0
36,2.3022134,400,1,30,11,0,10,0
37,2.3022268,47,1,197,9,7,1,0
38,2.3023431,372,1,39,6,12,9,0
39,2.3023705,132,1,38,2,12,3,0
40,2.302423,18,1,0,2,18,0,0
41,2.302423,20,1,0,4,20,0,0
42,2.3024092,54,1,21,2,14,1,0
43,2.302423,56,1,23,6,16,1,0
44,2.3024387,22,1,43,2,22,0,0
45,2.3024724,24,1,22,2,24,0,0
46,2.3024895,26,1,61,21,26,0,0
47,2.3025348,819,1,346,20,19,20,0
48,2.3027198,151,1,59,2,31,3,0
49,2.3027494,153,1,23,3,33,3,0
50,2.3027625,34,1,41,2,34,0,0
51,2.3027866,36,1,0,10,36,0,0
52,2.3027866,350,1,183,10,30,8,0
53,2.302882,751,1,330,21,31,18,0
54,2.3034225,1559,1,0,1,39,38,0
55,2.3034251,1598,3,0,1,38,39,0
