"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Persistence","ClusterID","TreeID","isDummyNode","TrueNodeId","isImportantPair","isMultiPersPairNode","BranchNodeID","Points:0","Points:1","Points:2"
0,2.3034251,1598,3,0,1,0.0013992786,0,0,0,55,1,0,0,-75.697273,2.3034251,0
2,2.3034225,1559,1,0,1,1.6689301e-06,0,0,0,54,0,0,1,-75.74733,2.3034225,0
2,2.3034225,1559,1,0,1,1.6689301e-06,0,0,1,54,0,0,1,-75.697273,2.3034225,0
4,2.302882,751,1,330,21,2.8610229e-06,0,0,0,53,0,0,2,-75.74733,2.302882,0
4,2.302882,751,1,330,21,2.8610229e-06,0,0,1,53,0,0,2,-75.697273,2.302882,0
6,2.3034208,1599,0,0,1,1.6689301e-06,0,0,0,27,0,0,1,-75.74733,2.3034208,0
6,2.3034208,1599,0,0,1,1.6689301e-06,0,0,1,27,0,0,1,-75.74733,2.3034208,0
8,2.3027866,350,1,183,10,1.502037e-05,0,0,0,52,0,0,3,-75.747398,2.3027866,0
8,2.3027866,350,1,183,10,1.502037e-05,0,0,1,52,0,0,3,-75.697273,2.3027866,0
10,2.3028791,712,0,0,1,2.8610229e-06,0,0,0,22,0,0,2,-75.74733,2.3028791,0
10,2.3028791,712,0,0,1,2.8610229e-06,0,0,1,22,0,0,2,-75.74733,2.3028791,0
12,2.3027716,351,0,0,1,1.502037e-05,0,0,0,17,0,0,3,-75.747398,2.3027716,0
12,2.3027716,351,0,0,1,1.502037e-05,0,0,1,17,0,0,3,-75.747398,2.3027716,0
14,2.3027866,36,1,0,10,1.4066696e-05,0,0,0,51,0,0,4,-75.74733,2.3027866,0
14,2.3027866,36,1,0,10,1.4066696e-05,0,0,1,51,0,0,4,-75.697273,2.3027866,0
16,2.3027625,34,1,41,2,1.8119812e-05,0,0,0,50,0,0,5,-75.747398,2.3027625,0
16,2.3027625,34,1,41,2,1.8119812e-05,0,0,1,50,0,0,5,-75.697273,2.3027625,0
18,2.3027725,37,0,0,1,1.4066696e-05,0,0,0,10,0,0,4,-75.74733,2.3027725,0
18,2.3027725,37,0,0,1,1.4066696e-05,0,0,1,10,0,0,4,-75.74733,2.3027725,0
20,2.3027444,35,0,0,1,1.8119812e-05,0,0,0,9,0,0,5,-75.747398,2.3027444,0
20,2.3027444,35,0,0,1,1.8119812e-05,0,0,1,9,0,0,5,-75.747398,2.3027444,0
22,2.3027494,153,1,23,3,3.8146973e-06,0,0,0,49,0,0,6,-75.74733,2.3027494,0
22,2.3027494,153,1,23,3,3.8146973e-06,0,0,1,49,0,0,6,-75.697273,2.3027494,0
24,2.3027198,151,1,59,2,1.4066696e-05,0,0,0,48,0,0,7,-75.74733,2.3027198,0
