"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
573,0,13,14,0,2.3053198,2.3053198,0
1,3,1,0,0,2.3053198,42.127476,0
535,0,15,13,0,2.3053308,2.3053308,0
534,1,14,13,0,2.3053308,2.305331,0
421,0,21,10,0,2.305352,2.305352,0
458,1,18,11,0,2.305352,2.3054295,0
608,0,8,15,0,2.3053777,2.3053777,0
572,1,12,14,0,2.3053777,2.3054078,0
459,0,19,11,0,2.3053892,2.3053892,0
420,1,20,10,0,2.3053892,2.3054025,0
649,0,9,16,0,2.3053939,2.3053939,0
648,1,8,16,0,2.3053939,2.3054032,0
380,0,20,9,0,2.3053942,2.3053942,0
420,1,20,10,0,2.3053942,2.3054025,0
611,0,11,15,0,2.305398,2.305398,0
610,1,10,15,0,2.305398,2.3054047,0
423,0,23,10,0,2.3054552,2.3054552,0
383,1,23,9,0,2.3054552,2.3054938,0
425,0,25,10,0,2.3055496,2.3055496,0
424,1,24,10,0,2.3055496,2.3057115,0
1012,0,12,25,0,2.3056536,2.3056536,0
891,1,11,22,0,2.3056536,2.3059778,0
1053,0,13,26,0,2.3056834,2.3056834,0
1052,1,12,26,0,2.3056834,2.3056896,0
428,0,28,10,0,2.3057263,2.3057263,0
427,1,27,10,0,2.3057263,2.3058136,0
1132,0,12,28,0,2.3057292,2.3057292,0
1092,1,12,27,0,2.3057292,2.3057375,0
1173,0,13,29,0,2.3057292,2.3057292,0
1133,1,13,28,0,2.3057292,2.3057916,0
1220,0,20,30,0,2.3057296,2.3057296,0
1177,1,17,29,0,2.3057296,2.3058629,0
1178,0,18,29,0,2.3057714,2.3057714,0
1219,1,19,30,0,2.3057714,2.3057818,0
1261,0,21,31,0,2.305784,2.305784,0
1221,1,21,30,0,2.305784,2.3058131,0
1182,0,22,29,0,2.3057852,2.3057852,0
1221,1,21,30,0,2.3057852,2.3058131,0
1175,0,15,29,0,2.3058188,2.3058188,0
1135,1,15,28,0,2.3058188,2.3058259,0
509,0,29,12,0,2.3058386,2.3058386,0
469,1,29,11,0,2.3058386,2.3059754,0
771,2,11,19,0,2.3058975,2.3058975,0
770,3,10,19,0,2.3058975,2.3058984,0
1223,0,23,30,0,2.305908,2.305908,0
1183,1,23,29,0,2.305908,2.3059263,0
853,2,13,21,0,2.3060048,2.3060048,0
852,3,12,21,0,2.3060048,2.3060229,0
928,2,8,23,0,2.3060229,2.3060229,0
888,3,8,22,0,2.3060229,2.3060777,0
551,0,31,13,0,2.3062811,2.3062811,0
550,1,30,13,0,2.3062811,2.3063123,0
742,2,22,18,0,2.3064284,2.3064284,0
702,3,22,17,0,2.3064284,2.3064289,0
1187,0,27,29,0,2.3064437,2.3064437,0
1186,1,26,29,0,2.3064437,2.3065073,0
593,0,33,14,0,2.3065166,2.3065166,0
553,1,33,13,0,2.3065166,2.3066256,0
784,2,24,19,0,2.3065455,2.3065455,0
744,3,24,18,0,2.3065455,2.3065481,0
1151,0,31,28,0,2.3068709,2.3068709,0
1150,1,30,28,0,2.3068709,2.306881,0
712,2,32,17,0,2.3070872,2.3070872,0
672,3,32,16,0,2.3070872,2.3071015,0
795,0,35,19,0,2.3071806,2.3071806,0
716,1,36,17,0,2.3071806,2.3072636,0
754,2,34,18,0,2.3072805,2.3072805,0
714,3,34,17,0,2.3072805,2.3072855,0
834,2,34,20,0,2.3073733,2.3073733,0
794,3,34,19,0,2.3073733,2.3073952,0
875,2,35,21,0,2.3073978,2.3073978,0
874,3,34,21,0,2.3073978,2.3074048,0
