"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,2.8800027,1560,0,0,1,0,39,0
1,2.8770592,1562,0,0,1,2,39,0
2,2.8740282,1564,0,0,1,4,39,0
3,2.8707852,1566,0,0,1,6,39,0
4,2.8678906,1568,0,0,1,8,39,0
5,2.8651145,1570,0,0,1,10,39,0
6,2.8629541,1572,0,0,1,12,39,0
7,2.8608313,1574,0,0,1,14,39,0
8,2.8587317,1576,0,0,1,16,39,0
9,2.8569653,1578,0,0,1,18,39,0
10,2.8553486,1580,0,0,1,20,39,0
11,2.8542197,1582,0,0,1,22,39,0
12,2.8531513,1584,0,0,1,24,39,0
13,2.8521743,1586,0,0,1,26,39,0
14,2.8518527,1588,0,0,1,28,39,0
15,2.85146,1590,0,0,1,30,39,0
16,2.8515725,1592,0,1,1,32,39,0
17,2.8519869,1594,0,0,1,34,39,0
18,2.8524048,1596,0,0,1,36,39,0
19,2.8531504,1598,0,0,1,38,39,0
20,2.8574827,1589,1,0,2,29,39,0
21,2.8576024,1591,1,2,2,31,39,0
22,2.8576934,1593,1,1,6,33,39,0
23,2.8579628,1587,1,0,8,27,39,0
24,2.8580394,1595,1,2,10,35,39,0
25,2.8586667,1585,1,0,12,25,39,0
26,2.858794,1597,1,2,14,37,39,0
27,2.8595328,1583,1,2,2,23,39,0
28,2.8606281,1581,1,1,2,21,39,0
29,2.8620179,1579,1,3,2,19,39,0
30,2.8637922,1577,1,12,2,17,39,0
31,2.8649008,1575,1,8,2,15,39,0
32,2.867269,1573,1,4,2,13,39,0
33,2.8698051,1571,1,22,2,11,39,0
34,2.8724806,1569,1,7,2,9,39,0
35,2.8749766,1567,1,21,2,7,39,0
36,2.8779621,1565,1,13,2,5,39,0
37,2.8805916,1563,1,23,2,3,39,0
38,2.8841372,1561,1,1436,54,1,39,0
39,3.1740515,39,3,1436,54,39,0,0
