"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
1590,0,30,39,0,2.85146,2.85146,0
39,3,39,0,0,2.85146,3.1740515,0
1592,0,32,39,0,2.8515725,2.8515725,0
1591,1,31,39,0,2.8515725,2.8576024,0
1588,0,28,39,0,2.8518527,2.8518527,0
1589,1,29,39,0,2.8518527,2.8574827,0
1594,0,34,39,0,2.8519869,2.8519869,0
1593,1,33,39,0,2.8519869,2.8576934,0
1586,0,26,39,0,2.8521743,2.8521743,0
1587,1,27,39,0,2.8521743,2.8579628,0
1596,0,36,39,0,2.8524048,2.8524048,0
1595,1,35,39,0,2.8524048,2.8580394,0
1598,0,38,39,0,2.8531504,2.8531504,0
1597,1,37,39,0,2.8531504,2.858794,0
1584,0,24,39,0,2.8531513,2.8531513,0
1585,1,25,39,0,2.8531513,2.8586667,0
1582,0,22,39,0,2.8542197,2.8542197,0
1583,1,23,39,0,2.8542197,2.8595328,0
1580,0,20,39,0,2.8553486,2.8553486,0
1581,1,21,39,0,2.8553486,2.8606281,0
1578,0,18,39,0,2.8569653,2.8569653,0
1579,1,19,39,0,2.8569653,2.8620179,0
1576,0,16,39,0,2.8587317,2.8587317,0
1577,1,17,39,0,2.8587317,2.8637922,0
1574,0,14,39,0,2.8608313,2.8608313,0
1575,1,15,39,0,2.8608313,2.8649008,0
1572,0,12,39,0,2.8629541,2.8629541,0
1573,1,13,39,0,2.8629541,2.867269,0
1570,0,10,39,0,2.8651145,2.8651145,0
1571,1,11,39,0,2.8651145,2.8698051,0
1568,0,8,39,0,2.8678906,2.8678906,0
1569,1,9,39,0,2.8678906,2.8724806,0
1566,0,6,39,0,2.8707852,2.8707852,0
1567,1,7,39,0,2.8707852,2.8749766,0
1564,0,4,39,0,2.8740282,2.8740282,0
1565,1,5,39,0,2.8740282,2.8779621,0
1562,0,2,39,0,2.8770592,2.8770592,0
1563,1,3,39,0,2.8770592,2.8805916,0
1560,0,0,39,0,2.8800027,2.8800027,0
1561,1,1,39,0,2.8800027,2.8841372,0
