Point ID,BranchNodeID,ClusterID,CriticalType,isDummyNode,isImportantPair,isMultiPersPairNode,NodeId,Persistence,Points_0,Points_1,Points_2,Points_Magnitude,RegionSize,RegionSpan,Scalar,TreeID,TrueNodeId,VertexId
0,0,0,3,0,1,0,0,2.80906e+35,1.40453e+35,2.80906e+35,0,3.14063e+35,189,4,2.80906e+35,0,5,777
1,1,0,1,0,1,0,2,6.70649e+31,1.55201e+35,6.70649e+31,0,1.55201e+35,189,4,6.70649e+31,0,4,538
2,1,0,1,1,1,0,2,6.70649e+31,1.40453e+35,6.70649e+31,0,1.40453e+35,189,4,6.70649e+31,0,4,538
3,0,0,0,0,1,0,4,2.80906e+35,1.40453e+35,0,0,1.40453e+35,115,7,0,0,1,89
4,0,0,0,1,1,0,4,2.80906e+35,1.40453e+35,0,0,1.40453e+35,115,7,0,0,1,89
5,2,0,1,0,1,0,6,2.4661e+31,1.69948e+35,2.4661e+31,0,1.69948e+35,14,6,2.4661e+31,0,3,342
6,2,0,1,1,1,0,6,2.4661e+31,1.55201e+35,2.4661e+31,0,1.55201e+35,14,6,2.4661e+31,0,3,342
7,1,0,0,0,1,0,8,6.70649e+31,1.55201e+35,0,0,1.55201e+35,146,5,0,0,0,0
8,1,0,0,1,1,0,8,6.70649e+31,1.55201e+35,0,0,1.55201e+35,146,5,0,0,0,0
9,2,0,0,0,1,0,10,2.4661e+31,1.69948e+35,1.70108,0,1.69948e+35,530,3,1.70108,0,2,455
10,2,0,0,1,1,0,10,2.4661e+31,1.69948e+35,1.70108,0,1.69948e+35,530,3,1.70108,0,2,455
