Point ID,BranchNodeID,ClusterID,CriticalType,isDummyNode,isImportantPair,isMultiPersPairNode,NodeId,Persistence,Points_0,Points_1,Points_2,Points_Magnitude,RegionSize,RegionSpan,Scalar,TreeID,TrueNodeId,VertexId
0,0,0,3,0,1,0,0,6.66286e+35,3.33143e+35,6.66286e+35,0,7.44931e+35,178,7,6.66286e+35,0,7,13
1,1,0,1,0,1,0,2,1.28245e+32,3.68123e+35,1.28245e+32,0,3.68123e+35,178,7,1.28245e+32,0,6,371
2,1,0,1,1,1,0,2,1.28245e+32,3.33143e+35,1.28245e+32,0,3.33143e+35,178,7,1.28245e+32,0,6,371
3,0,0,0,0,1,0,4,6.66286e+35,3.33143e+35,0,0,3.33143e+35,129,7,0,0,0,0
4,0,0,0,1,1,0,4,6.66286e+35,3.33143e+35,0,0,3.33143e+35,129,7,0,0,0,0
5,2,0,1,0,1,0,6,4.98821e+31,4.03103e+35,4.98821e+31,0,4.03103e+35,15,7,4.98821e+31,0,5,358
6,2,0,1,1,1,0,6,4.98821e+31,3.68123e+35,4.98821e+31,0,3.68123e+35,15,7,4.98821e+31,0,5,358
7,1,0,0,0,1,0,8,1.28245e+32,3.68123e+35,0,0,3.68123e+35,107,5,0,0,1,99
8,1,0,0,1,1,0,8,1.28245e+32,3.68123e+35,0,0,3.68123e+35,107,5,0,0,1,99
9,3,0,1,0,1,0,10,1.16126e+10,4.38083e+35,1.92307e+10,0,4.38083e+35,547,4,1.92307e+10,0,4,535
10,3,0,1,1,1,0,10,1.16126e+10,4.03103e+35,1.92307e+10,0,4.03103e+35,547,4,1.92307e+10,0,4,535
11,2,0,0,0,1,0,12,4.98821e+31,4.03103e+35,0.192003,0,4.03103e+35,16,2,0.192003,0,3,455
12,2,0,0,1,1,0,12,4.98821e+31,4.03103e+35,0.192003,0,4.03103e+35,16,2,0.192003,0,3,455
13,3,0,0,0,1,0,14,1.16126e+10,4.38083e+35,7.61812e+09,0,4.38083e+35,0,1,7.61812e+09,0,2,426
14,3,0,0,1,1,0,14,1.16126e+10,4.38083e+35,7.61812e+09,0,4.38083e+35,0,1,7.61812e+09,0,2,426
