Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,0,0,0,0,0,0,0,0,0,0
1,1,5,2,5.47723,3,0,2.68732e+35,0,2.68732e+35,251
2,9,8,0,12.0416,0,0,0,0,0,89
3,8,3,5,9.8995,1,0,2.10857e+31,0,2.10857e+31,538
4,5,5,4,8.12404,0,0.179677,0.179677,0,0.254101,455
5,1,6,5,7.87401,1,0.179677,1.46071e+31,0,1.46071e+31,561
6,6,2,4,7.48331,0,1.20032e+10,1.20032e+10,0,1.6975e+10,426
7,5,3,5,7.68115,1,1.20032e+10,3.71747e+10,0,3.90645e+10,535
8,2,4,3,5.38516,1,2.66183e+31,2.66183e+31,0,3.7644e+31,342
9,1,5,4,6.48074,2,2.66183e+31,3.25625e+33,0,3.25636e+33,451
10,7,7,4,10.6771,1,2.80903e+31,2.80903e+31,0,3.97257e+31,477
11,8,6,3,10.4403,2,2.80903e+31,2.00656e+33,0,2.00676e+33,368
12,1,5,6,7.87401,1,2.96613e+31,2.96613e+31,0,4.19475e+31,651
13,1,5,5,7.14143,2,2.96613e+31,2.96109e+32,0,2.9759e+32,551
14,8,6,1,10.0499,1,3.27222e+31,3.27222e+31,0,4.62762e+31,168
15,8,6,3,10.4403,2,3.27222e+31,2.00656e+33,0,2.00683e+33,368
16,8,4,4,9.79796,1,3.6301e+31,3.6301e+31,0,5.13373e+31,448
17,8,4,5,10.247,2,3.6301e+31,4.56465e+32,0,4.57906e+32,548
18,5,9,8,13.0384,1,3.90314e+31,3.90314e+31,0,5.51987e+31,895
19,7,7,6,11.5758,2,3.90314e+31,7.1249e+33,0,7.125e+33,677
20,3,3,1,4.3589,1,3.95741e+31,3.95741e+31,0,5.59662e+31,133
21,2,4,2,4.89898,2,3.95741e+31,7.97329e+32,0,7.98311e+32,242
22,7,1,9,11.4455,1,4.03728e+31,4.03728e+31,0,5.70958e+31,917
23,7,5,8,11.7473,2,4.03728e+31,8.4512e+33,0,8.45129e+33,857
24,8,5,3,9.8995,1,4.78421e+31,4.78421e+31,0,6.7659e+31,358
25,8,5,4,10.247,2,4.78421e+31,7.22486e+32,0,7.24069e+32,458
26,4,1,0,4.12311,1,6.01324e+31,6.01324e+31,0,8.50401e+31,14
27,3,2,1,3.74166,2,6.01324e+31,1.2916e+33,0,1.29299e+33,123
28,3,2,2,4.12311,1,6.17854e+31,6.17854e+31,0,8.73778e+31,223
29,3,2,1,3.74166,2,6.17854e+31,1.2916e+33,0,1.29307e+33,123
30,2,3,4,5.38516,1,6.73577e+31,6.73577e+31,0,9.52582e+31,432
31,2,3,3,4.69042,2,6.73577e+31,1.42849e+33,0,1.43007e+33,332
32,2,2,9,9.43398,1,1.00904e+32,1.00904e+32,0,1.427e+32,922
33,1,3,9,9.53939,2,1.00904e+32,7.91227e+33,0,7.91291e+33,931
34,7,5,7,11.0905,1,1.03345e+32,1.03345e+32,0,1.46152e+32,757
35,8,4,6,10.7703,2,1.03345e+32,4.71883e+33,0,4.71996e+33,648
36,2,7,1,7.34847,1,1.04364e+32,1.04364e+32,0,1.47593e+32,172
37,3,3,0,4.24264,2,1.04364e+32,6.25854e+33,0,6.25941e+33,33
38,3,0,9,9.48683,1,1.0731e+32,1.0731e+32,0,1.51759e+32,903
39,2,1,9,9.27362,2,1.0731e+32,9.99096e+33,0,9.99153e+33,912
40,1,7,3,7.68115,1,1.10539e+32,1.10539e+32,0,1.56325e+32,371
41,1,6,3,6.78233,2,1.10539e+32,1.84514e+33,0,1.84845e+33,361
42,7,8,2,10.8167,1,1.32656e+32,1.32656e+32,0,1.87604e+32,287
43,7,8,4,11.3578,2,1.32656e+32,1.2476e+33,0,1.25463e+33,487
44,7,3,8,11.0454,1,1.36872e+32,1.36872e+32,0,1.93567e+32,837
45,7,3,9,11.7898,2,1.36872e+32,7.8629e+33,0,7.8641e+33,937
46,7,6,6,11,1,1.42553e+32,1.42553e+32,0,2.016e+32,667
47,7,6,7,11.5758,2,1.42553e+32,3.25513e+33,0,3.25825e+33,767
48,6,5,9,11.9164,1,1.6441e+32,1.6441e+32,0,2.3251e+32,956
49,7,4,8,11.3578,2,1.6441e+32,1.15407e+33,0,1.16572e+33,847
50,1,4,8,9,1,1.89444e+32,1.89444e+32,0,2.67915e+32,841
51,1,4,6,7.28011,2,1.89444e+32,9.29025e+32,0,9.48144e+32,641
52,2,9,0,9.21954,1,2.07132e+32,2.07132e+32,0,2.92929e+32,92
53,2,7,0,7.28011,2,2.07132e+32,6.83579e+33,0,6.83892e+33,72
54,3,1,5,5.91608,1,2.26861e+32,2.26861e+32,0,3.2083e+32,513
55,2,2,6,6.63325,2,2.26861e+32,1.78396e+33,0,1.79832e+33,622
56,6,9,5,11.9164,1,2.34811e+32,2.34811e+32,0,3.32073e+32,596
57,7,8,4,11.3578,2,2.34811e+32,1.2476e+33,0,1.26951e+33,487
58,8,1,7,10.6771,1,2.40372e+32,2.40372e+32,0,3.39937e+32,718
59,8,2,7,10.8167,2,2.40372e+32,2.39099e+33,0,2.40304e+33,728
60,4,0,3,5,1,2.56227e+32,2.56227e+32,0,3.6236e+32,304
61,3,1,4,5.09902,2,2.56227e+32,1.08067e+33,0,1.11063e+33,413
62,6,7,8,12.2066,1,3.08117e+32,3.08117e+32,0,4.35743e+32,876
63,7,6,7,11.5758,2,3.08117e+32,3.25513e+33,0,3.26968e+33,767
64,1,9,2,9.27362,1,3.90942e+32,3.90942e+32,0,5.52875e+32,291
65,1,8,2,8.30662,2,3.90942e+32,1.98824e+33,0,2.02631e+33,281
66,3,4,0,5,1,9.66192e+32,9.66192e+32,0,1.3664e+33,43
67,2,5,1,5.47723,2,9.66192e+32,3.16847e+33,0,3.31251e+33,152
68,7,9,0,11.4018,1,1.03397e+33,1.03397e+33,0,1.46225e+33,97
69,7,9,2,11.5758,2,1.03397e+33,1.25861e+34,0,1.26285e+34,297
70,8,7,0,10.6301,1,1.16163e+33,1.16163e+33,0,1.6428e+33,78
71,8,7,1,10.6771,2,1.16163e+33,3.69851e+33,0,3.87664e+33,178
72,2,3,3,4.69042,2,1.42849e+33,1.42849e+33,0,2.02018e+33,332
73,2,3,2,4.12311,3,1.42849e+33,2.38285e+34,0,2.38713e+34,232
74,8,7,1,10.6771,2,3.69851e+33,3.69851e+33,0,5.23048e+33,178
75,8,7,3,11.0454,3,3.69851e+33,5.46236e+34,0,5.47487e+34,378
76,7,7,6,11.5758,2,7.1249e+33,7.1249e+33,0,1.00761e+34,677
77,8,6,5,11.1803,3,7.1249e+33,1.82734e+35,0,1.82872e+35,568
78,1,7,2,7.34847,2,7.76949e+33,7.76949e+33,0,1.09877e+34,271
79,1,5,2,5.47723,3,7.76949e+33,2.68732e+35,0,2.68844e+35,251
80,1,4,5,6.48074,2,7.93844e+33,7.93844e+33,0,1.12267e+34,541
81,1,4,4,5.74456,3,7.93844e+33,6.43699e+34,0,6.48576e+34,441
82,8,5,5,10.6771,2,8.41397e+33,8.41397e+33,0,1.18991e+34,558
83,8,5,6,11.1803,3,8.41397e+33,1.02012e+35,0,1.02358e+35,658
84,4,0,0,4,2,1.19242e+34,1.19242e+34,0,1.68634e+34,4
85,1,3,5,5.91608,3,1.19242e+34,1.45833e+35,0,1.4632e+35,531
86,8,1,8,11.3578,2,1.24085e+34,1.24085e+34,0,1.75482e+34,818
87,8,2,8,11.4891,3,1.24085e+34,1.03988e+35,0,1.04726e+35,828
88,6,8,8,12.8062,2,1.32104e+34,1.32104e+34,0,1.86823e+34,886
89,7,7,7,12.1244,3,1.32104e+34,1.25913e+35,0,1.26604e+35,777
90,3,1,2,3.74166,2,1.54178e+34,1.54178e+34,0,2.1804e+34,213
91,3,1,1,3.31662,3,1.54178e+34,4.51942e+34,0,4.77517e+34,113
92,2,2,4,4.89898,2,1.55528e+34,1.55528e+34,0,2.1995e+34,422
93,2,2,3,4.12311,3,1.55528e+34,5.33472e+34,0,5.55681e+34,322
94,8,3,7,11.0454,2,1.65983e+34,1.65983e+34,0,2.34735e+34,738
95,8,4,7,11.3578,3,1.65983e+34,7.74512e+34,0,7.92098e+34,748
96,6,7,9,12.8841,2,2.09168e+34,2.09168e+34,0,2.95808e+34,976
97,7,6,8,12.2066,3,2.09168e+34,5.70383e+34,0,6.07526e+34,867
98,1,9,1,9.11043,2,2.2337e+34,2.2337e+34,0,3.15893e+34,191
99,1,8,1,8.12404,3,2.2337e+34,9.73793e+34,0,9.99083e+34,181
100,6,9,7,12.8841,2,2.40266e+34,2.40266e+34,0,3.39787e+34,796
101,7,8,6,12.2066,3,2.40266e+34,2.30623e+35,0,2.31871e+35,687
102,3,0,5,5.83095,2,3.77346e+34,3.77346e+34,0,5.33648e+34,503
103,2,1,6,6.40312,3,3.77346e+34,1.36547e+35,0,1.41665e+35,612
104,8,8,0,11.3137,2,8.70398e+34,8.70398e+34,0,1.23093e+35,88
105,8,8,1,11.3578,3,8.70398e+34,2.36457e+35,0,2.51968e+35,188
