Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,0,0,0,0,0,0,0,0,0,0
1,3,1,0,3.16228,3,0,6.66286e+35,0,6.66286e+35,13
2,9,9,0,12.7279,0,0,0,0,0,99
3,1,7,3,7.68115,1,0,1.28245e+32,0,1.28245e+32,371
4,5,5,4,8.12404,0,0.192003,0.192003,0,0.271534,455
5,8,5,3,9.8995,1,0.192003,4.98821e+31,0,4.98821e+31,358
6,6,2,4,7.48331,0,7.61812e+09,7.61812e+09,0,1.07736e+10,426
7,5,3,5,7.68115,1,7.61812e+09,1.92307e+10,0,2.06847e+10,535
8,7,1,9,11.4455,1,8.3908e+31,8.3908e+31,0,1.18664e+32,917
9,7,5,8,11.7473,2,8.3908e+31,9.88965e+33,0,9.89e+33,857
10,7,5,7,11.0905,1,1.19443e+32,1.19443e+32,0,1.68918e+32,757
11,8,5,5,10.6771,2,1.19443e+32,9.87145e+33,0,9.87218e+33,558
12,7,3,8,11.0454,1,1.37232e+32,1.37232e+32,0,1.94075e+32,837
13,7,3,9,11.7898,2,1.37232e+32,8.21099e+33,0,8.21214e+33,937
14,8,6,2,10.198,1,1.46795e+32,1.46795e+32,0,2.076e+32,268
15,8,6,3,10.4403,2,1.46795e+32,2.1158e+33,0,2.12089e+33,368
16,1,6,4,7.28011,1,1.61639e+32,1.61639e+32,0,2.28592e+32,461
17,1,6,3,6.78233,2,1.61639e+32,2.06654e+33,0,2.07286e+33,361
18,7,6,6,11,1,1.74854e+32,1.74854e+32,0,2.47282e+32,667
19,7,6,7,11.5758,2,1.74854e+32,4.357e+33,0,4.36051e+33,767
20,1,5,5,7.14143,1,1.78593e+32,1.78593e+32,0,2.52569e+32,551
21,1,5,4,6.48074,2,1.78593e+32,2.43266e+33,0,2.43921e+33,451
22,6,7,8,12.2066,1,1.85927e+32,1.85927e+32,0,2.6294e+32,876
23,7,6,7,11.5758,2,1.85927e+32,4.357e+33,0,4.36097e+33,767
24,8,7,0,10.6301,1,2.47752e+32,2.47752e+32,0,3.50375e+32,78
25,8,7,2,10.8167,2,2.47752e+32,4.33287e+33,0,4.33994e+33,278
26,7,9,0,11.4018,1,2.56304e+32,2.56304e+32,0,3.62468e+32,97
27,8,8,0,11.3137,2,2.56304e+32,2.11286e+34,0,2.11302e+34,88
28,1,4,6,7.28011,1,3.13092e+32,3.13092e+32,0,4.42779e+32,641
29,1,4,5,6.48074,2,3.13092e+32,3.88669e+33,0,3.89928e+33,541
30,7,8,3,11.0454,1,3.15256e+32,3.15256e+32,0,4.4584e+32,387
31,8,7,2,10.8167,2,3.15256e+32,4.33287e+33,0,4.34432e+33,278
32,2,2,7,7.54983,1,3.22044e+32,3.22044e+32,0,4.55439e+32,722
33,1,3,6,6.78233,2,3.22044e+32,3.0863e+34,0,3.08647e+34,631
34,2,9,0,9.21954,1,3.49339e+32,3.49339e+32,0,4.94041e+32,92
35,1,9,1,9.11043,2,3.49339e+32,2.97215e+34,0,2.97235e+34,191
36,8,1,7,10.6771,1,4.44689e+32,4.44689e+32,0,6.28886e+32,718
37,8,2,7,10.8167,2,4.44689e+32,3.3033e+33,0,3.3331e+33,728
38,6,8,7,12.2066,1,4.6084e+32,4.6084e+32,0,6.51727e+32,786
39,7,7,6,11.5758,2,4.6084e+32,8.85842e+33,0,8.8704e+33,677
40,2,6,1,6.40312,1,4.68446e+32,4.68446e+32,0,6.62482e+32,162
41,1,7,2,7.34847,2,4.68446e+32,8.61007e+33,0,8.62281e+33,271
42,7,7,5,11.0905,1,4.75019e+32,4.75019e+32,0,6.71779e+32,577
43,7,7,6,11.5758,2,4.75019e+32,8.85842e+33,0,8.87115e+33,677
44,1,9,2,9.27362,1,4.94328e+32,4.94328e+32,0,6.99085e+32,291
45,1,7,2,7.34847,2,4.94328e+32,8.61007e+33,0,8.62425e+33,271
46,8,3,6,10.4403,1,5.18346e+32,5.18346e+32,0,7.33052e+32,638
