Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,16,10,6,19.799,0,2.24459,2.24459,0,3.17433,4016
1,4,5,20,21,3,2.24459,2.44162,0,3.31658,12629
2,9,15,6,18.4932,0,2.24486,2.24486,0,3.17471,4134
3,6,14,11,18.7883,1,2.24486,2.32639,0,3.23287,7231
4,23,16,6,28.6531,0,2.24492,2.24492,0,3.17479,4173
5,18,16,2,24.1661,1,2.24492,2.32636,0,3.23289,1668
6,14,4,4,15.0997,0,2.24499,2.24499,0,3.1749,2614
7,0,5,14,14.8661,1,2.24499,2.32639,0,3.23296,8875
8,20,13,6,24.5967,0,2.24737,2.24737,0,3.17826,4095
9,4,11,11,16.0624,1,2.24737,2.32639,0,3.23461,7154
10,10,1,4,10.8167,0,2.24754,2.24754,0,3.1785,2535
11,5,3,14,15.1658,1,2.24754,2.32639,0,3.23473,8830
12,11,23,1,25.5147,0,2.24788,2.24788,0,3.17898,1211
13,0,22,13,25.5539,1,2.24788,2.32639,0,3.23497,8675
14,3,6,4,7.81025,0,2.24792,2.24792,0,3.17903,2653
15,14,9,11,19.9499,1,2.24792,2.32639,0,3.235,7114
16,17,7,4,18.8149,0,2.24797,2.24797,0,3.17911,2692
17,7,7,5,11.0905,1,2.24797,2.3109,0,3.22391,3307
18,21,21,1,29.7153,0,2.24818,2.24818,0,3.17941,1171
19,0,19,11,21.9545,1,2.24818,2.32639,0,3.23518,7350
20,24,2,4,24.4131,0,2.24878,2.24878,0,3.18025,2574
21,20,2,3,20.3224,1,2.24878,2.33411,0,3.24115,1945
22,12,18,6,22.4499,0,2.24927,2.24927,0,3.18095,4212
23,10,17,11,22.5832,1,2.24927,2.32639,0,3.23594,7310
24,6,9,4,11.5326,0,2.24957,2.24957,0,3.18138,2731
25,4,9,9,13.3417,1,2.24957,2.30424,0,3.22026,5854
26,7,20,1,21.2132,0,2.24977,2.24977,0,3.18166,1132
27,19,21,2,28.3901,1,2.24977,2.30295,0,3.21948,1794
28,5,12,6,14.3178,0,2.2502,2.2502,0,3.18226,4055
29,13,13,8,20.0499,1,2.2502,2.29474,0,3.21391,5338
30,14,15,1,20.5426,0,2.25035,2.25035,0,3.18248,1014
31,12,15,2,19.3132,1,2.25035,2.30099,0,3.21849,1637
32,0,0,2,2,0,2.25055,2.25055,0,3.18276,1250
33,0,0,4,4,1,2.25055,2.32826,0,3.23818,2500
34,18,18,1,25.4755,0,2.25081,2.25081,0,3.18313,1093
35,15,18,2,23.516,1,2.25081,2.29904,0,3.21741,1715
36,7,4,9,12.083,0,2.25096,2.25096,0,3.18333,5732
37,11,4,5,12.7279,1,2.25096,2.29706,0,3.2161,3236
38,1,20,6,20.9045,0,2.25173,2.25173,0,3.18443,4251
39,5,20,2,20.7123,1,2.25173,2.30285,0,3.22078,1755
40,0,3,4,5,0,2.25277,2.25277,0,3.1859,2575
41,3,4,5,7.07107,1,2.25277,2.31452,0,3.22986,3228
42,21,5,9,23.388,0,2.25278,2.25278,0,3.18591,5771
43,17,5,5,18.412,1,2.25278,2.31462,0,3.22993,3267
44,4,1,9,9.8995,0,2.25295,2.25295,0,3.18616,5654
45,11,1,6,12.5698,1,2.25295,2.29893,0,3.21883,3786
46,20,10,4,22.7156,0,2.25296,2.25296,0,3.18617,2770
47,17,10,5,20.347,1,2.25296,2.2942,0,3.21546,3392
48,14,1,2,14.1774,0,2.25307,2.25307,0,3.18632,1289
49,10,1,3,10.4881,1,2.25307,2.28917,0,3.21195,1910
50,18,2,9,20.2237,0,2.25308,2.25308,0,3.18633,5693
51,18,1,5,18.7083,1,2.25308,2.29891,0,3.21891,3168
52,24,24,1,33.9559,0,2.2537,2.2537,0,3.18721,1249
53,16,24,5,29.2746,1,2.2537,2.30472,0,3.22349,3741
54,4,17,1,17.4929,0,2.2539,2.2539,0,3.1875,1054
55,0,17,5,17.72,1,2.2539,2.30482,0,3.22371,3550
56,21,24,3,32.0312,0,2.25393,2.25393,0,3.18754,2496
57,21,24,2,31.9531,1,2.25393,2.28721,0,3.21116,1871
58,0,14,1,14.0357,0,2.25489,2.25489,0,3.1889,975
59,3,15,2,15.4272,1,2.25489,2.32791,0,3.24095,1628
60,10,7,9,15.1658,0,2.25506,2.25506,0,3.18914,5810
61,14,7,5,16.4317,1,2.25506,2.29714,0,3.21903,3314
62,8,12,4,14.9666,0,2.25518,2.25518,0,3.1893,2808
63,6,12,5,14.3178,1,2.25518,2.29694,0,3.21897,3431
64,2,3,2,4.12311,0,2.25518,2.25518,0,3.18931,1327
65,0,3,3,4.24264,1,2.25518,2.29316,0,3.21628,1950
66,4,3,2,5.38516,0,2.25558,2.25558,0,3.18988,1329
67,3,3,2,4.69042,1,2.25558,2.25806,0,3.19163,1328
68,6,23,3,23.9583,0,2.2556,2.2556,0,3.1899,2456
69,7,23,2,24.1247,1,2.2556,2.29901,0,3.22074,1832
70,15,21,6,26.4953,0,2.25562,2.25562,0,3.18993,4290
71,7,21,7,23.2164,1,2.25562,2.30286,0,3.22351,4907
72,16,4,2,16.6132,0,2.25593,2.25593,0,3.19037,1366
73,13,4,3,13.9284,1,2.25593,2.29507,0,3.21816,1988
74,22,13,4,25.865,0,2.25594,2.25594,0,3.19038,2847
75,20,13,5,24.3721,1,2.25594,2.29699,0,3.21954,3470
76,15,24,8,29.4109,0,2.25607,2.25607,0,3.19057,5615
77,21,24,5,32.28,1,2.25607,2.30097,0,3.22247,3746
78,2,9,6,11,0,2.25614,2.25614,0,3.19067,3977
79,3,9,5,10.7238,1,2.25614,2.29511,0,3.21834,3353
80,6,6,2,8.7178,0,2.25683,2.25683,0,3.19164,1406
81,4,6,3,7.81025,1,2.25683,2.29117,0,3.21602,2029
82,12,12,4,17.4356,0,2.25718,2.25718,0,3.19214,2812
83,11,12,4,16.7631,1,2.25718,2.25953,0,3.1938,2811
84,4,23,6,24.1039,0,2.25722,2.25722,0,3.19218,4329
85,6,23,5,24.2899,1,2.25722,2.29497,0,3.21899,3706
86,16,16,11,25.1595,0,2.25803,2.25803,0,3.19333,7291
87,17,16,10,25.3969,1,2.25803,2.30092,0,3.2238,6667
88,12,15,4,19.6214,0,2.2581,2.2581,0,3.19343,2887
89,9,15,5,18.1934,1,2.2581,2.29716,0,3.22117,3509
90,20,7,2,21.2838,0,2.25815,2.25815,0,3.19351,1445
91,19,7,3,20.4695,1,2.25815,2.29976,0,3.22306,2069
92,22,19,8,30.1496,0,2.25842,2.25842,0,3.19388,5497
93,18,18,6,26.1534,1,2.25842,2.31034,0,3.23081,4218
94,10,9,2,13.6015,0,2.25912,2.25912,0,3.19488,1485
95,7,9,3,11.7898,1,2.25912,2.29708,0,3.22183,2107
96,1,14,4,14.5945,0,2.25941,2.25941,0,3.19529,2851
97,5,14,4,15.3948,1,2.25941,2.32369,0,3.24106,2855
98,5,18,11,21.6795,0,2.2597,2.2597,0,3.1957,7330
99,10,18,7,21.7486,1,2.2597,2.29904,0,3.22364,4835
100,2,15,11,18.7083,0,2.25995,2.25995,0,3.19605,7252
101,3,15,10,18.2757,1,2.25995,2.30087,0,3.22512,6628
102,1,17,4,17.4929,0,2.26007,2.26007,0,3.19623,2926
103,0,17,3,17.2627,1,2.26007,2.3024,0,3.22629,2300
104,7,20,4,21.5639,0,2.26008,2.26008,0,3.19624,3007
105,2,20,5,20.7123,1,2.26008,2.29504,0,3.22106,3627
106,18,24,6,30.5941,0,2.26009,2.26009,0,3.19624,4368
107,17,24,7,30.2324,1,2.26009,2.29283,0,3.21948,4992
108,9,1,7,11.4455,0,2.26048,2.26048,0,3.1968,4409
109,6,1,8,10.0499,1,2.26048,2.29707,0,3.22278,5031
110,24,8,9,26.8514,0,2.26055,2.26055,0,3.19691,5849
111,14,7,9,18.0555,1,2.26055,2.30164,0,3.22609,5814
112,11,12,1,16.3095,0,2.26074,2.26074,0,3.19717,936
113,12,12,3,17.2337,1,2.26074,2.30328,0,3.22739,2187
114,1,23,8,24.3721,0,2.26095,2.26095,0,3.19747,5576
115,2,23,7,24.1247,1,2.26095,2.29123,0,3.21895,4952
116,21,21,4,29.9666,0,2.26109,2.26109,0,3.19767,3046
117,17,21,5,27.4773,1,2.26109,2.29904,0,3.22461,3667
118,20,24,6,31.8119,0,2.26118,2.26118,0,3.1978,4370
119,19,24,6,31.1929,1,2.26118,2.2642,0,3.19993,4369
120,14,1,5,14.8997,0,2.2613,2.2613,0,3.19796,3164
121,11,1,5,12.1244,1,2.2613,2.27307,0,3.2063,3161
122,4,17,4,17.9165,0,2.26151,2.26151,0,3.19826,2929
123,3,17,4,17.72,1,2.26151,2.26264,0,3.19906,2928
124,19,19,11,29.0345,0,2.26156,2.26156,0,3.19833,7369
125,20,19,10,29.3428,1,2.26156,2.29297,0,3.22061,6745
126,18,18,4,25.7682,0,2.26176,2.26176,0,3.19861,2968
127,12,18,5,22.2036,1,2.26176,2.29723,0,3.22379,3587
128,10,23,4,25.3969,0,2.26219,2.26219,0,3.19922,3085
129,7,23,4,24.3721,1,2.26219,2.27148,0,3.20579,3082
130,1,11,2,11.225,0,2.26219,2.26219,0,3.19923,1526
131,6,12,4,14,1,2.26219,2.31786,0,3.23883,2806
132,13,10,9,18.7083,0,2.26235,2.26235,0,3.19944,5888
133,16,10,8,20.4939,1,2.26235,2.28922,0,3.2185,5266
134,6,23,6,24.5153,0,2.26252,2.26252,0,3.19969,4331
135,5,23,6,24.2899,1,2.26252,2.26268,0,3.1998,4330
136,0,0,5,5,0,2.26256,2.26256,0,3.19975,3125
137,3,1,6,6.78233,1,2.26256,2.29551,0,3.22313,3778
138,24,10,2,26.0768,0,2.26263,2.26263,0,3.19984,1524
139,22,10,3,24.3516,1,2.26263,2.30288,0,3.22843,2147
140,11,21,8,25.02,0,2.26265,2.26265,0,3.19987,5536
141,13,21,7,25.671,1,2.26265,2.29514,0,3.22292,4913
142,23,2,7,24.1247,0,2.26277,2.26277,0,3.20004,4448
143,18,2,8,19.799,1,2.26277,2.29504,0,3.22294,5068
144,7,1,7,9.94987,0,2.26308,2.26308,0,3.20048,4407
145,8,1,7,10.6771,1,2.26308,2.26419,0,3.20127,4408
146,15,12,2,19.3132,0,2.2631,2.2631,0,3.2005,1565
147,11,12,2,16.4012,1,2.2631,2.27202,0,3.20682,1561
148,13,13,11,21.4243,0,2.26339,2.26339,0,3.20092,7213
149,14,13,10,21.5639,1,2.26339,2.30293,0,3.229,6589
150,8,21,11,25.02,0,2.2637,2.2637,0,3.20135,7408
151,10,21,10,25.318,1,2.2637,2.2872,0,3.21801,6785
152,0,9,9,12.7279,0,2.26391,2.26391,0,3.20166,5850
153,1,9,8,12.083,1,2.26391,2.28727,0,3.21822,5226
154,21,10,1,23.2809,0,2.264,2.264,0,3.20178,896
155,21,10,2,23.3452,1,2.264,2.2719,0,3.20737,1521
156,12,4,7,14.4568,0,2.26404,2.26404,0,3.20184,4487
157,8,4,7,11.3578,1,2.26404,2.29137,0,3.22122,4483
158,24,24,4,34.176,0,2.2641,2.2641,0,3.20193,3124
159,22,24,4,32.8024,1,2.2641,2.27268,0,3.208,3122
160,12,7,6,15.1327,0,2.26428,2.26428,0,3.20218,3937
161,12,7,8,16.0312,1,2.26428,2.2834,0,3.21572,5187
162,3,12,9,15.2971,0,2.26458,2.26458,0,3.2026,5928
163,6,12,8,15.6205,1,2.26458,2.29159,0,3.22176,5306
164,1,6,7,9.27362,0,2.26477,2.26477,0,3.20286,4526
165,0,6,5,7.81025,1,2.26477,2.29705,0,3.22577,3275
166,8,18,8,21.2603,0,2.26505,2.26505,0,3.20326,5458
167,6,18,10,21.4476,1,2.26505,2.29889,0,3.22728,6706
168,24,16,4,29.1204,0,2.26521,2.26521,0,3.2035,2924
169,23,16,5,28.4605,1,2.26521,2.2899,0,3.221,3548
170,17,13,9,23.2164,0,2.26548,2.26548,0,3.20387,5967
171,20,13,8,25.1595,1,2.26548,2.28923,0,3.22071,5345
172,20,2,7,21.2838,0,2.26684,2.26684,0,3.2058,4445
173,21,2,7,22.2261,1,2.26684,2.2678,0,3.20648,4446
174,23,5,6,24.2899,0,2.26693,2.26693,0,3.20592,3898
175,22,5,8,23.9374,1,2.26693,2.28353,0,3.21768,5147
176,0,17,6,18.0278,0,2.26739,2.26739,0,3.20657,4175
177,3,18,7,19.5448,1,2.26739,2.29898,0,3.22899,4828
178,22,22,11,33,0,2.26816,2.26816,0,3.20767,7447
179,14,21,12,27.9464,1,2.26816,2.30492,0,3.23376,8039
180,6,15,9,18.4932,0,2.26827,2.26827,0,3.20782,6006
181,10,15,8,19.7231,1,2.26827,2.29513,0,3.22687,5385
182,16,7,7,18.8149,0,2.26832,2.26832,0,3.20789,4566
183,13,7,6,15.9374,1,2.26832,2.27239,0,3.21077,3938
184,18,16,8,25.3772,0,2.26908,2.26908,0,3.20897,5418
185,17,16,8,24.6779,1,2.26908,2.294,0,3.22663,5417
186,24,5,7,25.4951,0,2.26956,2.26956,0,3.20964,4524
187,23,5,7,24.5561,1,2.26956,2.27388,0,3.21269,4523
188,20,16,9,27.1477,0,2.27052,2.27052,0,3.211,6045
189,19,16,8,26.096,1,2.27052,2.27517,0,3.21429,5419
190,11,24,11,28.6007,0,2.2707,2.2707,0,3.21126,7486
191,14,24,10,29.5296,1,2.2707,2.29604,0,3.22923,6864
192,19,10,7,22.5832,0,2.2708,2.2708,0,3.21139,4644
193,17,10,7,20.9284,1,2.2708,2.27544,0,3.21468,4642
194,4,9,7,12.083,0,2.2708,2.2708,0,3.2114,4604
195,2,9,7,11.5758,1,2.2708,2.27434,0,3.2139,4602
196,3,20,3,20.445,0,2.27099,2.27099,0,3.21167,2378
197,3,20,4,20.6155,1,2.27099,2.27176,0,3.21221,3003
198,17,21,3,27.1846,0,2.27127,2.27127,0,3.21206,2417
199,17,21,4,27.313,1,2.27127,2.27193,0,3.21253,3042
200,0,1,12,12.0416,0,2.27289,2.27289,0,3.21436,7525
201,4,1,11,11.7473,1,2.27289,2.29898,0,3.23286,6904
202,23,16,3,28.178,0,2.27371,2.27371,0,3.21552,2298
203,24,16,3,29,1,2.27371,2.28477,0,3.22335,2299
204,8,12,7,16.0312,0,2.27401,2.27401,0,3.21593,4683
205,7,12,6,15.1327,1,2.27401,2.27714,0,3.21815,4057
206,19,2,6,20.025,0,2.27453,2.27453,0,3.21668,3819
207,19,2,7,20.347,1,2.27453,2.29196,0,3.22902,4444
208,22,13,7,26.4953,0,2.27477,2.27477,0,3.21702,4722
209,21,13,7,25.671,1,2.27477,2.27709,0,3.21865,4721
210,8,4,6,10.7703,0,2.27486,2.27486,0,3.21714,3858
211,9,4,6,11.5326,1,2.27486,2.27903,0,3.22009,3859
212,0,3,7,7.61577,0,2.27555,2.27555,0,3.21811,4450
213,4,4,8,9.79796,1,2.27555,2.32408,0,3.25261,5104
214,4,15,8,17.4642,0,2.27672,2.27672,0,3.21977,5379
215,4,15,9,17.9444,1,2.27672,2.27989,0,3.22201,6004
216,14,2,12,18.5472,0,2.27674,2.27674,0,3.2198,7564
217,20,2,9,22.0227,1,2.27674,2.29513,0,3.23283,5695
218,7,18,13,23.2809,0,2.27729,2.27729,0,3.22058,8582
219,11,18,10,23.3452,1,2.27729,2.31657,0,3.24847,6711
220,20,10,9,24.1039,0,2.27733,2.27733,0,3.22064,5895
221,18,10,9,22.4722,1,2.27733,2.302,0,3.23812,5893
222,6,2,18,19.0788,0,2.2774,2.2774,0,3.22072,11306
223,11,2,17,20.347,1,2.2774,2.32628,0,3.25548,10686
224,16,14,20,29.189,0,2.278,2.278,0,3.22157,12866
225,8,13,19,24.3721,1,2.278,2.32621,0,3.25585,12208
226,13,4,1,13.6382,0,2.27816,2.27816,0,3.2218,738
227,14,4,1,14.5945,1,2.27816,2.28734,0,3.2283,739
228,14,15,7,21.6795,0,2.27841,2.27841,0,3.22216,4764
229,13,15,7,21.0476,1,2.27841,2.27958,0,3.22299,4763
230,3,4,12,13,0,2.27843,2.27843,0,3.22218,7603
231,10,4,9,14.0357,1,2.27843,2.30463,0,3.24076,5735
232,24,13,1,27.313,0,2.27846,2.27846,0,3.22223,974
233,21,13,0,24.6982,1,2.27846,2.33311,0,3.2611,346
