Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,17,5,24,29.8329,0,2.16335,2.16335,0,3.05944,15142
1,6,2,23,23.8537,3,2.16335,2.39279,0,3.22576,14431
2,21,8,24,32.8786,0,2.1723,2.1723,0,3.07209,15221
3,24,4,22,32.8024,1,2.1723,2.29904,0,3.16298,13874
4,7,7,24,25.9615,0,2.17404,2.17404,0,3.07456,15182
5,13,7,24,28.178,1,2.17404,2.29123,0,3.15851,15188
6,3,4,24,24.5153,0,2.17702,2.17702,0,3.07877,15103
7,7,2,19,20.347,1,2.17702,2.29675,0,3.16457,11932
8,11,10,24,28.2312,0,2.18007,2.18007,0,3.08308,15261
9,6,6,19,20.8087,1,2.18007,2.29514,0,3.16549,12031
10,13,2,24,27.3679,0,2.18087,2.18087,0,3.08421,15063
11,15,3,24,28.4605,1,2.18087,2.29381,0,3.16508,15090
12,7,18,21,28.5307,0,2.19666,2.19666,0,3.10655,13582
13,1,11,16,19.4422,1,2.19666,2.29904,0,3.17977,10276
14,0,12,24,26.8328,0,2.19932,2.19932,0,3.11031,15300
15,0,10,23,25.0799,1,2.19932,2.29972,0,3.18209,14625
16,17,16,21,31.4006,0,2.19936,2.19936,0,3.11037,13542
17,14,11,15,23.2809,1,2.19936,2.29642,0,3.17974,9664
18,21,19,21,35.2562,0,2.20039,2.20039,0,3.11183,13621
19,13,18,21,30.5614,1,2.20039,2.28928,0,3.1753,13588
20,15,13,24,31.1448,0,2.20468,2.20468,0,3.11788,15340
21,5,8,22,23.9374,1,2.20468,2.29904,0,3.18531,13955
22,11,21,21,31.6702,0,2.2052,2.2052,0,3.11862,13661
23,15,20,24,34.6554,1,2.2052,2.29514,0,3.18285,15515
24,8,24,23,34.1906,0,2.20531,2.20531,0,3.11877,14983
25,5,22,24,32.9393,1,2.20531,2.29904,0,3.18574,15555
26,23,0,24,33.2415,0,2.20604,2.20604,0,3.11981,15023
27,17,1,24,29.4279,1,2.20604,2.30808,0,3.19278,15042
28,8,10,21,24.5967,0,2.20628,2.20628,0,3.12014,13383
29,13,11,22,27.8209,1,2.20628,2.28928,0,3.17938,14038
30,17,2,19,25.5734,0,2.20653,2.20653,0,3.1205,11942
31,24,4,22,32.8024,1,2.20653,2.29904,0,3.18659,13874
32,13,13,21,27.9106,0,2.2091,2.2091,0,3.12414,13463
33,11,9,16,21.4009,1,2.2091,2.29904,0,3.18837,10236
34,24,11,21,33.7343,0,2.21006,2.21006,0,3.1255,13424
35,20,11,21,31.0161,1,2.21006,2.30118,0,3.19058,13420
36,0,1,24,24.0208,0,2.21115,2.21115,0,3.12704,15025
37,8,1,24,25.318,1,2.21115,2.30295,0,3.19261,15033
38,2,15,21,25.8844,0,2.21168,2.21168,0,3.12778,13502
39,16,17,23,32.7719,1,2.21168,2.29471,0,3.18704,14816
40,15,24,21,35.242,0,2.21194,2.21194,0,3.12816,13740
41,4,21,18,27.9464,1,2.21194,2.30042,0,3.19133,11779
42,11,7,19,23.0434,0,2.21666,2.21666,0,3.13483,12061
43,1,2,17,17.1464,1,2.21666,2.29514,0,3.19081,10676
44,19,22,23,37.0675,0,2.21856,2.21856,0,3.13752,14944
45,6,20,21,29.6142,1,2.21856,2.29318,0,3.19072,13631
46,19,16,24,34.5398,0,2.22,2.22,0,3.13956,15419
47,19,15,24,34.0881,1,2.22,2.29123,0,3.19032,15394
48,2,1,19,19.1311,0,2.22161,2.22161,0,3.14183,11902
49,9,3,22,23.9583,1,2.22161,2.29514,0,3.19424,13834
50,0,23,21,31.1448,0,2.22164,2.22164,0,3.14187,13700
51,0,21,20,29,1,2.22164,2.29943,0,3.19735,13025
52,0,12,21,24.1868,0,2.22287,2.22287,0,3.14361,13425
53,1,13,20,23.8747,1,2.22287,2.30208,0,3.20011,12826
54,9,18,24,31.3209,0,2.22293,2.22293,0,3.1437,15459
55,9,17,24,30.7571,1,2.22293,2.29318,0,3.19376,15434
56,21,5,19,28.7576,0,2.22325,2.22325,0,3.14416,12021
57,18,4,19,26.4764,1,2.22325,2.29123,0,3.19258,11993
58,7,4,19,20.6398,0,2.22509,2.22509,0,3.14676,11982
59,20,7,24,32.0156,1,2.22509,2.28732,0,3.19106,15195
60,5,15,24,28.7402,0,2.22678,2.22678,0,3.14914,15380
61,4,14,24,28.0713,1,2.22678,2.28732,0,3.19224,15354
62,4,1,22,22.383,0,2.22691,2.22691,0,3.14933,13779
63,1,2,23,23.1084,1,2.22691,2.30641,0,3.20603,14426
64,13,24,18,32.6956,0,2.2272,2.2272,0,3.14973,11863
65,17,22,13,30.692,1,2.2272,2.29901,0,3.20091,8692
66,23,19,24,38.2884,0,2.2276,2.2276,0,3.15031,15498
67,24,18,24,38.4187,1,2.2276,2.29904,0,3.20122,15474
68,15,10,19,26.1916,0,2.23081,2.23081,0,3.15484,12140
69,22,6,16,27.8568,1,2.23081,2.29682,0,3.20186,10172
70,17,13,16,26.7208,0,2.23085,2.23085,0,3.1549,10342
71,16,12,16,25.6125,1,2.23085,2.29904,0,3.20348,10316
72,24,22,18,37.2022,0,2.23151,2.23151,0,3.15583,11824
73,21,21,18,34.7275,1,2.23151,2.30685,0,3.20955,11796
74,11,22,20,31.7017,0,2.2322,2.2322,0,3.15681,13061
75,12,23,21,33.3766,1,2.2322,2.29123,0,3.19882,13712
76,19,2,22,29.1376,0,2.23365,2.23365,0,3.15886,13819
77,21,1,22,30.4302,1,2.23365,2.28928,0,3.19843,13796
78,9,4,22,24.1039,0,2.23409,2.23409,0,3.15947,13859
79,11,4,24,26.7021,1,2.23409,2.29123,0,3.20014,15111
80,8,21,18,28.7924,0,2.23532,2.23532,0,3.16122,11783
81,13,22,19,31.8434,1,2.23532,2.28928,0,3.1996,12438
82,4,21,23,31.4006,0,2.23569,2.23569,0,3.16175,14904
83,11,22,23,33.6749,1,2.23569,2.28872,0,3.19946,14936
84,0,9,19,21.0238,0,2.23591,2.23591,0,3.16206,12100
85,5,5,17,18.412,1,2.23591,2.29904,0,3.20701,10755
86,3,9,22,23.9583,0,2.23654,2.23654,0,3.16295,13978
87,6,10,21,24.0208,1,2.23654,2.29134,0,3.20193,13381
88,19,8,21,29.4279,0,2.23831,2.23831,0,3.16545,13344
89,13,7,21,25.671,1,2.23831,2.28928,0,3.20169,13313
90,11,11,23,27.7669,0,2.23894,2.23894,0,3.16634,14661
91,13,12,24,29.8161,1,2.23894,2.28732,0,3.20073,15313
92,13,7,22,26.4953,0,2.23974,2.23974,0,3.16747,13938
93,11,7,21,24.7184,1,2.23974,2.28928,0,3.20269,13311
94,13,21,24,34.4384,0,2.24011,2.24011,0,3.16799,15538
95,10,21,24,33.4216,1,2.24011,2.29457,0,3.20673,15535
96,3,23,24,33.3766,0,2.24045,2.24045,0,3.16847,15578
97,1,23,23,32.5423,1,2.24045,2.28537,0,3.20039,14951
98,24,5,22,32.9393,0,2.24045,2.24045,0,3.16847,13899
99,21,5,22,30.8221,1,2.24045,2.28967,0,3.20347,13896
100,21,16,16,30.8707,0,2.24198,2.24198,0,3.17064,10421
101,18,15,16,28.3725,1,2.24198,2.29123,0,3.20565,10393
102,15,21,16,30.3645,0,2.24199,2.24199,0,3.17065,10540
103,22,17,13,30.692,1,2.24199,2.29736,0,3.21004,8572
104,21,9,23,32.4191,0,2.24223,2.24223,0,3.17099,14621
105,23,9,22,33.0757,1,2.24223,2.28732,0,3.20303,13998
106,13,10,16,22.9129,0,2.2423,2.2423,0,3.1711,10263
107,18,11,17,27.0924,1,2.2423,2.29514,0,3.20867,10918
108,24,16,19,34.5398,0,2.2424,2.2424,0,3.17123,12299
109,21,16,19,32.5269,1,2.2424,2.29656,0,3.20976,12296
110,15,7,14,21.6795,0,2.24274,2.24274,0,3.17171,8940
111,5,2,12,13.1529,1,2.24274,2.30099,0,3.21317,7555
112,19,13,19,29.8496,0,2.24283,2.24283,0,3.17184,12219
113,21,12,19,30.7571,1,2.24283,2.28928,0,3.20485,12196
114,23,8,16,29.1376,0,2.24324,2.24324,0,3.17242,10223
115,22,7,15,27.5318,1,2.24324,2.29883,0,3.21197,9572
116,9,15,19,25.8263,0,2.24347,2.24347,0,3.17274,12259
117,11,14,19,26.0384,1,2.24347,2.29318,0,3.20809,12236
118,7,15,16,23.0217,0,2.24356,2.24356,0,3.17287,10382
119,19,18,21,33.5559,1,2.24356,2.28732,0,3.20396,13594
120,5,12,19,23.0217,0,2.24376,2.24376,0,3.17316,12180
121,2,11,19,22.0454,1,2.24376,2.29904,0,3.21248,12152
122,11,18,16,26.4764,0,2.24395,2.24395,0,3.17342,10461
123,7,17,16,24.3721,1,2.24395,2.29318,0,3.20842,10432
124,3,20,19,27.7489,0,2.24435,2.24435,0,3.174,12378
125,5,19,19,27.3313,1,2.24435,2.29904,0,3.2129,12355
126,11,4,14,18.2483,0,2.24457,2.24457,0,3.1743,8861
127,8,5,18,20.3224,1,2.24457,2.29139,0,3.20758,11383
128,24,11,24,35.6791,0,2.24468,2.24468,0,3.17445,15299
129,24,10,24,35.3836,1,2.24468,2.28928,0,3.20614,15274
130,4,12,16,20.3961,0,2.24631,2.24631,0,3.17676,10304
131,10,14,19,25.632,1,2.24631,2.29514,0,3.21147,12235
132,4,7,21,22.4944,0,2.24631,2.24631,0,3.17676,13304
133,9,9,24,27.1662,1,2.24631,2.28732,0,3.20589,15234
134,1,14,6,15.2643,0,2.24677,2.24677,0,3.17742,4101
135,10,14,6,18.2209,1,2.24677,2.30099,0,3.21599,4110
136,9,1,17,19.2614,0,2.24735,2.24735,0,3.17823,10659
137,11,0,17,20.2485,1,2.24735,2.29318,0,3.2108,10636
138,0,20,16,25.6125,0,2.24813,2.24813,0,3.17934,10500
139,6,20,16,26.3059,1,2.24813,2.30685,0,3.22113,10506
140,24,2,17,29.4788,0,2.24824,2.24824,0,3.17949,10699
141,21,2,16,26.4764,1,2.24824,2.29514,0,3.21282,10071
142,5,23,16,28.4605,0,2.2491,2.2491,0,3.18071,10580
143,2,22,16,27.2764,1,2.2491,2.29904,0,3.21621,10552
144,14,21,13,28.3901,0,2.24911,2.24911,0,3.18072,8664
145,21,23,17,35.4824,1,2.24911,2.29784,0,3.21536,11221
146,13,18,19,29.2233,0,2.24949,2.24949,0,3.18126,12338
147,10,20,21,30.6757,1,2.24949,2.28537,0,3.20673,13635
148,17,24,13,32.1559,0,2.24986,2.24986,0,3.18179,8742
149,12,19,13,25.9615,1,2.24986,2.2982,0,3.21615,8612
150,11,15,11,21.6102,0,2.25005,2.25005,0,3.18206,7261
151,6,15,13,20.7364,1,2.25005,2.29709,0,3.21549,8506
152,0,23,18,29.2062,0,2.25021,2.25021,0,3.18228,11825
153,10,23,18,30.8707,1,2.25021,2.30099,0,3.21839,11835
154,14,15,14,24.8395,0,2.25021,2.25021,0,3.18228,9139
155,6,16,15,22.7376,1,2.25021,2.29344,0,3.213,9781
156,23,19,13,32.5423,0,2.25024,2.25024,0,3.18232,8623
157,22,18,12,30.8545,1,2.25024,2.29845,0,3.21659,7972
158,2,12,16,20.0998,0,2.25032,2.25032,0,3.18244,10302
159,3,12,16,20.2237,1,2.25032,2.25196,0,3.1836,10303
160,19,19,18,32.3419,0,2.25052,2.25052,0,3.18272,11744
161,22,17,15,31.5911,1,2.25052,2.2959,0,3.21497,9822
162,21,20,20,35.2278,0,2.25066,2.25066,0,3.18292,13021
163,22,20,20,35.8329,1,2.25066,2.28734,0,3.20895,13022
164,9,12,14,20.5183,0,2.25087,2.25087,0,3.1832,9059
165,16,13,13,24.3721,1,2.25087,2.29568,0,3.21505,8466
166,22,24,8,33.5261,0,2.25133,2.25133,0,3.18387,5622
167,13,23,10,28.2489,1,2.25133,2.29709,0,3.21638,6838
168,22,13,11,27.8209,0,2.25143,2.25143,0,3.18401,7222
169,11,13,13,21.4243,1,2.25143,2.29562,0,3.21541,8461
170,20,24,16,35.0999,0,2.2521,2.2521,0,3.18495,10620
171,18,23,16,33.3017,1,2.2521,2.29514,0,3.21552,10593
172,0,13,23,26.4197,0,2.25214,2.25214,0,3.18501,14700
173,3,13,23,26.5895,1,2.25214,2.28944,0,3.21149,14703
174,18,10,11,23.3452,0,2.25215,2.25215,0,3.18502,7143
175,16,9,11,21.4009,1,2.25215,2.29514,0,3.21556,7116
176,14,1,12,18.4662,0,2.25217,2.25217,0,3.18504,7539
177,16,0,12,20,1,2.25217,2.29904,0,3.21836,7516
178,17,24,24,37.9605,0,2.25217,2.25217,0,3.18504,15617
179,15,24,23,36.4692,1,2.25217,2.28732,0,3.21,14990
180,18,4,12,22,0,2.25217,2.25217,0,3.18504,7618
181,12,5,13,18.3848,1,2.25217,2.29439,0,3.21504,8262
182,7,12,11,17.72,0,2.25264,2.25264,0,3.18572,7182
183,18,12,11,24.2693,1,2.25264,2.28976,0,3.21207,7193
184,5,9,14,17.3781,0,2.25298,2.25298,0,3.18619,8980
185,17,7,8,20.0499,1,2.25298,2.30099,0,3.22032,5192
186,7,1,14,15.6844,0,2.25304,2.25304,0,3.18629,8782
187,1,1,16,16.0624,1,2.25304,2.29548,0,3.21643,10026
188,8,7,16,19.2094,0,2.25368,2.25368,0,3.18718,10183
189,13,9,19,24.7184,1,2.25368,2.29123,0,3.21385,12113
190,4,18,18,25.7682,0,2.25368,2.25368,0,3.18719,11704
191,8,18,18,26.6833,1,2.25368,2.28732,0,3.21106,11708
192,24,13,14,30.6757,0,2.25369,2.25369,0,3.1872,9099
193,18,14,15,27.2947,1,2.25369,2.29471,0,3.21634,9743
194,14,19,23,32.9545,0,2.25383,2.25383,0,3.1874,14864
195,17,17,19,30.6431,1,2.25383,2.28537,0,3.20978,12317
196,16,7,11,20.6398,0,2.25412,2.25412,0,3.18781,7066
197,2,8,14,16.2481,1,2.25412,2.29904,0,3.21973,8952
198,6,23,13,27.0924,0,2.25412,2.25412,0,3.18781,8706
199,16,23,13,30.8869,1,2.25412,2.29514,0,3.21694,8716
200,18,18,14,29.0517,0,2.25412,2.25412,0,3.18781,9218
201,14,20,16,29.189,1,2.25412,2.29318,0,3.21555,10514
202,3,6,17,18.2757,0,2.25412,2.25412,0,3.18781,10778
203,0,7,18,19.3132,1,2.25412,2.29754,0,3.21866,11425
204,21,2,14,25.318,0,2.25416,2.25416,0,3.18787,8821
205,17,1,14,22.0454,1,2.25416,2.29709,0,3.21836,8792
206,11,1,9,14.2478,0,2.25424,2.25424,0,3.18798,5661
207,21,3,13,24.8797,1,2.25424,2.29782,0,3.21894,8221
208,5,20,11,23.3666,0,2.25473,2.25473,0,3.18867,7380
209,1,18,8,19.7231,1,2.25473,2.30108,0,3.22161,5451
210,22,21,3,30.5614,0,2.25475,2.25475,0,3.1887,2422
211,17,19,7,26.4386,1,2.25475,2.30365,0,3.22346,4867
212,8,6,1,10.0499,0,2.25503,2.25503,0,3.18909,783
213,12,10,5,16.4012,1,2.25503,2.30213,0,3.22257,3387
214,16,14,23,31.3209,0,2.2553,2.2553,0,3.18947,14741
215,19,14,23,32.9545,1,2.2553,2.28365,0,3.20958,14744
216,3,23,13,26.5895,0,2.25541,2.25541,0,3.18963,8703
217,4,23,13,26.7208,1,2.25541,2.26584,0,3.19701,8704
218,15,18,11,25.8844,0,2.25568,2.25568,0,3.19002,7340
219,11,17,11,23.0434,1,2.25568,2.29904,0,3.22082,7311
220,19,5,16,25.3377,0,2.25596,2.25596,0,3.19041,10144
221,21,7,19,29.1719,1,2.25596,2.29318,0,3.21684,12071
222,16,21,13,29.4279,0,2.25607,2.25607,0,3.19057,8666
223,15,21,13,28.8964,1,2.25607,2.25998,0,3.19333,8665
224,0,9,16,18.3576,0,2.25607,2.25607,0,3.19057,10225
225,11,9,16,21.4009,1,2.25607,2.29904,0,3.2211,10236
226,16,10,16,24.7386,0,2.25607,2.25607,0,3.19057,10266
227,15,10,16,24.1039,1,2.25607,2.25998,0,3.19333,10265
228,7,12,22,26.0192,0,2.25607,2.25607,0,3.19057,14057
229,5,12,22,25.5539,1,2.25607,2.27817,0,3.20623,14055
230,14,12,9,20.5183,0,2.25607,2.25607,0,3.19057,5939
231,4,11,8,14.1774,1,2.25607,2.29904,0,3.2211,5279
232,24,16,8,29.9333,0,2.25651,2.25651,0,3.19119,5424
233,5,13,9,16.5831,1,2.25651,2.30096,0,3.22277,5955
234,5,17,6,18.7083,0,2.25683,2.25683,0,3.19164,4180
235,0,16,7,17.4642,1,2.25683,2.3049,0,3.22581,4775
236,1,24,20,31.257,0,2.25698,2.25698,0,3.19184,13101
237,3,24,19,30.7571,1,2.25698,2.29123,0,3.21616,12478
238,22,10,6,24.8998,0,2.25698,2.25698,0,3.19186,4022
239,14,10,8,18.9737,1,2.25698,2.29768,0,3.22076,5264
240,19,10,14,25.632,0,2.25739,2.25739,0,3.19244,9019
241,19,10,13,25.0998,1,2.25739,2.29904,0,3.22202,8394
242,19,16,13,28.0357,0,2.25767,2.25767,0,3.19283,8544
243,20,15,11,27.313,1,2.25767,2.29318,0,3.21804,7270
244,24,5,11,26.8701,0,2.25786,2.25786,0,3.19309,7024
245,22,4,11,24.9199,1,2.25786,2.29318,0,3.21817,6997
246,18,4,6,19.3907,0,2.25803,2.25803,0,3.19333,3868
247,16,5,6,17.8045,1,2.25803,2.3013,0,3.22408,3891
248,8,20,8,22.9783,0,2.25803,2.25803,0,3.19333,5508
249,11,22,11,26.9444,1,2.25803,2.29318,0,3.21829,7436
250,10,20,8,23.7487,0,2.25803,2.25803,0,3.19333,5510
251,9,20,8,23.3452,1,2.25803,2.26193,0,3.19609,5509
252,6,9,11,15.4272,0,2.25803,2.25803,0,3.19333,7106
253,11,10,13,19.7484,1,2.25803,2.29425,0,3.21905,8386
254,8,9,11,16.3095,0,2.25803,2.25803,0,3.19333,7108
255,7,9,11,15.843,1,2.25803,2.25998,0,3.19471,7107
256,10,9,11,17.3781,0,2.25803,2.25803,0,3.19333,7110
257,9,9,11,16.8226,1,2.25803,2.25992,0,3.19467,7109
258,10,23,13,28.2489,0,2.25803,2.25803,0,3.19333,8710
259,8,23,13,27.6043,1,2.25803,2.26193,0,3.19609,8708
260,19,10,16,26.7769,0,2.25803,2.25803,0,3.19333,10269
261,18,10,16,26.0768,1,2.25803,2.26193,0,3.19609,10268
262,7,23,19,30.6431,0,2.25803,2.25803,0,3.19333,12457
263,6,23,18,29.8161,1,2.25803,2.2717,0,3.20301,11831
264,18,7,17,25.7294,0,2.25803,2.25803,0,3.19333,10818
265,17,7,17,25.04,1,2.25803,2.275,0,3.20535,10817
266,0,20,13,23.8537,0,2.25806,2.25806,0,3.19338,8625
267,1,22,13,25.5734,1,2.25806,2.29709,0,3.2211,8676
268,18,21,8,28.7924,0,2.25857,2.25857,0,3.1941,5543
269,16,20,8,26.8328,1,2.25857,2.29709,0,3.22145,5516
