Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,24,0,24,33.9411,0,2.07834,2.07834,0,2.93921,15024
1,5,14,4,15.3948,3,2.07834,2.39618,0,3.17194,2855
2,9,24,23,34.4384,0,2.08223,2.08223,0,2.94471,14984
3,12,17,23,31.0161,1,2.08223,2.30254,0,3.10441,14812
4,3,4,24,24.5153,0,2.08615,2.08615,0,2.95026,15103
5,24,1,24,33.9559,1,2.08615,2.29207,0,3.09929,15049
6,18,5,24,30.4138,0,2.08615,2.08615,0,2.95026,15143
7,19,5,20,28.0357,1,2.08615,2.30001,0,3.10517,12644
8,19,22,23,37.0675,0,2.09592,2.09592,0,2.96407,14944
9,19,23,23,37.6696,1,2.09592,2.29364,0,3.10703,14969
10,8,7,24,26.2488,0,2.10173,2.10173,0,2.97229,15183
11,1,4,22,22.383,1,2.10173,2.30005,0,3.11568,13851
12,14,2,24,27.8568,0,2.10178,2.10178,0,2.97236,15064
13,9,4,24,25.9422,1,2.10178,2.28537,0,3.1049,15109
14,22,8,24,33.5261,0,2.10959,2.10959,0,2.98341,15222
15,22,10,23,33.3617,1,2.10959,2.31056,0,3.12874,14647
16,14,19,23,32.9545,0,2.11172,2.11172,0,2.98642,14864
17,18,21,23,35.9722,1,2.11172,2.29904,0,3.12169,14918
18,4,21,23,31.4006,0,2.11236,2.11236,0,2.98733,14904
19,9,21,22,31.7175,1,2.11236,2.29825,0,3.12154,14284
20,18,16,21,31.9531,0,2.1174,2.1174,0,2.99446,13543
21,16,7,7,18.8149,1,2.1174,2.30166,0,3.12747,4566
22,14,13,21,28.3901,0,2.11931,2.11931,0,2.99716,13464
23,15,18,13,26.7955,1,2.11931,2.29904,0,3.12683,8590
24,3,15,21,25.9808,0,2.11935,2.11935,0,2.99722,13503
25,20,17,18,31.8277,1,2.11935,2.29727,0,3.12556,11695
26,24,17,23,37.3363,0,2.12092,2.12092,0,2.99944,14824
27,23,15,23,35.819,1,2.12092,2.30169,0,3.12987,14773
28,12,10,24,28.6356,0,2.1252,2.1252,0,3.00549,15262
29,15,11,13,22.6936,1,2.1252,2.29942,0,3.13111,8415
30,1,12,24,26.8514,0,2.12717,2.12717,0,3.00827,15301
31,9,13,22,27.0924,1,2.12717,2.28879,0,3.12465,14084
32,16,13,24,31.6386,0,2.13107,2.13107,0,3.01379,15341
33,20,14,22,32.8634,1,2.13107,2.29449,0,3.13148,14120
34,9,10,21,24.9399,0,2.133,2.133,0,3.01651,13384
35,16,10,21,28.2312,1,2.133,2.29514,0,3.13326,13391
36,24,11,21,33.7343,0,2.13303,2.13303,0,3.01655,13424
37,20,11,22,31.7017,1,2.13303,2.29351,0,3.13209,14045
38,0,18,23,29.2062,0,2.13693,2.13693,0,3.02208,14825
39,4,20,23,30.7409,1,2.13693,2.30099,0,3.14023,14879
40,10,16,23,29.7489,0,2.1375,2.1375,0,3.02288,14785
41,14,16,22,30.5941,1,2.1375,2.29163,0,3.13377,14164
42,22,19,21,35.8608,0,2.13889,2.13889,0,3.02484,13622
43,19,19,21,34.1028,1,2.13889,2.29468,0,3.13694,13619
44,8,18,21,28.7924,0,2.14084,2.14084,0,3.0276,13583
45,4,18,22,28.7054,1,2.14084,2.29465,0,3.13825,14204
46,19,8,21,29.4279,0,2.14397,2.14397,0,3.03203,13344
47,16,8,22,28.3549,1,2.14397,2.29215,0,3.13856,13966
48,12,21,21,32.0312,0,2.1467,2.1467,0,3.0359,13662
49,8,21,22,31.4484,1,2.1467,2.29256,0,3.14073,14283
50,4,7,21,22.4944,0,2.14812,2.14812,0,3.0379,13304
51,9,7,20,23.0217,1,2.14812,2.29839,0,3.14595,12684
52,18,2,19,26.2488,0,2.1506,2.1506,0,3.04141,11943
53,14,2,20,24.4949,1,2.1506,2.29373,0,3.14425,12564
54,1,23,21,31.1609,0,2.15256,2.15256,0,3.04418,13701
55,0,24,23,33.2415,1,2.15256,2.30037,0,3.15043,14975
56,20,14,23,33.541,0,2.15501,2.15501,0,3.04764,14745
57,18,14,24,33.1059,1,2.15501,2.28639,0,3.14191,15368
58,16,24,21,35.6791,0,2.15646,2.15646,0,3.0497,13741
59,13,24,21,34.4384,1,2.15646,2.29366,0,3.14821,13738
60,8,4,19,21,0,2.15646,2.15646,0,3.0497,11983
61,16,7,16,23.6854,1,2.15646,2.29709,0,3.15071,10191
62,14,5,21,25.7294,0,2.15717,2.15717,0,3.0507,13264
63,12,5,22,25.5539,1,2.15717,2.29183,0,3.14736,13887
64,22,5,19,29.4958,0,2.15842,2.15842,0,3.05246,12022
65,19,5,20,28.0357,1,2.15842,2.30001,0,3.15417,12644
66,6,15,24,28.931,0,2.15842,2.15842,0,3.05246,15381
67,8,16,24,29.9333,1,2.15842,2.28499,0,3.14323,15408
68,6,13,23,27.0924,0,2.16063,2.16063,0,3.05559,14706
69,4,13,24,27.5862,1,2.16063,2.28515,0,3.14487,15329
70,3,1,19,19.2614,0,2.16232,2.16232,0,3.05799,11903
71,10,2,20,22.4499,1,2.16232,2.29591,0,3.15386,12560
72,14,24,18,33.1059,0,2.16428,2.16428,0,3.06075,11864
73,10,24,19,32.2025,1,2.16428,2.29291,0,3.15302,12485
74,12,7,19,23.5372,0,2.16818,2.16818,0,3.06627,12062
75,8,7,20,22.6495,1,2.16818,2.28928,0,3.15307,12683
76,6,1,22,22.8254,0,2.16976,2.16976,0,3.0685,13781
77,9,3,23,24.8797,1,2.16976,2.29211,0,3.15621,14459
78,24,3,21,32.0312,0,2.17083,2.17083,0,3.07002,13224
79,22,3,22,31.257,1,2.17083,2.28997,0,3.15539,13847
80,8,15,16,23.3452,0,2.17284,2.17284,0,3.07286,10383
81,10,13,17,23.622,1,2.17284,2.29737,0,3.16214,10960
82,0,1,24,24.0208,0,2.17404,2.17404,0,3.07456,15025
83,1,1,24,24.0416,1,2.17404,2.26584,0,3.14014,15026
84,18,13,16,27.3679,0,2.17599,2.17599,0,3.07732,10343
85,18,15,13,26.7955,1,2.17599,2.29709,0,3.16411,8518
86,20,16,24,35.0999,0,2.17599,2.17599,0,3.07732,15420
87,22,17,24,36.7287,1,2.17599,2.28629,0,3.15627,15447
88,16,10,19,26.7769,0,2.17795,2.17795,0,3.08008,12141
