Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,21,21,3,29.8496,0,2.28224,2.28224,0,3.22758,2421
1,16,24,24,37.5233,3,2.28224,2.42986,0,3.33359,15616
2,11,9,1,14.2478,0,2.28604,2.28604,0,3.23295,861
3,8,10,1,12.8452,1,2.28604,2.33036,0,3.26444,883
4,21,10,6,24.0208,0,2.28624,2.28624,0,3.23323,4021
5,20,15,4,25.318,1,2.28624,2.33996,0,3.27144,2895
6,7,6,1,9.27362,0,2.28725,2.28725,0,3.23465,782
7,3,6,1,6.78233,1,2.28725,2.3238,0,3.2606,778
8,10,18,16,26.0768,0,2.29007,2.29007,0,3.23865,10460
9,15,5,12,19.8494,1,2.29007,2.35007,0,3.28135,7640
10,21,7,1,22.1585,0,2.29059,2.29059,0,3.23939,821
11,11,3,2,11.5758,1,2.29059,2.33983,0,3.27439,1336
12,15,12,1,19.2354,0,2.29116,2.29116,0,3.24019,940
13,6,17,1,18.0555,1,2.29116,2.33024,0,3.26794,1056
14,0,6,14,15.2315,0,2.29184,2.29184,0,3.24115,8900
15,1,3,12,12.4097,1,2.29184,2.35021,0,3.28269,7576
16,11,23,3,25.671,0,2.29233,2.29233,0,3.24184,2461
17,3,20,3,20.445,1,2.29233,2.33034,0,3.26883,2378
18,10,4,14,17.6635,0,2.29261,2.29261,0,3.24223,8860
19,8,5,14,16.8819,1,2.29261,2.33891,0,3.27514,8883
20,17,4,1,17.4929,0,2.29429,2.29429,0,3.24462,742
21,15,5,1,15.843,1,2.29429,2.33288,0,3.27202,765
22,21,24,8,32.8786,0,2.2945,2.2945,0,3.24492,5621
23,5,9,6,11.9164,1,2.2945,2.33346,0,3.27258,3980
24,4,14,1,14.5945,0,2.29475,2.29475,0,3.24527,979
25,12,13,1,17.72,1,2.29475,2.32996,0,3.27026,962
26,10,1,9,13.4907,0,2.29545,2.29545,0,3.24626,5660
27,15,2,7,16.6733,1,2.29545,2.34531,0,3.2817,4440
28,7,20,3,21.4009,0,2.2962,2.2962,0,3.24732,2382
29,6,18,0,18.9737,1,2.2962,2.33001,0,3.27132,456
30,10,15,11,21.1187,0,2.29645,2.29645,0,3.24767,7260
31,0,12,11,16.2788,1,2.29645,2.33557,0,3.27545,7175
32,24,22,21,38.7427,0,2.29664,2.29664,0,3.24793,13699
33,14,7,16,22.383,1,2.29664,2.35175,0,3.28713,10189
34,24,10,1,26.0192,0,2.2967,2.2967,0,3.24803,899
35,18,8,1,19.7231,1,2.2967,2.32779,0,3.27009,843
36,8,17,1,18.8149,0,2.29713,2.29713,0,3.24863,1058
37,1,15,1,15.0665,1,2.29713,2.32743,0,3.27013,1001
38,18,4,4,18.868,0,2.29754,2.29754,0,3.24921,2618
39,20,8,4,21.9089,1,2.29754,2.33061,0,3.27268,2720
40,0,11,1,11.0454,0,2.29865,2.29865,0,3.25078,900
41,4,11,1,11.7473,1,2.29865,2.34977,0,3.28713,904
42,18,15,1,23.4521,0,2.29881,2.29881,0,3.25101,1018
43,11,13,1,17.0587,1,2.29881,2.32503,0,3.2696,961
44,1,3,9,9.53939,0,2.2991,2.2991,0,3.25141,5701
45,0,1,7,7.07107,1,2.2991,2.33896,0,3.27972,4400
46,18,18,6,26.1534,0,2.29938,2.29938,0,3.25181,4218
47,6,20,6,21.7256,1,2.29938,2.33158,0,3.27466,4256
48,24,8,19,31.6386,0,2.29947,2.29947,0,3.25194,12099
49,8,3,18,19.9249,1,2.29947,2.34458,0,3.284,11333
50,21,13,11,27.037,0,2.30058,2.30058,0,3.25352,7221
51,8,2,9,12.2066,1,2.30058,2.33293,0,3.27647,5683
52,0,17,11,20.2485,0,2.30069,2.30069,0,3.25367,7300
53,0,15,9,17.4929,1,2.30069,2.34213,0,3.28311,6000
54,3,3,4,5.83095,0,2.3007,2.3007,0,3.25368,2578
55,11,2,4,11.8743,1,2.3007,2.32537,0,3.27117,2561
