Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,8,16,23,29.1376,0,2.14104,2.14104,0,3.02789,14783
1,1,0,23,23.0217,3,2.14104,2.43381,0,3.24152,14376
2,18,14,23,32.3883,0,2.14297,2.14297,0,3.03062,14743
3,13,15,23,30.3809,1,2.14297,2.26775,0,3.1201,14763
4,18,0,21,27.6586,0,2.15533,2.15533,0,3.04809,13143
5,8,13,23,27.6043,1,2.15533,2.26584,0,3.12721,14708
6,6,5,24,25.2389,0,2.16243,2.16243,0,3.05813,15131
7,24,1,23,33.2566,1,2.16243,2.24815,0,3.11933,14424
8,21,6,24,32.45,0,2.16247,2.16247,0,3.0582,15171
9,13,5,24,27.7489,1,2.16247,2.22785,0,3.10477,15138
10,1,2,24,24.1039,0,2.16328,2.16328,0,3.05934,15051
11,15,3,23,27.6225,1,2.16328,2.22744,0,3.10504,14465
12,3,13,23,26.5895,0,2.16518,2.16518,0,3.06202,14703
13,7,14,23,27.8209,1,2.16518,2.21694,0,3.09884,14732
14,16,3,24,29,0,2.1658,2.1658,0,3.0629,15091
15,12,3,24,27,1,2.1658,2.21187,0,3.09565,15087
16,11,0,24,26.4008,0,2.16617,2.16617,0,3.06342,15011
17,17,0,22,27.8029,1,2.16617,2.24621,0,3.12054,13767
18,21,23,23,38.7169,0,2.16645,2.16645,0,3.06382,14971
19,22,21,23,38.1314,1,2.16645,2.2665,0,3.13537,14922
20,14,11,23,29.0861,0,2.16818,2.16818,0,3.06628,14664
21,6,9,23,25.4165,1,2.16818,2.25448,0,3.12789,14606
22,3,24,20,31.3847,0,2.1701,2.1701,0,3.06898,13103
23,10,9,21,24.9399,1,2.1701,2.2774,0,3.14577,13360
24,24,17,23,37.3363,0,2.1725,2.1725,0,3.07238,14824
25,12,17,23,31.0161,1,2.1725,2.21223,0,3.1006,14812
26,9,2,21,22.9347,0,2.17355,2.17355,0,3.07386,13184
27,4,2,22,22.4499,1,2.17355,2.24733,0,3.12646,13804
28,13,19,23,32.5423,0,2.17426,2.17426,0,3.07487,14863
29,17,19,23,34.3366,1,2.17426,2.26193,0,3.13747,14867
30,17,22,23,36.0832,0,2.17453,2.17453,0,3.07526,14942
31,18,23,23,37.1753,1,2.17453,2.20634,0,3.09783,14968
