Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,4,21,23,31.4006,0,2.17025,2.17025,0,3.06919,14904
1,24,24,22,40.4475,3,2.17025,2.40414,0,3.2388,14374
2,18,22,23,36.565,0,2.17148,2.17148,0,3.07094,14943
3,19,21,23,36.4829,1,2.17148,2.30099,0,3.16384,14919
4,8,24,23,34.1906,0,2.17306,2.17306,0,3.07316,14983
5,9,22,23,33.0757,1,2.17306,2.30454,0,3.1675,14934
6,14,2,24,27.8568,0,2.17599,2.17599,0,3.07732,15064
7,16,2,23,28.0891,1,2.17599,2.3047,0,3.16963,14441
8,14,19,23,32.9545,0,2.17669,2.17669,0,3.07831,14864
9,18,20,23,35.3977,1,2.17669,2.30449,0,3.16996,14893
10,14,5,21,25.7294,0,2.17762,2.17762,0,3.07962,13264
11,16,7,23,28.8791,1,2.17762,2.30458,0,3.17067,14566
12,15,11,23,29.5804,0,2.17961,2.17961,0,3.08243,14665
13,24,18,23,37.8021,1,2.17961,2.30451,0,3.17198,14849
14,10,16,23,29.7489,0,2.18029,2.18029,0,3.0834,14785
15,12,12,23,28.5832,1,2.18029,2.30445,0,3.17241,14687
16,24,17,23,37.3363,0,2.18146,2.18146,0,3.08505,14824
17,22,16,22,34.9857,1,2.18146,2.30425,0,3.17306,14172
18,5,13,23,26.8887,0,2.1815,2.1815,0,3.08511,14705
19,20,15,23,33.9706,1,2.1815,2.30443,0,3.17322,14770
20,4,7,21,22.4944,0,2.18153,2.18153,0,3.08514,13304
21,21,10,23,32.7109,1,2.18153,2.30448,0,3.17328,14646
22,4,4,24,24.6577,0,2.18185,2.18185,0,3.08561,15104
23,23,5,23,32.909,1,2.18185,2.3046,0,3.17359,14523
24,24,3,21,32.0312,0,2.182,2.182,0,3.08582,13224
25,24,4,21,32.1403,1,2.182,2.30473,0,3.17379,13249
26,24,0,24,33.9411,0,2.18289,2.18289,0,3.08707,15024
27,13,0,24,27.2947,1,2.18289,2.30475,0,3.17441,15013
28,9,2,21,22.9347,0,2.18369,2.18369,0,3.0882,13184
29,13,2,22,25.632,1,2.18369,2.30088,0,3.17215,13813
30,5,24,20,31.6386,0,2.18688,2.18688,0,3.09272,13105
31,13,18,20,29.8831,1,2.18688,2.30482,0,3.17721,12963
32,0,18,23,29.2062,0,2.18734,2.18734,0,3.09337,14825
33,11,17,23,30.6431,1,2.18734,2.30443,0,3.17724,14811
34,9,7,24,26.5707,0,2.18771,2.18771,0,3.09389,15184
35,14,7,23,27.8209,1,2.18771,2.30455,0,3.17758,14564
36,10,13,18,24.3516,0,2.18772,2.18772,0,3.0939,11585
37,13,15,22,29.6311,1,2.18772,2.30099,0,3.17501,14138
38,21,6,23,31.7175,0,2.1885,2.1885,0,3.09501,14546
39,18,5,22,28.8617,1,2.1885,2.28857,0,3.16656,13893
40,11,19,20,29.6985,0,2.18852,2.18852,0,3.09504,12986
41,21,21,20,35.805,1,2.18852,2.30475,0,3.17828,13046
42,20,14,23,33.541,0,2.18867,2.18867,0,3.09525,14745
43,8,13,23,27.6043,1,2.18867,2.30295,0,3.17708,14708
44,10,24,15,30.0167,0,2.18887,2.18887,0,3.09553,9985
45,16,23,15,31.7805,1,2.18887,2.30517,0,3.17883,9966
46,21,17,20,33.6155,0,2.18895,2.18895,0,3.09564,12946
47,22,16,20,33.7639,1,2.18895,2.30487,0,3.17867,12922
48,19,8,21,29.4279,0,2.18937,2.18937,0,3.09624,13344
49,15,7,21,26.7395,1,2.18937,2.29709,0,3.17332,13315
50,1,7,18,19.3391,0,2.18942,2.18942,0,3.0963,11426
51,4,2,10,10.9545,1,2.18942,2.3049,0,3.17901,6304
52,24,11,21,33.7343,0,2.18967,2.18967,0,3.09666,13424
53,18,10,21,29.4109,1,2.18967,2.28537,0,3.16505,13393
54,3,12,24,27,0,2.18967,2.18967,0,3.09666,15303
55,0,11,23,25.4951,1,2.18967,2.30461,0,3.17897,14650
