Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,0,24,23,33.2415,0,2.17404,2.17404,0,3.07456,14975
1,14,12,2,18.5472,3,2.17404,2.42786,0,3.25898,1564
2,10,8,21,24.5967,0,2.17601,2.17601,0,3.07734,13335
3,9,17,21,28.4781,1,2.17601,2.33029,0,3.1883,13559
4,5,5,21,22.1585,0,2.17793,2.17793,0,3.08006,13255
5,24,6,22,33.1059,1,2.17793,2.32836,0,3.1882,13924
6,15,0,24,28.3019,0,2.17795,2.17795,0,3.08008,15015
7,15,1,24,28.3196,1,2.17795,2.33342,0,3.19191,15040
8,20,6,21,29.6142,0,2.17979,2.17979,0,3.08269,13295
9,9,5,21,23.388,1,2.17979,2.25998,0,3.1399,13259
10,20,17,18,31.8277,0,2.17982,2.17982,0,3.08273,11695
11,10,12,18,23.8328,1,2.17982,2.33025,0,3.19087,11560
12,14,17,23,31.8434,0,2.17983,2.17983,0,3.08275,14814
13,15,11,23,29.5804,1,2.17983,2.32639,0,3.18806,14665
14,10,22,23,33.3617,0,2.17989,2.17989,0,3.08284,14935
15,10,22,24,34.0588,1,2.17989,2.32907,0,3.19006,15560
16,20,20,23,36.4555,0,2.1799,2.1799,0,3.08284,14895
17,0,18,24,30,1,2.1799,2.32605,0,3.18786,15450
18,0,10,21,23.2594,0,2.17996,2.17996,0,3.08292,13375
19,6,12,22,25.7682,1,2.17996,2.32443,0,3.18672,14056
20,24,15,23,36.4692,0,2.18123,2.18123,0,3.08472,14774
21,11,16,24,30.8707,1,2.18123,2.28534,0,3.1592,15411
22,5,16,18,24.5967,0,2.18143,2.18143,0,3.08501,11655
23,12,16,18,26.9072,1,2.18143,2.27365,0,3.1509,11662
24,4,19,23,30.0998,0,2.18178,2.18178,0,3.0855,14854
25,11,19,23,31.7962,1,2.18178,2.25217,0,3.13567,14861
26,22,3,24,32.6956,0,2.18184,2.18184,0,3.08559,15097
27,5,3,24,24.6982,1,2.18184,2.33161,0,3.19325,15080
28,7,2,24,25.0799,0,2.1831,2.1831,0,3.08737,15057
29,12,3,24,27,1,2.1831,2.26513,0,3.14591,15087
30,6,13,21,25.4165,0,2.18374,2.18374,0,3.08827,13456
31,13,11,19,25.5147,1,2.18374,2.33143,0,3.19441,12163
32,11,5,16,20.0499,0,2.18378,2.18378,0,3.08832,10136
33,16,10,15,24.1039,1,2.18378,2.33295,0,3.19555,9641
34,14,3,21,25.4165,0,2.1838,2.1838,0,3.08837,13214
35,0,3,21,21.2132,1,2.1838,2.32981,0,3.19328,13200
36,16,22,18,32.619,0,2.18387,2.18387,0,3.08845,11816
37,6,17,18,25.4755,1,2.18387,2.33088,0,3.1941,11681
38,6,24,18,30.5941,0,2.18572,2.18572,0,3.09108,11856
39,15,23,18,32.8329,1,2.18572,2.33202,0,3.1962,11840
40,10,19,18,28.0179,0,2.18573,2.18573,0,3.0911,11735
41,6,17,17,24.779,1,2.18573,2.33029,0,3.19495,11056
42,20,3,16,25.7876,0,2.18575,2.18575,0,3.09112,10095
43,5,3,16,17.0294,1,2.18575,2.3307,0,3.19526,10080
44,5,2,16,16.8819,0,2.18576,2.18576,0,3.09113,10055
45,12,2,16,20.0998,1,2.18576,2.30685,0,3.17791,10062
46,17,11,21,29.1719,0,2.18576,2.18576,0,3.09113,13417
47,8,11,21,25.02,1,2.18576,2.25522,0,3.14063,13408
48,12,5,24,27.2947,0,2.18589,2.18589,0,3.09131,15137
49,8,4,22,23.7487,1,2.18589,2.30285,0,3.1751,13858
50,14,14,18,26.7582,0,2.18765,2.18765,0,3.0938,11614
51,15,15,18,27.8209,1,2.18765,2.32857,0,3.195,11640
52,1,21,18,27.6767,0,2.18771,2.18771,0,3.09389,11776
53,8,21,18,28.7924,1,2.18771,2.27756,0,3.15806,11783
54,22,14,21,33.4813,0,2.18777,2.18777,0,3.09398,13497
55,13,14,21,28.3901,1,2.18777,2.26243,0,3.14721,13488
56,12,16,21,29,0,2.18952,2.18952,0,3.09645,13537
57,1,17,22,27.8209,1,2.18952,2.32639,0,3.19469,14176
58,2,7,24,25.0799,0,2.19166,2.19166,0,3.09947,15177
59,22,10,24,34.0588,1,2.19166,2.32834,0,3.19758,15272
60,8,14,23,28.0891,0,2.19172,2.19172,0,3.09956,14733
61,15,14,23,30.8221,1,2.19172,2.32248,0,3.19336,14740
62,24,23,23,40.4228,0,2.19357,2.19357,0,3.10218,14974
63,18,23,23,37.1753,1,2.19357,2.25336,0,3.14474,14968
64,10,5,24,26.4764,0,2.19469,2.19469,0,3.10376,15135
65,11,5,24,26.8701,1,2.19469,2.19563,0,3.10443,15136
66,14,0,16,21.2603,0,2.19547,2.19547,0,3.10487,10014
67,15,1,16,21.9545,1,2.19547,2.32733,0,3.19946,10040
68,18,8,24,31.0483,0,2.19748,2.19748,0,3.1077,15218
69,7,7,24,25.9615,1,2.19748,2.2756,0,3.16343,15182
70,23,12,18,31.5753,0,2.19884,2.19884,0,3.10963,11573
71,20,11,18,29.0689,1,2.19884,2.33224,0,3.20535,11545
72,2,18,21,27.7308,0,2.19928,2.19928,0,3.11026,13577
73,16,22,20,33.7639,1,2.19928,2.32834,0,3.20281,13066
74,23,1,21,31.1609,0,2.1994,2.1994,0,3.11043,13173
75,1,2,22,22.1133,1,2.1994,2.33115,0,3.20494,13801
76,24,9,21,33.1361,0,2.19943,2.19943,0,3.11047,13374
77,18,9,21,29.0861,1,2.19943,2.25317,0,3.14869,13368
78,24,20,18,36.0555,0,2.20135,2.20135,0,3.11318,11774
79,18,19,18,31.7648,1,2.20135,2.25998,0,3.15491,11743
80,7,10,24,26.9258,0,2.20523,2.20523,0,3.11867,15257
81,1,10,23,25.0998,1,2.20523,2.32639,0,3.20548,14626
82,23,0,19,29.8329,0,2.20529,2.20529,0,3.11875,11898
83,12,1,20,23.3452,1,2.20529,2.33029,0,3.20836,12537
84,24,6,16,29.4618,0,2.2065,2.2065,0,3.12046,10174
85,18,5,16,24.5967,1,2.2065,2.28342,0,3.17532,10143
86,7,0,21,22.1359,0,2.20901,2.20901,0,3.12401,13132
87,15,0,21,25.807,1,2.20901,2.33029,0,3.21091,13140
88,17,19,21,33.0303,0,2.20911,2.20911,0,3.12415,13617
89,8,18,21,28.7924,1,2.20911,2.31069,0,3.19679,13583
90,1,7,16,17.4929,0,2.20925,2.20925,0,3.12435,10176
91,10,6,16,19.799,1,2.20925,2.3314,0,3.21188,10160
92,13,11,13,21.4243,0,2.21041,2.21041,0,3.12599,8413
93,4,11,14,18.2483,1,2.21041,2.33615,0,3.21613,9029
94,19,19,21,34.1028,0,2.21112,2.21112,0,3.127,13619
95,18,19,21,33.5559,1,2.21112,2.21693,0,3.13111,13618
96,21,11,24,33.7343,0,2.2131,2.2131,0,3.1298,15296
97,12,11,24,29,1,2.2131,2.31372,0,3.20174,15287
98,23,11,24,35.0143,0,2.21337,2.21337,0,3.13017,15298
