Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,16,5,24,29.2746,0,2.13107,2.13107,0,3.01379,15141
1,11,0,23,25.4951,3,2.13107,2.43771,0,3.23789,14386
2,21,8,24,32.8786,0,2.13238,2.13238,0,3.01564,15221
3,2,6,15,16.2788,1,2.13238,2.32862,0,3.15745,9527
4,6,7,24,25.7099,0,2.13498,2.13498,0,3.01932,15181
5,10,7,23,26.0384,1,2.13498,2.32133,0,3.15384,14560
6,24,19,24,38.8973,0,2.13498,2.13498,0,3.01932,15499
7,1,13,0,13.0384,1,2.13498,2.33471,0,3.1637,326
8,12,2,24,26.9072,0,2.13693,2.13693,0,3.02208,15062
9,16,1,5,16.7929,1,2.13693,2.33611,0,3.16605,3166
10,2,4,24,24.4131,0,2.13693,2.13693,0,3.02208,15102
11,11,4,21,24.0416,1,2.13693,2.32639,0,3.15888,13236
12,20,16,24,35.0999,0,2.13693,2.13693,0,3.02208,15420
13,23,19,22,37.0675,1,2.13693,2.33146,0,3.16262,14248
14,6,18,21,28.3019,0,2.14084,2.14084,0,3.0276,13581
15,13,18,17,27.9643,1,2.14084,2.32941,0,3.16375,11088
16,1,12,24,26.8514,0,2.14084,2.14084,0,3.0276,15301
17,9,11,1,14.2478,1,2.14084,2.33615,0,3.16872,909
18,16,13,24,31.6386,0,2.14084,2.14084,0,3.0276,15341
19,4,12,22,25.3772,1,2.14084,2.32053,0,3.15722,14054
20,5,15,24,28.7402,0,2.14279,2.14279,0,3.03036,15380
21,7,15,23,28.3373,1,2.14279,2.32053,0,3.15854,14757
22,9,18,24,31.3209,0,2.14535,2.14535,0,3.03398,15459
23,9,18,22,29.8161,1,2.14535,2.32793,0,3.16572,14209
24,20,2,22,29.7993,0,2.1467,2.1467,0,3.03589,13820
25,15,2,23,27.5318,1,2.1467,2.31677,0,3.15844,14440
26,24,5,22,32.9393,0,2.14865,2.14865,0,3.03865,13899
27,20,5,23,30.8869,1,2.14865,2.31936,0,3.16166,14520
28,3,23,24,33.3766,0,2.14955,2.14955,0,3.03993,15578
29,5,21,0,21.587,1,2.14955,2.33294,0,3.17226,530
30,22,0,24,32.5576,0,2.1506,2.1506,0,3.04141,15022
31,18,1,24,30.0167,1,2.1506,2.35315,0,3.18785,15043
32,16,16,21,30.8707,0,2.15256,2.15256,0,3.04418,13541
33,11,15,18,25.8844,1,2.15256,2.32053,0,3.16518,11636
34,11,10,24,28.2312,0,2.15256,2.15256,0,3.04418,15261
35,9,8,1,12.083,1,2.15256,2.3342,0,3.17521,834
36,14,21,24,34.8281,0,2.15256,2.15256,0,3.04418,15539
37,0,18,0,18,1,2.15256,2.33102,0,3.17288,450
38,21,19,21,35.2562,0,2.15451,2.15451,0,3.04694,13621
39,17,19,20,32.4037,1,2.15451,2.32053,0,3.1665,12992
40,16,24,21,35.6791,0,2.15451,2.15451,0,3.04694,13741
41,3,23,22,31.9687,1,2.15451,2.32609,0,3.17059,14328
