Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,1,4,24,24.3516,0,2.17875,2.17875,0,3.08121,15101
1,11,23,4,25.807,3,2.17875,2.37748,0,3.2248,3086
2,15,5,24,28.7402,0,2.18155,2.18155,0,3.08517,15140
3,10,1,22,24.1868,1,2.18155,2.29318,0,3.16509,13785
4,8,7,24,26.2488,0,2.18185,2.18185,0,3.08561,15183
5,5,5,23,24.0624,1,2.18185,2.29512,0,3.16671,14505
6,4,4,24,24.6577,0,2.18374,2.18374,0,3.08828,15104
7,2,4,24,24.4131,1,2.18374,2.21119,0,3.10775,15102
8,18,5,24,30.4138,0,2.18771,2.18771,0,3.09389,15143
9,17,5,24,29.8329,1,2.18771,2.21018,0,3.10982,15142
10,11,2,24,26.4764,0,2.19415,2.19415,0,3.103,15061
11,5,2,24,24.5967,1,2.19415,2.29553,0,3.1755,15055
12,1,15,21,25.8263,0,2.19795,2.19795,0,3.10837,13501
13,15,11,21,28.0535,1,2.19795,2.29827,0,3.1801,13415
14,10,10,24,27.8568,0,2.2019,2.2019,0,3.11395,15260
15,13,7,24,28.178,1,2.2019,2.29709,0,3.18197,15188
16,21,8,24,32.8786,0,2.20308,2.20308,0,3.11562,15221
17,10,7,22,25.1595,1,2.20308,2.28646,0,3.17513,13935
18,4,15,21,26.1151,0,2.20529,2.20529,0,3.11875,13504
19,3,15,21,25.9808,1,2.20529,2.23453,0,3.13949,13503
20,11,13,21,27.037,0,2.20557,2.20557,0,3.11915,13461
21,5,13,21,25.1992,1,2.20557,2.29731,0,3.18468,13455
22,0,12,24,26.8328,0,2.20706,2.20706,0,3.12126,15300
23,18,11,24,31.9531,1,2.20706,2.28607,0,3.17762,15293
24,19,16,21,32.5269,0,2.2092,2.2092,0,3.12428,13544
25,14,18,24,33.1059,1,2.2092,2.29318,0,3.18422,15464
26,8,18,21,28.7924,0,2.2092,2.2092,0,3.12428,13583
27,5,16,20,26.096,1,2.2092,2.28902,0,3.18122,12905
28,22,0,24,32.5576,0,2.21087,2.21087,0,3.12664,15022
29,15,0,24,28.3019,1,2.21087,2.29674,0,3.18794,15015
30,21,19,21,35.2562,0,2.21112,2.21112,0,3.12699,13621
31,13,18,21,30.5614,1,2.21112,2.29904,0,3.18977,13588
32,14,13,21,28.3901,0,2.21506,2.21506,0,3.13256,13464
33,13,13,21,27.9106,1,2.21506,2.22589,0,3.14023,13463
34,12,10,24,28.6356,0,2.21507,2.21507,0,3.13258,15262
35,11,10,24,28.2312,1,2.21507,2.21935,0,3.13561,15261
36,24,11,24,35.6791,0,2.2152,2.2152,0,3.13276,15299
37,16,10,24,30.5287,1,2.2152,2.27756,0,3.17716,15266
38,3,15,24,28.4605,0,2.21719,2.21719,0,3.13559,15378
39,8,15,24,29.4109,1,2.21719,2.28928,0,3.18696,15383
40,0,23,21,31.1448,0,2.21726,2.21726,0,3.13569,13700
41,13,20,21,31.7805,1,2.21726,2.28928,0,3.18701,13638
42,10,21,21,31.3369,0,2.22105,2.22105,0,3.14104,13660
43,5,19,19,27.3313,1,2.22105,2.28342,0,3.18545,12355
44,14,13,24,30.6757,0,2.22118,2.22118,0,3.14122,15339
45,5,12,24,27.2947,1,2.22118,2.27951,0,3.18273,15305
46,6,18,21,28.3019,0,2.22127,2.22127,0,3.14135,13581
47,7,18,21,28.5307,1,2.22127,2.22345,0,3.14289,13582
48,7,24,23,33.9706,0,2.2226,2.2226,0,3.14323,14982
49,0,24,22,32.5576,1,2.2226,2.30099,0,3.19914,14350
50,22,11,21,32.3419,0,2.22415,2.22415,0,3.14542,13422
51,23,12,22,34.0147,1,2.22415,2.28342,0,3.18761,14073
52,15,24,18,33.541,0,2.22482,2.22482,0,3.14637,11865
53,15,22,18,32.1403,1,2.22482,2.2998,0,3.19983,11815
54,4,1,19,19.4422,0,2.22482,2.22482,0,3.14637,11904
55,3,2,20,20.3224,1,2.22482,2.29123,0,3.19368,12553
56,17,16,24,33.4813,0,2.22668,2.22668,0,3.149,15417
57,12,14,23,29.4788,1,2.22668,2.28366,0,3.18955,14737
58,19,2,19,26.9444,0,2.22678,2.22678,0,3.14914,11944
59,17,3,21,27.1846,1,2.22678,2.29264,0,3.19605,13217
60,3,1,22,22.2261,0,2.22824,2.22824,0,3.15121,13778
61,0,3,24,24.1868,1,2.22824,2.29318,0,3.19746,15075
62,3,21,23,31.289,0,2.22885,2.22885,0,3.15207,14903
63,8,22,24,33.5261,1,2.22885,2.3049,0,3.2063,15558
64,12,5,21,24.6982,0,2.22933,2.22933,0,3.15275,13262
65,15,6,22,27.2947,1,2.22933,2.28146,0,3.18982,13915
66,12,24,18,32.311,0,2.22957,2.22957,0,3.15309,11862
67,13,24,18,32.6956,1,2.22957,2.24527,0,3.16421,11863
68,7,10,21,24.2899,0,2.22988,2.22988,0,3.15353,13382
69,8,11,22,25.865,1,2.22988,2.27756,0,3.18742,14033
70,12,19,23,32.1559,0,2.23021,2.23021,0,3.154,14862
71,7,19,22,29.8998,1,2.23021,2.29318,0,3.19883,14232
72,8,18,24,31.0483,0,2.23025,2.23025,0,3.15405,15458
73,3,16,22,27.3679,1,2.23025,2.29318,0,3.19886,14153
74,21,5,19,28.7576,0,2.23031,2.23031,0,3.15413,12021
75,13,4,19,23.3666,1,2.23031,2.29514,0,3.2003,11988
76,18,2,22,28.4956,0,2.23053,2.23053,0,3.15445,13818
77,15,3,23,27.6225,1,2.23053,2.28814,0,3.19544,14465
78,0,12,21,24.1868,0,2.23068,2.23068,0,3.15466,13425
79,0,13,22,25.5539,1,2.23068,2.29318,0,3.19916,14075
80,5,15,24,28.7402,0,2.23076,2.23076,0,3.15477,15380
81,4,15,24,28.5832,1,2.23076,2.23222,0,3.15581,15379
82,22,22,18,35.9444,0,2.23363,2.23363,0,3.15884,11822
83,18,24,21,36.6197,1,2.23363,2.28732,0,3.19702,13743
84,24,3,24,34.0734,0,2.23441,2.23441,0,3.15993,15099
85,24,2,24,34,1,2.23441,2.29514,0,3.20316,15074
86,0,1,24,24.0208,0,2.23459,2.23459,0,3.16018,15025
87,2,1,23,23.1084,1,2.23459,2.3289,0,3.22756,14402
88,22,19,24,37.6962,0,2.23542,2.23542,0,3.16136,15497
89,17,17,22,32.5883,1,2.23542,2.29123,0,3.20107,14192
90,3,7,21,22.3383,0,2.23544,2.23544,0,3.1614,13303
91,5,8,22,23.9374,1,2.23544,2.28537,0,3.19689,13955
92,22,17,23,36.0832,0,2.2358,2.2358,0,3.1619,14822
93,20,18,24,36.0555,1,2.2358,2.27365,0,3.18878,15470
94,24,22,21,38.7427,0,2.23636,2.23636,0,3.16268,13699
95,16,21,21,33.7343,1,2.23636,2.27756,0,3.19195,13666
96,8,4,19,21,0,2.23654,2.23654,0,3.16295,11983
97,7,5,20,21.7715,1,2.23654,2.29123,0,3.20185,12632
98,0,9,19,21.0238,0,2.23669,2.23669,0,3.16316,12100
99,1,6,17,18.0555,1,2.23669,2.29671,0,3.20588,10776
100,2,1,19,19.1311,0,2.23689,2.23689,0,3.16344,11902
101,3,1,19,19.2614,1,2.23689,2.25433,0,3.17579,11903
102,13,24,21,34.4384,0,2.23811,2.23811,0,3.16516,13738
