Point ID,BranchNodeID,ClusterID,CriticalType,isDummyNode,isImportantPair,isMultiPersPairNode,NodeId,Persistence,Points_0,Points_1,Points_2,Points_Magnitude,RegionSize,RegionSpan,Scalar,TreeID,TrueNodeId,VertexId
0,0,0,3,0,1,0,0,6.75478e+35,3.37739e+35,6.75478e+35,0,7.55207e+35,192,7,6.75478e+35,0,7,303
1,1,0,1,0,1,0,2,1.52956e+32,3.73201e+35,1.52956e+32,0,3.73201e+35,192,7,1.52956e+32,0,6,371
2,1,0,1,1,1,0,2,1.52956e+32,3.37739e+35,1.52956e+32,0,3.37739e+35,192,7,1.52956e+32,0,6,371
3,0,0,0,0,1,0,4,6.75478e+35,3.37739e+35,0,0,3.37739e+35,129,7,0,0,0,0
4,0,0,0,1,1,0,4,6.75478e+35,3.37739e+35,0,0,3.37739e+35,129,7,0,0,0,0
5,2,0,1,0,1,0,6,1.51014e+32,4.08664e+35,1.51014e+32,0,4.08664e+35,0,7,1.51014e+32,0,5,358
6,2,0,1,1,1,0,6,1.51014e+32,3.73201e+35,1.51014e+32,0,3.73201e+35,0,7,1.51014e+32,0,5,358
7,1,0,0,0,1,0,8,1.52956e+32,3.73201e+35,0,0,3.73201e+35,107,5,0,0,1,99
8,1,0,0,1,1,0,8,1.52956e+32,3.73201e+35,0,0,3.73201e+35,107,5,0,0,1,99
9,3,0,1,0,1,0,10,5.14995e+10,4.44126e+35,8.26429e+10,0,4.44126e+35,545,4,8.26429e+10,0,4,535
10,3,0,1,1,1,0,10,5.14995e+10,4.08664e+35,8.26429e+10,0,4.08664e+35,545,4,8.26429e+10,0,4,535
11,2,0,0,0,1,0,12,1.51014e+32,4.08664e+35,0.213669,0,4.08664e+35,19,2,0.213669,0,3,455
12,2,0,0,1,1,0,12,1.51014e+32,4.08664e+35,0.213669,0,4.08664e+35,19,2,0.213669,0,3,455
13,3,0,0,0,1,0,14,5.14995e+10,4.44126e+35,3.11435e+10,0,4.44126e+35,0,1,3.11435e+10,0,2,426
14,3,0,0,1,1,0,14,5.14995e+10,4.44126e+35,3.11435e+10,0,4.44126e+35,0,1,3.11435e+10,0,2,426
