Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,0,0,0,0,0,0,0,0,0,0
1,3,0,3,4.24264,3,0,6.75478e+35,0,6.75478e+35,303
2,9,9,0,12.7279,0,0,0,0,0,99
3,1,7,3,7.68115,1,0,1.52956e+32,0,1.52956e+32,371
4,5,5,4,8.12404,0,0.213669,0.213669,0,0.302174,455
5,8,5,3,9.8995,1,0.213669,1.51014e+32,0,1.51014e+32,358
6,6,2,4,7.48331,0,3.11435e+10,3.11435e+10,0,4.40435e+10,426
7,5,3,5,7.68115,1,3.11435e+10,8.26429e+10,0,8.83163e+10,535
8,6,2,3,7,1,1.36604e+11,1.36604e+11,0,1.93187e+11,326
9,6,3,4,7.81025,2,1.36604e+11,3.61186e+11,0,3.86155e+11,436
10,1,6,4,7.28011,1,1.76155e+32,1.76155e+32,0,2.49121e+32,461
11,1,6,3,6.78233,2,1.76155e+32,1.83228e+33,0,1.84073e+33,361
12,2,9,0,9.21954,1,2.25458e+32,2.25458e+32,0,3.18845e+32,92
13,2,6,0,6.32456,2,2.25458e+32,2.95699e+34,0,2.95707e+34,62
14,2,6,1,6.40312,1,2.78172e+32,2.78172e+32,0,3.93395e+32,162
15,1,7,2,7.34847,2,2.78172e+32,7.04682e+33,0,7.05231e+33,271
16,7,6,6,11,1,3.03896e+32,3.03896e+32,0,4.29774e+32,667
17,7,8,5,11.7473,2,3.03896e+32,2.46807e+34,0,2.46826e+34,587
18,7,5,7,11.0905,1,3.10818e+32,3.10818e+32,0,4.39562e+32,757
19,7,6,7,11.5758,2,3.10818e+32,7.15708e+33,0,7.16382e+33,767
20,7,7,5,11.0905,1,3.30624e+32,3.30624e+32,0,4.67574e+32,577
21,7,7,6,11.5758,2,3.30624e+32,6.2659e+33,0,6.27462e+33,677
22,7,1,9,11.4455,1,3.49185e+32,3.49185e+32,0,4.93823e+32,917
23,7,3,9,11.7898,2,3.49185e+32,2.82343e+34,0,2.82364e+34,937
24,6,7,8,12.2066,1,4.02947e+32,4.02947e+32,0,5.69852e+32,876
25,7,6,7,11.5758,2,4.02947e+32,7.15708e+33,0,7.16841e+33,767
26,8,6,2,10.198,1,4.30225e+32,4.30225e+32,0,6.0843e+32,268
27,8,6,3,10.4403,2,4.30225e+32,4.82563e+33,0,4.84477e+33,368
28,7,3,8,11.0454,1,5.58288e+32,5.58288e+32,0,7.89539e+32,837
29,7,5,8,11.7473,2,5.58288e+32,2.53937e+34,0,2.53998e+34,857
30,1,5,5,7.14143,1,5.9679e+32,5.9679e+32,0,8.43988e+32,551
31,1,5,4,6.48074,2,5.9679e+32,4.94728e+33,0,4.98314e+33,451
32,7,8,3,11.0454,1,7.01499e+32,7.01499e+32,0,9.92069e+32,387
33,8,7,2,10.8167,2,7.01499e+32,1.4743e+34,0,1.47597e+34,278
34,6,8,7,12.2066,1,7.03124e+32,7.03124e+32,0,9.94367e+32,786
35,7,7,6,11.5758,2,7.03124e+32,6.2659e+33,0,6.30523e+33,677
36,3,4,0,5,1,7.38015e+32,7.38015e+32,0,1.04371e+33,43
37,2,5,1,5.47723,2,7.38015e+32,2.3398e+33,0,2.45343e+33,152
38,2,4,2,4.89898,1,8.18738e+32,8.18738e+32,0,1.15787e+33,242
39,2,4,1,4.58258,2,8.18738e+32,1.60096e+34,0,1.60305e+34,142
40,1,9,2,9.27362,1,8.20147e+32,8.20147e+32,0,1.15986e+33,291
41,1,7,2,7.34847,2,8.20147e+32,7.04682e+33,0,7.09439e+33,271
42,4,0,2,4.47214,1,1.20204e+33,1.20204e+33,0,1.69994e+33,204
43,3,1,1,3.31662,2,1.20204e+33,6.93257e+34,0,6.93361e+34,113
44,5,9,9,13.6748,1,1.32269e+33,1.32269e+33,0,1.87056e+33,995
45,6,8,8,12.8062,2,1.32269e+33,1.49308e+34,0,1.49893e+34,886
46,3,1,4,5.09902,1,1.52565e+33,1.52565e+33,0,2.1576e+33,413
47,3,1,3,4.3589,2,1.52565e+33,5.58662e+33,0,5.7912e+33,313
48,7,9,0,11.4018,1,1.57746e+33,1.57746e+33,0,2.23087e+33,97
49,7,9,3,11.7898,2,1.57746e+33,8.27227e+34,0,8.27378e+34,397
50,8,1,7,10.6771,1,1.72297e+33,1.72297e+33,0,2.43665e+33,718
51,8,2,7,10.8167,2,1.72297e+33,1.42121e+34,0,1.43162e+34,728
52,6,9,6,12.3693,1,1.79732e+33,1.79732e+33,0,2.5418e+33,696
53,7,8,5,11.7473,2,1.79732e+33,2.46807e+34,0,2.47461e+34,587
