Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,13,13,18,25.7294,0,2.2655,2.2655,0,3.20391,11588
1,11,4,23,25.807,3,2.2655,2.42638,0,3.31962,14486
2,9,21,15,27.3313,0,2.26962,2.26962,0,3.20973,9909
3,13,20,15,28.178,1,2.26962,2.35568,0,3.27115,9888
4,2,18,23,29.2746,0,2.2715,2.2715,0,3.21239,14827
5,0,17,21,27.0185,1,2.2715,2.35568,0,3.27245,13550
6,23,11,18,31.209,0,2.27318,2.27318,0,3.21476,11548
7,20,11,17,28.4605,1,2.27318,2.35374,0,3.27222,10920
8,23,22,15,35.1852,0,2.2742,2.2742,0,3.2162,9948
9,16,21,15,30.3645,1,2.2742,2.34392,0,3.26587,9916
10,2,4,21,21.4709,0,2.27611,2.27611,0,3.2189,13227
11,9,17,15,24.3926,1,2.27611,2.35568,0,3.27565,9809
12,13,18,5,22.7596,0,2.27679,2.27679,0,3.21986,3588
13,24,7,18,30.8058,1,2.27679,2.35568,0,3.27612,11449
14,24,5,8,25.7876,0,2.27798,2.27798,0,3.22154,5149
15,9,13,5,16.5831,1,2.27798,2.35558,0,3.27688,3459
16,3,6,3,7.34847,0,2.27831,2.27831,0,3.22202,2028
17,9,6,4,11.5326,1,2.27831,2.35561,0,3.27713,2659
18,12,2,21,24.2693,0,2.27903,2.27903,0,3.22303,13187
19,12,3,18,21.8403,1,2.27903,2.35564,0,3.27765,11337
20,24,19,10,32.2025,0,2.27907,2.27907,0,3.22309,6749
21,0,19,2,19.105,1,2.27907,2.35527,0,3.27742,1725
22,13,21,10,26.6458,0,2.27928,2.27928,0,3.22338,6788
23,9,20,8,23.3452,1,2.27928,2.35373,0,3.27645,5509
24,3,12,13,17.9444,0,2.27936,2.27936,0,3.2235,8428
25,4,11,5,12.7279,1,2.27936,2.35557,0,3.27783,3404
26,3,20,5,20.8327,0,2.27942,2.27942,0,3.22359,3628
27,21,21,6,30.2985,1,2.27942,2.35385,0,3.27664,4296
28,14,7,8,17.5784,0,2.27944,2.27944,0,3.22361,5189
29,9,6,6,12.3693,1,2.27944,2.35373,0,3.27657,3909
30,0,14,0,14,0,2.27945,2.27945,0,3.22363,350
31,10,17,3,19.9499,1,2.27945,2.35372,0,3.27657,2310
32,4,17,0,17.4642,0,2.27945,2.27945,0,3.22363,429
33,9,17,3,19.4679,1,2.27945,2.35373,0,3.27657,2309
34,18,18,0,25.4558,0,2.27954,2.27954,0,3.22375,468
35,22,18,1,28.4429,1,2.27954,2.35373,0,3.27663,1097
36,13,10,13,20.9284,0,2.27964,2.27964,0,3.22389,8388
37,14,11,10,20.4206,1,2.27964,2.35554,0,3.27801,6539
38,2,1,16,16.1555,0,2.2799,2.2799,0,3.22426,10027
39,9,5,13,16.5831,1,2.2799,2.35564,0,3.27826,8259
40,2,7,23,24.1247,0,2.28022,2.28022,0,3.22471,14552
41,11,6,21,24.454,1,2.28022,2.35568,0,3.27851,13286
42,13,24,15,31.1448,0,2.28056,2.28056,0,3.2252,9988
43,8,23,13,27.6043,1,2.28056,2.35373,0,3.27735,8708
44,12,16,23,30.4795,0,2.28098,2.28098,0,3.22579,14787
