Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,10,0,21,23.2594,0,2.24546,2.24546,0,3.17556,13135
1,11,19,23,31.7962,3,2.24546,2.40646,0,3.29138,14861
2,1,16,23,28.0357,0,2.24826,2.24826,0,3.17952,14776
3,9,0,20,21.9317,1,2.24826,2.31857,0,3.22962,12509
4,10,11,18,23.3452,0,2.25005,2.25005,0,3.18205,11535
5,24,12,17,31.7648,1,2.25005,2.31855,0,3.23085,10949
6,11,14,23,29.0861,0,2.25217,2.25217,0,3.18504,14736
7,10,14,22,27.9285,1,2.25217,2.31662,0,3.23094,14110
8,19,20,15,31.4006,0,2.25218,2.25218,0,3.18506,9894
9,9,11,17,22.1585,1,2.25218,2.31662,0,3.23095,10909
10,20,12,23,32.7567,0,2.25994,2.25994,0,3.19604,14695
11,0,16,22,27.2029,1,2.25994,2.31662,0,3.23636,14150
12,1,2,21,21.1187,0,2.26175,2.26175,0,3.1986,13176
13,6,1,21,21.8632,1,2.26175,2.31076,0,3.23344,13156
14,8,8,13,17.2337,0,2.26381,2.26381,0,3.20152,8333
15,6,11,13,18.0555,1,2.26381,2.31473,0,3.23772,8406
16,20,23,20,36.4555,0,2.26386,2.26386,0,3.20158,13095
17,16,20,19,31.8904,1,2.26386,2.32053,0,3.2419,12391
18,9,22,15,28.1069,0,2.26578,2.26578,0,3.20429,9934
19,17,21,15,30.9031,1,2.26578,2.30295,0,3.23068,9917
20,16,3,23,28.178,0,2.26583,2.26583,0,3.20436,14466
21,14,3,20,24.5967,1,2.26583,2.32053,0,3.24327,12589
22,0,13,18,22.2036,0,2.26778,2.26778,0,3.20713,11575
23,6,12,18,22.4499,1,2.26778,2.30295,0,3.23209,11556
24,16,3,21,26.5707,0,2.26779,2.26779,0,3.20714,13216
25,16,3,22,27.3679,1,2.26779,2.28335,0,3.21816,13841
26,4,8,18,20.0998,0,2.2682,2.2682,0,3.20771,11454
27,17,8,17,25.3377,1,2.2682,2.31662,0,3.24214,10842
28,7,22,23,32.5883,0,2.26971,2.26971,0,3.20985,14932
29,20,20,22,35.8329,1,2.26971,2.32053,0,3.24598,14270
30,4,19,23,30.0998,0,2.26974,2.26974,0,3.2099,14854
31,1,18,19,26.1916,1,2.26974,2.31857,0,3.24461,12326
32,3,5,21,21.7945,0,2.26974,2.26974,0,3.2099,13253
33,10,4,21,23.6008,1,2.26974,2.30099,0,3.23207,13235
34,19,9,18,27.6767,0,2.26974,2.26974,0,3.2099,11494
35,17,10,18,26.7021,1,2.26974,2.31271,0,3.24043,11517
36,24,12,18,32.311,0,2.26974,2.26974,0,3.2099,11574
37,20,12,22,32.0624,1,2.26974,2.31659,0,3.24319,14070
38,14,3,21,25.4165,0,2.26974,2.26974,0,3.2099,13214
39,15,3,21,25.9808,1,2.26974,2.2717,0,3.21128,13215
40,2,2,23,23.1733,0,2.26974,2.26974,0,3.2099,14427
41,1,2,22,22.1133,1,2.26974,2.28339,0,3.21957,13801
42,15,17,23,32.2955,0,2.26974,2.26974,0,3.2099,14815
43,11,18,23,31.209,1,2.26974,2.3049,0,3.23486,14836
44,18,20,23,35.3977,0,2.26974,2.26974,0,3.2099,14893
45,15,21,23,34.5688,1,2.26974,2.29709,0,3.2293,14915
46,24,23,18,37.8021,0,2.27163,2.27163,0,3.21256,11849
47,19,23,19,35.3695,1,2.27163,2.31857,0,3.24593,12469
48,24,23,15,36.4692,0,2.27163,2.27163,0,3.21256,9974
49,23,23,14,35.4119,1,2.27163,2.31857,0,3.24593,9348
50,2,16,18,24.1661,0,2.27165,2.27165,0,3.21259,11652
51,21,13,18,30.5614,1,2.27165,2.29904,0,3.23202,11596
52,13,0,19,23.0217,0,2.27165,2.27165,0,3.2126,11888
53,11,3,16,19.6469,1,2.27165,2.31662,0,3.24455,10086
54,21,23,23,38.7169,0,2.27165,2.27165,0,3.2126,14971
55,17,23,23,36.7015,1,2.27165,2.33224,0,3.25573,14967
56,24,9,8,26.8514,0,2.27165,2.27165,0,3.2126,5249
57,8,8,12,16.4924,1,2.27165,2.31271,0,3.24177,7708
58,16,14,20,29.189,0,2.27169,2.27169,0,3.21265,12866
59,10,15,18,25.4755,1,2.27169,2.29709,0,3.23066,11635
60,14,0,11,17.8045,0,2.27169,2.27169,0,3.21265,6889
61,15,3,12,19.4422,1,2.27169,2.31662,0,3.24458,7590
62,17,6,21,27.6767,0,2.27169,2.27169,0,3.21265,13292
