Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,7,23,3,24.2281,0,2.28345,2.28345,0,3.22929,2457
1,11,11,24,28.6007,3,2.28345,2.44187,0,3.34319,15286
2,22,24,3,32.6956,0,2.28348,2.28348,0,3.22932,2497
3,3,24,2,24.2693,1,2.28348,2.32749,0,3.2606,1853
4,10,21,16,28.2312,0,2.28485,2.28485,0,3.23127,10535
5,19,16,15,29.0172,1,2.28485,2.33803,0,3.26909,9794
6,11,4,9,14.7648,0,2.28856,2.28856,0,3.23651,5736
7,18,6,4,19.3907,1,2.28856,2.32639,0,3.26337,2668
8,7,9,1,11.4455,0,2.2889,2.2889,0,3.237,857
9,14,9,0,16.6433,1,2.2889,2.32834,0,3.265,239
10,22,10,1,24.1868,0,2.28911,2.28911,0,3.2373,897
11,18,17,1,24.779,1,2.28911,2.32053,0,3.25958,1068
12,1,20,11,22.8473,0,2.28928,2.28928,0,3.23753,7376
13,19,18,8,27.3679,1,2.28928,2.32833,0,3.26526,5469
14,21,2,9,22.9347,0,2.29036,2.29036,0,3.23906,5696
15,16,1,7,17.4929,1,2.29036,2.32248,0,3.26185,4416
16,20,5,14,24.9199,0,2.29039,2.29039,0,3.23909,8895
17,15,11,13,22.6936,1,2.29039,2.33554,0,3.27118,8415
18,11,15,6,19.5448,0,2.2909,2.2909,0,3.23982,4136
19,3,19,5,19.8746,1,2.2909,2.32078,0,3.26102,3603
20,0,12,19,22.4722,0,2.29097,2.29097,0,3.23991,12175
21,18,5,18,25.9422,1,2.29097,2.3381,0,3.27341,11393
22,10,10,19,23.6854,0,2.29116,2.29116,0,3.24019,12135
23,9,11,19,23.7276,1,2.29116,2.32831,0,3.26656,12159
24,2,3,4,5.38516,0,2.29119,2.29119,0,3.24023,2577
25,13,4,8,15.7797,1,2.29119,2.32441,0,3.26381,5113
26,21,13,6,25.4165,0,2.2912,2.2912,0,3.24024,4096
27,14,14,6,20.6882,1,2.2912,2.32247,0,3.26243,4114
28,12,1,4,12.6886,0,2.2913,2.2913,0,3.24039,2537
29,7,2,4,8.30662,1,2.2913,2.31074,0,3.25416,2557
30,0,1,22,22.0227,0,2.29137,2.29137,0,3.24049,13775
31,15,5,19,24.7184,1,2.29137,2.34315,0,3.2773,12015
32,12,12,1,17,0,2.29149,2.29149,0,3.24065,937
33,20,10,1,22.383,1,2.29149,2.31659,0,3.25845,895
34,20,19,16,31.8904,0,2.29168,2.29168,0,3.24093,10495
35,15,18,14,27.2947,1,2.29168,2.32826,0,3.2669,9215
36,9,13,24,28.7402,0,2.29223,2.29223,0,3.24171,15334
37,9,0,22,23.7697,1,2.29223,2.34201,0,3.2771,13759
38,6,1,9,10.8628,0,2.29244,2.29244,0,3.242,5656
39,9,1,8,12.083,1,2.29244,2.32827,0,3.26743,5034
40,1,6,9,10.8628,0,2.29279,2.29279,0,3.2425,5776
41,7,5,9,12.4499,1,2.29279,2.31268,0,3.25659,5757
42,20,16,11,27.8747,0,2.29284,2.29284,0,3.24257,7295
43,15,15,9,23.0434,1,2.29284,2.32433,0,3.26491,6015
44,2,14,1,14.1774,0,2.29293,2.29293,0,3.2427,977
45,10,12,1,15.6525,1,2.29293,2.31237,0,3.25647,935
46,10,7,14,18.5742,0,2.29294,2.29294,0,3.2427,8935
47,19,6,14,24.3516,1,2.29294,2.32638,0,3.26644,8919
48,11,18,11,23.7908,0,2.29301,2.29301,0,3.2428,7336
49,7,20,12,24.3516,1,2.29301,2.3161,0,3.25917,8007
50,6,12,6,14.6969,0,2.29307,2.29307,0,3.24289,4056
51,9,12,5,15.8114,1,2.29307,2.32467,0,3.26531,3434
52,2,17,6,18.1384,0,2.29318,2.29318,0,3.24305,4177
53,7,16,6,18.4662,1,2.29318,2.31262,0,3.25682,4157
54,0,23,16,28.0179,0,2.29398,2.29398,0,3.24418,10575
55,9,22,16,28.6531,1,2.29398,2.32443,0,3.26578,10559
56,9,24,21,33.1361,0,2.2947,2.2947,0,3.2452,13734
57,17,19,20,32.4037,1,2.2947,2.34022,0,3.27754,12992
58,1,9,14,16.6733,0,2.29471,2.29471,0,3.2452,8976
59,9,8,14,18.4662,1,2.29471,2.31467,0,3.25935,8959
60,24,3,4,24.5153,0,2.29507,2.29507,0,3.24572,2599
61,12,3,4,13,1,2.29507,2.32247,0,3.26516,2587
62,8,13,1,15.2971,0,2.29703,2.29703,0,3.24849,958
63,7,13,1,14.7986,1,2.29703,2.30727,0,3.25574,957
64,24,14,1,27.8029,0,2.29709,2.29709,0,3.24857,999
65,9,14,2,16.7631,1,2.29709,2.31939,0,3.26438,1609
66,14,19,6,24.3516,0,2.29709,2.29709,0,3.24857,4239
67,18,19,4,26.4764,1,2.29709,2.32438,0,3.26793,2993
68,14,16,1,21.2838,0,2.29709,2.29709,0,3.24857,1039
69,15,15,1,21.2368,1,2.29709,2.31651,0,3.26234,1015
70,17,6,0,18.0278,0,2.29723,2.29723,0,3.24877,167
71,8,7,2,10.8167,1,2.29723,2.33029,0,3.27224,1433
72,24,14,24,36.7151,0,2.29773,2.29773,0,3.24947,15374
73,20,11,23,32.4037,1,2.29773,2.34201,0,3.28094,14670
