Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,0,18,23,29.2062,0,2.29318,2.29318,0,3.24305,14825
1,3,0,23,23.1948,3,2.29318,2.42599,0,3.33828,14378
2,21,22,15,33.9117,0,2.29476,2.29476,0,3.24529,9946
3,22,10,17,29.5466,1,2.29476,2.34006,0,3.27747,10897
4,10,16,23,29.7489,0,2.29491,2.29491,0,3.24549,14785
5,8,17,23,29.6985,1,2.29491,2.30909,0,3.25554,14808
6,17,5,13,21.9773,0,2.29511,2.29511,0,3.24577,8267
7,20,5,13,24.3721,1,2.29511,2.32241,0,3.26514,8270
8,3,18,15,23.622,0,2.29514,2.29514,0,3.24581,9828
9,20,19,15,31.4006,1,2.29514,2.31857,0,3.26243,9870
10,0,4,21,21.3776,0,2.29519,2.29519,0,3.24589,13225
11,14,0,22,26.0768,1,2.29519,2.32281,0,3.26548,13764
12,0,1,16,16.0312,0,2.29654,2.29654,0,3.2478,10025
13,20,6,21,29.6142,1,2.29654,2.33455,0,3.27479,13295
14,17,16,10,25.3969,0,2.29661,2.29661,0,3.24789,6667
15,20,14,13,27.6586,1,2.29661,2.34295,0,3.28083,8495
16,0,15,18,23.4307,0,2.29672,2.29672,0,3.24805,11625
17,9,1,17,19.2614,1,2.29672,2.33,0,3.27167,10659
18,15,16,18,28.3725,0,2.29702,2.29702,0,3.24848,11665
19,24,16,19,34.5398,1,2.29702,2.33224,0,3.27348,12299
20,9,24,23,34.4384,0,2.29709,2.29709,0,3.24857,14984
21,20,20,23,36.4555,1,2.29709,2.33589,0,3.27612,14895
22,3,15,10,18.2757,0,2.29709,2.29709,0,3.24857,6628
23,8,11,10,16.8819,1,2.29709,2.31375,0,3.26038,6533
24,3,4,13,13.9284,0,2.29709,2.29709,0,3.24857,8228
25,5,4,13,14.4914,1,2.29709,2.31271,0,3.25964,8230
26,17,11,23,30.6431,0,2.29709,2.29709,0,3.24857,14667
27,23,12,24,35.3412,1,2.29709,2.31476,0,3.2611,15323
28,21,14,23,34.1467,0,2.29709,2.29709,0,3.24857,14746
29,20,14,23,33.541,1,2.29709,2.31113,0,3.25852,14745
30,24,0,24,33.9411,0,2.29816,2.29816,0,3.25008,15024
31,12,3,24,27,1,2.29816,2.32153,0,3.26665,15087
32,10,2,21,23.3452,0,2.29838,2.29838,0,3.2504,13185
33,9,3,21,23.0434,1,2.29838,2.30873,0,3.25773,13209
34,11,10,13,19.7484,0,2.29869,2.29869,0,3.25084,8386
35,4,11,15,19.0263,1,2.29869,2.31613,0,3.26319,9654
36,9,24,12,28.3019,0,2.29901,2.29901,0,3.2513,8109
37,20,16,10,27.4955,1,2.29901,2.32443,0,3.26932,6670
38,21,11,18,29.7658,0,2.29904,2.29904,0,3.25133,11546
39,20,12,18,29.4618,1,2.29904,2.31155,0,3.26019,11570
40,7,21,15,26.7395,0,2.29904,2.29904,0,3.25134,9907
41,5,19,16,25.3377,1,2.29904,2.30976,0,3.25892,10480
42,10,24,15,30.0167,0,2.29978,2.29978,0,3.25239,9985
43,20,23,15,33.9706,1,2.29978,2.31073,0,3.26014,9970
44,0,12,13,17.6918,0,2.29985,2.29985,0,3.25249,8425
45,9,11,13,19.2614,1,2.29985,2.31394,0,3.26246,8409
46,24,11,21,33.7343,0,2.30008,2.30008,0,3.2528,13424
47,22,12,21,32.6956,1,2.30008,2.31789,0,3.26542,13447
48,21,19,10,30.0333,0,2.30011,2.30011,0,3.25284,6746
49,4,22,12,25.3772,1,2.30011,2.31676,0,3.26464,8054
50,15,2,16,22.0227,0,2.3002,2.3002,0,3.25297,10065
51,24,2,17,29.4788,1,2.3002,2.3342,0,3.2771,10699
52,21,8,13,25.9615,0,2.30026,2.30026,0,3.25305,8346
53,20,9,13,25.4951,1,2.30026,2.31417,0,3.26291,8370
54,3,12,5,13.3417,0,2.30065,2.30065,0,3.2536,3428
55,22,4,7,23.4307,1,2.30065,2.34374,0,3.28422,4497
56,7,10,18,21.7486,0,2.30083,2.30083,0,3.25386,11507
57,20,8,18,28.0713,1,2.30083,2.32053,0,3.26782,11470
58,19,22,23,37.0675,0,2.30086,2.30086,0,3.25391,14944
59,18,23,23,37.1753,1,2.30086,2.31112,0,3.26117,14968
60,13,2,24,27.3679,0,2.30087,2.30087,0,3.25392,15063
61,22,1,24,32.573,1,2.30087,2.3182,0,3.26619,15047
