Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,11,2,24,26.4764,0,1.94734,1.94734,0,2.75396,15061
1,3,0,23,23.1948,3,1.94734,2.42404,0,3.10936,14378
2,0,4,24,24.3311,0,1.95124,1.95124,0,2.75947,15100
3,5,3,23,23.7276,1,1.95124,2.20263,0,2.9426,14455
4,0,15,21,25.807,0,1.95292,1.95292,0,2.76185,13500
5,12,9,21,25.807,1,1.95292,2.27678,0,2.99961,13362
6,15,16,21,30.3645,0,1.95426,1.95426,0,2.76375,13540
7,4,16,21,26.7021,1,1.95426,2.24898,0,2.97944,13529
8,21,0,24,31.8904,0,1.95536,1.95536,0,2.7653,15021
9,15,1,23,27.4773,1,1.95536,2.21731,0,2.95633,14415
10,15,2,19,24.2899,0,1.95543,1.95543,0,2.76539,11940
11,8,10,18,22.0907,1,1.95543,2.25803,0,2.98704,11508
12,15,5,24,28.7402,0,1.95586,1.95586,0,2.766,15140
13,4,4,24,24.6577,1,1.95586,2.19553,0,2.94036,15104
14,0,1,19,19.0263,0,1.95876,1.95876,0,2.7701,11900
15,5,1,19,19.6723,1,1.95876,2.24632,0,2.98038,11905
16,4,7,24,25.318,0,1.96244,1.96244,0,2.77531,15179
17,19,6,24,31.1929,1,1.96244,2.23504,0,2.97432,15169
18,10,13,21,26.6458,0,1.96607,1.96607,0,2.78044,13460
19,5,14,20,24.9199,1,1.96607,2.21188,0,2.95937,12855
20,4,18,21,27.9464,0,1.96918,1.96918,0,2.78484,13579
21,19,17,21,33.0303,1,1.96918,2.24604,0,2.98703,13569
22,10,24,18,31.6228,0,1.96937,1.96937,0,2.78511,11860
23,13,21,18,30.5614,1,1.96937,2.28146,0,3.01388,11788
24,19,8,24,31.6386,0,1.97145,1.97145,0,2.78805,15219
25,18,7,23,30.0333,1,1.97145,2.26003,0,2.99906,14568
26,5,4,19,20.0499,0,1.9767,1.9767,0,2.79548,11980
27,19,3,19,27.037,1,1.9767,2.25696,0,3.0002,11969
28,20,19,21,34.6699,0,1.97686,1.97686,0,2.7957,13620
29,23,17,20,34.8999,1,1.97686,2.26552,0,3.00676,12948
30,5,15,16,22.4944,0,1.97701,1.97701,0,2.79591,10380
31,8,21,15,27.0185,1,1.97701,2.26779,0,3.00856,9908
32,20,11,21,31.0161,0,1.97984,1.97984,0,2.79992,13420
33,15,12,20,27.7308,1,1.97984,2.22172,0,2.97587,12815
34,20,5,19,28.0357,0,1.98671,1.98671,0,2.80963,12020
35,23,3,18,29.3598,1,1.98671,2.24796,0,3.00005,11348
36,9,10,24,27.5136,0,1.99073,1.99073,0,2.81532,15259
37,10,9,23,26.6458,1,1.99073,2.24078,0,2.99735,14610
38,24,3,24,34.0734,0,1.99159,1.99159,0,2.81653,15099
39,14,3,24,27.9464,1,1.99159,2.20089,0,2.96822,15089
40,24,14,21,34.8281,0,1.99741,1.99741,0,2.82477,13499
41,14,14,21,28.8617,1,1.99741,2.20951,0,2.97852,13489
42,24,0,19,30.6105,0,2.00245,2.00245,0,2.8319,11899
43,5,0,18,18.6815,1,2.00245,2.21842,0,2.98851,11255
44,9,21,21,31.0322,0,2.00327,2.00327,0,2.83305,13659
45,9,20,20,29.6816,1,2.00327,2.25475,0,3.01612,13009
46,5,24,23,33.6155,0,2.00328,2.00328,0,2.83307,14980
47,12,23,23,34.6699,1,2.00328,2.27878,0,3.03413,14962
48,14,13,16,24.9199,0,2.00523,2.00523,0,2.83582,10339
49,20,13,16,28.7228,1,2.00523,2.25994,0,3.0213,10345
50,19,16,16,29.5466,0,2.00673,2.00673,0,2.83794,10419
51,23,15,15,31.289,1,2.00673,2.25688,0,3.02001,9773
52,14,24,13,30.6757,0,2.00959,2.00959,0,2.84198,8739
53,24,18,10,31.6228,1,2.00959,2.27915,0,3.03857,6724
54,4,1,14,14.5945,0,2.01296,2.01296,0,2.84676,8779
55,24,7,13,28.178,1,2.01296,2.27732,0,3.03944,8324
56,10,7,19,22.5832,0,2.01424,2.01424,0,2.84856,12060
57,13,5,18,22.7596,1,2.01424,2.25576,0,3.02417,11388
58,5,10,21,23.7908,0,2.0175,2.0175,0,2.85318,13380
59,10,10,21,25.318,1,2.0175,2.20744,0,2.9905,13385
60,24,11,16,30.8707,0,2.0192,2.0192,0,2.85557,10299
61,5,12,16,20.6155,1,2.0192,2.24631,0,3.02044,10305
62,24,22,13,35.0571,0,2.02381,2.02381,0,2.8621,8699
63,19,23,12,32.1559,1,2.02381,2.25662,0,3.03119,8094
64,9,10,16,20.9045,0,2.02484,2.02484,0,2.86355,10259
65,15,10,16,24.1039,1,2.02484,2.23264,0,3.01407,10265
66,0,12,24,26.8328,0,2.02673,2.02673,0,2.86623,15300
67,2,10,23,25.1595,1,2.02673,2.24986,0,3.02812,14627
68,19,2,14,23.6854,0,2.02717,2.02717,0,2.86685,8819
69,23,1,13,26.4386,1,2.02717,2.26175,0,3.03726,8173
70,7,21,18,28.5307,0,2.03128,2.03128,0,2.87266,11782
71,15,23,17,32.2955,1,2.03128,2.22985,0,3.01635,11215
72,11,10,16,21.8403,0,2.03149,2.03149,0,2.87295,10261
73,10,10,16,21.3542,1,2.03149,2.03882,0,2.87815,10260
74,15,22,23,35.1852,0,2.03271,2.03271,0,2.87469,14940
75,7,20,23,31.273,1,2.03271,2.27807,0,3.05312,14882
76,17,8,21,28.178,0,2.03392,2.03392,0,2.8764,13342
77,22,7,21,31.209,1,2.03392,2.27658,0,3.05281,13322
78,17,22,23,36.0832,0,2.03426,2.03426,0,2.87688,14942
79,16,22,23,35.623,1,2.03426,2.03885,0,2.88013,14941
80,1,21,23,31.1609,0,2.03517,2.03517,0,2.87816,14901
81,5,22,23,32.218,1,2.03517,2.16529,0,2.9716,14930
82,7,10,21,24.2899,0,2.0356,2.0356,0,2.87877,13382
83,6,10,21,24.0208,1,2.0356,2.03611,0,2.87913,13381
84,21,22,18,35.3412,0,2.03606,2.03606,0,2.87943,11821
