Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,20,24,18,36.0555,0,2.22279,2.22279,0,3.1435,11870
1,11,17,17,26.4386,3,2.22279,2.4377,0,3.29897,11061
2,10,1,19,21.4942,0,2.22353,2.22353,0,3.14455,11910
3,20,19,17,32.4037,1,2.22353,2.33212,0,3.22225,11120
4,23,2,11,25.5734,0,2.22477,2.22477,0,3.1463,6948
5,8,21,11,25.02,1,2.22477,2.3294,0,3.22113,7408
6,10,15,21,27.6767,0,2.22501,2.22501,0,3.14664,13510
7,0,14,18,22.8035,1,2.22501,2.31548,0,3.21125,11600
8,5,23,18,29.6311,0,2.22672,2.22672,0,3.14906,11830
9,2,23,17,28.6705,1,2.22672,2.29713,0,3.19923,11202
10,20,13,21,31.7805,0,2.22686,2.22686,0,3.14925,13470
11,10,12,18,23.8328,1,2.22686,2.31106,0,3.20934,11560
12,23,5,16,28.4605,0,2.22889,2.22889,0,3.15213,10148
13,1,4,17,17.4929,1,2.22889,2.32477,0,3.22063,10726
14,20,10,16,27.4955,0,2.23158,2.23158,0,3.15593,10270
15,13,12,16,23.8537,1,2.23158,2.32832,0,3.22506,10313
16,5,9,16,19.0263,0,2.23227,2.23227,0,3.15691,10230
17,14,10,15,22.8254,1,2.23227,2.29512,0,3.20166,9639
18,22,16,13,30.1496,0,2.23232,2.23232,0,3.15698,8547
19,2,11,13,17.1464,1,2.23232,2.32808,0,3.22541,8402
20,8,15,13,21.4009,0,2.23237,2.23237,0,3.15705,8508
21,23,18,13,31.9687,1,2.23237,2.31466,0,3.21576,8598
22,8,1,11,13.6382,0,2.23455,2.23455,0,3.16013,6908
23,9,4,11,14.7648,1,2.23455,2.31196,0,3.21534,6984
24,6,12,21,24.9199,0,2.23456,2.23456,0,3.16014,13431
25,11,13,20,26.2679,1,2.23456,2.29302,0,3.20175,12836
26,24,16,21,35.6791,0,2.23456,2.23456,0,3.16015,13549
27,18,17,20,31.8277,1,2.23456,2.29124,0,3.20047,12943
28,13,7,16,21.7715,0,2.23628,2.23628,0,3.16257,10188
29,10,6,16,19.799,1,2.23628,2.32432,0,3.22543,10160
30,16,21,18,31.9531,0,2.23653,2.23653,0,3.16293,11791
31,10,20,18,28.7054,1,2.23653,2.32883,0,3.22885,11760
32,16,7,16,23.6854,0,2.23654,2.23654,0,3.16295,10191
33,14,7,16,22.383,1,2.23654,2.24239,0,3.16708,10189
34,8,4,16,18.3303,0,2.23657,2.23657,0,3.16298,10108
35,18,4,16,24.4131,1,2.23657,2.31658,0,3.22006,10118
36,20,2,24,31.305,0,2.23675,2.23675,0,3.16324,15070
37,0,18,22,28.4253,1,2.23675,2.32657,0,3.22738,14200
38,12,18,13,25.2389,0,2.23724,2.23724,0,3.16393,8587
39,10,16,13,22.9129,1,2.23724,2.31336,0,3.21821,8535
40,19,24,10,32.2025,0,2.23838,2.23838,0,3.16554,6869
41,17,23,10,30.2985,1,2.23838,2.32868,0,3.23003,6842
42,18,13,13,25.7294,0,2.23841,2.23841,0,3.16559,8468
43,21,14,13,28.3901,1,2.23841,2.32006,0,3.22384,8496
44,14,18,21,31,0,2.23846,2.23846,0,3.16566,13589
45,16,17,20,30.7409,1,2.23846,2.30392,0,3.21228,12941
46,23,13,8,27.6043,0,2.23853,2.23853,0,3.16575,5348
47,4,18,9,20.5183,1,2.23853,2.32443,0,3.22707,6079
48,4,20,13,24.1868,0,2.23853,2.23853,0,3.16576,8629
49,12,20,13,26.7021,1,2.23853,2.32238,0,3.22559,8637
50,9,4,24,25.9422,0,2.23862,2.23862,0,3.16588,15109
51,13,3,23,26.5895,1,2.23862,2.31269,0,3.21868,14463
52,18,2,16,24.1661,0,2.23899,2.23899,0,3.1664,10068
53,12,2,17,20.9045,1,2.23899,2.31951,0,3.22385,10687
54,16,10,21,28.2312,0,2.23914,2.23914,0,3.16662,13391
55,9,8,21,24.2074,1,2.23914,2.33139,0,3.23251,13334
56,2,20,18,26.9815,0,2.23915,2.23915,0,3.16663,11752
57,7,21,18,28.5307,1,2.23915,2.31659,0,3.22186,11782
58,8,12,8,16.4924,0,2.23967,2.23967,0,3.16737,5308
59,9,15,8,19.2354,1,2.23967,2.31057,0,3.2179,5384
60,23,19,18,34.8425,0,2.24044,2.24044,0,3.16847,11748
61,5,17,18,25.2587,1,2.24044,2.31873,0,3.2243,11680
62,2,9,21,22.9347,0,2.24051,2.24051,0,3.16856,13352
63,7,9,21,23.8956,1,2.24051,2.32248,0,3.22704,13357
64,12,4,11,16.7631,0,2.24124,2.24124,0,3.1696,6987
65,22,4,11,24.9199,1,2.24124,2.30491,0,3.21493,6997
66,21,19,5,28.7576,0,2.24161,2.24161,0,3.17011,3621
67,4,21,6,22.2036,1,2.24161,2.32248,0,3.2278,4279
68,24,5,24,34.3074,0,2.24223,2.24223,0,3.17099,15149
69,18,6,23,29.8161,1,2.24223,2.29272,0,3.20689,14543
70,8,18,18,26.6833,0,2.24226,2.24226,0,3.17103,11708
71,18,18,18,31.1769,1,2.24226,2.31845,0,3.22536,11718
72,17,2,3,17.3781,0,2.24274,2.24274,0,3.17171,1942
73,13,17,5,21.9773,1,2.24274,2.32435,0,3.22994,3563
74,15,5,11,19.2614,0,2.24352,2.24352,0,3.17282,7015
75,15,4,11,19.0263,1,2.24352,2.2601,0,3.18456,6990
76,21,5,3,21.7945,0,2.24412,2.24412,0,3.17367,2021
77,13,3,3,13.6748,1,2.24412,2.31934,0,3.22729,1963
78,6,1,24,24.7588,0,2.24417,2.24417,0,3.17374,15031
79,14,2,23,27,1,2.24417,2.29123,0,3.20718,14439
80,16,18,13,27.3679,0,2.24432,2.24432,0,3.17395,8591
81,15,18,13,26.7955,1,2.24432,2.24629,0,3.17534,8590
82,2,6,16,17.2047,0,2.24436,2.24436,0,3.17401,10152
83,7,6,16,18.4662,1,2.24436,2.31852,0,3.22687,10157
84,3,12,13,17.9444,0,2.24438,2.24438,0,3.17403,8428
85,13,12,13,21.9545,1,2.24438,2.32027,0,3.22814,8438
86,5,12,13,18.3848,0,2.2444,2.2444,0,3.17406,8430
87,4,12,13,18.1384,1,2.2444,2.2457,0,3.17498,8429
88,17,19,10,27.3861,0,2.24465,2.24465,0,3.17441,6742
89,8,16,10,20.4939,1,2.24465,2.32059,0,3.22855,6658
90,2,7,13,14.8997,0,2.24531,2.24531,0,3.17534,8302
91,12,9,13,19.8494,1,2.24531,2.32304,0,3.23077,8362
92,6,24,15,28.931,0,2.24532,2.24532,0,3.17536,9981
93,8,24,15,29.4109,1,2.24532,2.31761,0,3.22688,9983
94,6,15,0,16.1555,0,2.24559,2.24559,0,3.17574,381
95,17,18,2,24.8395,1,2.24559,2.32443,0,3.23197,1717
96,24,2,19,30.6757,0,2.24568,2.24568,0,3.17588,11949
97,18,2,18,25.5343,1,2.24568,2.29312,0,3.20959,11318
98,6,4,3,7.81025,0,2.24569,2.24569,0,3.17588,1981
99,17,4,3,17.72,1,2.24569,2.31455,0,3.22494,1992
100,6,10,13,17.4642,0,2.24573,2.24573,0,3.17594,8381
101,8,9,13,17.72,1,2.24573,2.32053,0,3.22926,8358
102,13,21,18,30.5614,0,2.24614,2.24614,0,3.17652,11788
103,14,21,18,31,1,2.24614,2.2538,0,3.18194,11789
104,0,6,16,17.088,0,2.24631,2.24631,0,3.17676,10150
105,1,6,16,17.1172,1,2.24631,2.25009,0,3.17943,10151
106,17,16,5,23.8747,0,2.24664,2.24664,0,3.17723,3542
107,4,15,4,16.0312,1,2.24664,2.32045,0,3.22984,2879
108,17,5,8,19.4422,0,2.24683,2.24683,0,3.17749,5142
109,4,4,7,9,1,2.24683,2.32053,0,3.23003,4479
110,2,4,8,9.16515,0,2.24694,2.24694,0,3.17765,5102
111,15,5,8,17.72,1,2.24694,2.30946,0,3.22216,5140
112,6,18,5,19.6214,0,2.24716,2.24716,0,3.17797,3581
113,18,18,5,25.9422,1,2.24716,2.30484,0,3.21901,3593
114,13,5,19,23.5584,0,2.24764,2.24764,0,3.17864,12013
115,16,3,18,24.2693,1,2.24764,2.30852,0,3.22198,11341
116,10,12,16,22.3607,0,2.24772,2.24772,0,3.17876,10310
117,17,18,15,28.9482,1,2.24772,2.31675,0,3.22794,9842
118,5,13,18,22.7596,0,2.24797,2.24797,0,3.17911,11580
119,7,13,19,24.0624,1,2.24797,2.30641,0,3.2207,12207
120,21,16,0,26.4008,0,2.24801,2.24801,0,3.17917,421
121,2,15,0,15.1327,1,2.24801,2.31815,0,3.22915,377
122,10,7,3,12.5698,0,2.24802,2.24802,0,3.17917,2060
123,16,6,3,17.3494,1,2.24802,2.31245,0,3.22506,2041
124,20,14,18,30.3315,0,2.24812,2.24812,0,3.17932,11620
125,8,13,19,24.3721,1,2.24812,2.30326,0,3.21855,12208
126,13,7,24,28.178,0,2.24813,2.24813,0,3.17934,15188
127,15,7,24,29.1548,1,2.24813,2.30299,0,3.21836,15190
128,10,18,0,20.5913,0,2.24819,2.24819,0,3.17942,460
129,16,17,0,23.3452,1,2.24819,2.31548,0,3.22735,441
130,5,7,11,13.9642,0,2.24821,2.24821,0,3.17944,7055
131,13,6,11,18.0555,1,2.24821,2.31662,0,3.22818,7038
132,0,17,13,21.4009,0,2.24822,2.24822,0,3.17947,8550
133,8,17,13,22.8473,1,2.24822,2.31464,0,3.22677,8558
134,3,9,24,25.807,0,2.24824,2.24824,0,3.17949,15228
135,5,8,23,24.8596,1,2.24824,2.29071,0,3.20967,14580
136,13,24,5,27.7489,0,2.24831,2.24831,0,3.17959,3738
137,16,20,5,26.096,1,2.24831,2.31266,0,3.22541,3641
138,23,24,5,33.6155,0,2.24836,2.24836,0,3.17966,3748
139,19,24,5,31.0161,1,2.24836,2.30184,0,3.2177,3744
140,3,15,5,16.0935,0,2.24838,2.24838,0,3.17969,3503
141,14,16,5,21.8403,1,2.24838,2.31072,0,3.22407,3539
142,10,10,8,16.2481,0,2.24842,2.24842,0,3.17975,5260
143,20,12,8,24.6577,1,2.24842,2.31235,0,3.22527,5320
144,16,22,15,31.0644,0,2.24845,2.24845,0,3.17979,9941
145,11,23,15,29.5804,1,2.24845,2.31668,0,3.2284,9961
146,24,22,5,32.9393,0,2.24875,2.24875,0,3.18021,3699
147,5,22,5,23.1084,1,2.24875,2.30735,0,3.22191,3680
148,7,7,8,12.7279,0,2.24876,2.24876,0,3.18023,5182
149,16,9,8,20.025,1,2.24876,2.31604,0,3.22815,5241
150,20,21,13,31.7805,0,2.24878,2.24878,0,3.18026,8670
151,14,21,12,27.9464,1,2.24878,2.30066,0,3.21715,8039
152,10,21,5,23.7908,0,2.24878,2.24878,0,3.18026,3660
153,14,21,5,25.7294,1,2.24878,2.29689,0,3.21446,3664
154,2,18,10,20.6882,0,2.24893,2.24893,0,3.18047,6702
155,4,18,10,20.9762,1,2.24893,2.30835,0,3.22276,6704
156,21,8,8,23.8537,0,2.24903,2.24903,0,3.18061,5221
157,8,7,8,13.3041,1,2.24903,2.30735,0,3.22211,5183
158,12,13,8,19.4165,0,2.24933,2.24933,0,3.18104,5337
159,10,12,8,17.5499,1,2.24933,2.27951,0,3.20244,5310
