Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,3,7,19,20.4695,0,2.25855,2.25855,0,3.19407,12053
1,3,0,23,23.1948,3,2.25855,2.41818,0,3.30888,14378
2,13,19,21,31.1609,0,2.25918,2.25918,0,3.19496,13613
3,7,15,18,24.454,1,2.25918,2.3342,0,3.24844,11632
4,14,16,16,26.6083,0,2.25921,2.25921,0,3.19501,10414
5,8,9,16,20.025,1,2.25921,2.3342,0,3.24847,10233
6,4,21,21,29.9666,0,2.26038,2.26038,0,3.19666,13654
7,19,18,20,32.9393,1,2.26038,2.33122,0,3.24714,12969
8,18,11,24,31.9531,0,2.26187,2.26187,0,3.19877,15293
9,22,14,23,34.7707,1,2.26187,2.34591,0,3.25874,14747
10,24,3,19,30.7571,0,2.26283,2.26283,0,3.20012,11974
11,20,2,17,26.3249,1,2.26283,2.32992,0,3.24791,10695
12,18,22,21,35.3412,0,2.26287,2.26287,0,3.20018,13693
13,18,22,20,34.7563,1,2.26287,2.34787,0,3.26084,13068
14,24,17,21,36.1386,0,2.26295,2.26295,0,3.20029,13574
15,14,15,20,28.6531,1,2.26295,2.33175,0,3.24931,12889
16,9,16,21,27.8927,0,2.26346,2.26346,0,3.20101,13534
17,14,17,21,30.4302,1,2.26346,2.32613,0,3.24563,13564
18,18,8,19,27.3679,0,2.26357,2.26357,0,3.20117,12093
19,18,8,18,26.6833,1,2.26357,2.34199,0,3.2571,11468
20,9,2,19,21.1187,0,2.26359,2.26359,0,3.2012,11934
21,14,3,19,23.7908,1,2.26359,2.31743,0,3.23949,11964
22,14,5,19,24.1247,0,2.26371,2.26371,0,3.20137,12014
23,19,4,18,26.4764,1,2.26371,2.32964,0,3.24832,11369
24,14,8,24,28.9137,0,2.2638,2.2638,0,3.20149,15214
25,7,12,21,25.1794,1,2.2638,2.33615,0,3.25306,13432
26,24,14,16,32.0624,0,2.26383,2.26383,0,3.20153,10374
27,19,15,15,28.4781,1,2.26383,2.32983,0,3.24854,9769
28,4,10,24,26.3059,0,2.26394,2.26394,0,3.20169,15254
29,19,7,23,30.6431,1,2.26394,2.33116,0,3.24957,14569
30,8,13,24,28.4429,0,2.26431,2.26431,0,3.20221,15333
31,15,11,22,28.8097,1,2.26431,2.33663,0,3.25376,14040
32,14,0,19,23.6008,0,2.26469,2.26469,0,3.20276,11889
33,4,1,19,19.4422,1,2.26469,2.34006,0,3.25649,11904
34,24,6,24,34.4674,0,2.26561,2.26561,0,3.20405,15174
35,22,5,21,30.8221,1,2.26561,2.33224,0,3.25151,13272
36,7,24,21,32.6497,0,2.26579,2.26579,0,3.20432,13732
37,15,22,19,32.7109,1,2.26579,2.33428,0,3.2531,12440
38,0,4,19,19.4165,0,2.26718,2.26718,0,3.20627,11975
39,5,5,19,20.2731,1,2.26718,2.32881,0,3.25015,12005
40,9,5,24,26.1151,0,2.26742,2.26742,0,3.20662,15134
41,14,6,24,28.4253,1,2.26742,2.32718,0,3.24915,15164
42,0,15,16,21.9317,0,2.2687,2.2687,0,3.20842,10375
43,2,16,16,22.7156,1,2.2687,2.31489,0,3.24125,10402
44,0,7,24,25,0,2.26976,2.26976,0,3.20992,15175
45,4,6,23,24.1039,1,2.26976,2.33113,0,3.25361,14529
46,0,18,21,27.6586,0,2.27175,2.27175,0,3.21274,13575
47,4,17,20,26.5518,1,2.27175,2.33144,0,3.25522,12929
48,3,2,19,19.3391,0,2.27217,2.27217,0,3.21334,11928
49,4,2,19,19.5192,1,2.27217,2.30745,0,3.23838,11929
50,19,3,24,30.7571,0,2.2723,2.2723,0,3.21351,15094
51,15,2,22,26.7021,1,2.2723,2.33707,0,3.25964,13815
52,17,19,16,30.0998,0,2.27297,2.27297,0,3.21447,10492
53,12,19,16,27.5862,1,2.27297,2.34324,0,3.26454,10487
54,3,18,16,24.2693,0,2.2731,2.2731,0,3.21465,10453
55,9,17,15,24.3926,1,2.2731,2.32765,0,3.25345,9809
56,13,2,14,19.2094,0,2.27374,2.27374,0,3.21555,8813
57,15,5,12,19.8494,1,2.27374,2.33072,0,3.25609,7640
58,17,5,14,22.5832,0,2.27437,2.27437,0,3.21645,8892
59,12,5,14,19.105,1,2.27437,2.33897,0,3.26244,8887
60,2,4,14,14.6969,0,2.27464,2.27464,0,3.21683,8852
