Point ID,Coordinates_0,Coordinates_1,Coordinates_2,Coordinates_Magnitude,CriticalType,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,7,7,24,25.9615,0,2.07834,2.07834,0,2.93921,15182
1,22,1,23,31.8434,3,2.07834,2.40019,0,3.17497,14422
2,21,8,24,32.8786,0,2.08419,2.08419,0,2.94749,15221
3,17,8,24,30.4795,1,2.08419,2.22223,0,3.04667,15217
4,22,0,24,32.5576,0,2.08592,2.08592,0,2.94994,15022
5,8,4,24,25.6125,1,2.08592,2.2424,0,3.06259,15108
6,11,10,24,28.2312,0,2.08615,2.08615,0,2.95026,15261
7,16,10,24,30.5287,1,2.08615,2.23654,0,3.05845,15266
8,12,2,24,26.9072,0,2.08982,2.08982,0,2.95546,15062
9,19,1,24,30.6268,1,2.08982,2.23902,0,3.06277,15044
10,7,18,21,28.5307,0,2.09006,2.09006,0,2.95579,13582
11,6,12,24,27.4955,1,2.09006,2.24826,0,3.06969,15306
12,17,5,24,29.8329,0,2.09201,2.09201,0,2.95855,15142
13,12,7,24,27.7308,1,2.09201,2.24045,0,3.06531,15187
14,1,4,24,24.3516,0,2.09372,2.09372,0,2.96097,15101
15,10,5,24,26.4764,1,2.09372,2.20474,0,3.04048,15135
16,22,11,21,32.3419,0,2.09742,2.09742,0,2.9662,13422
17,12,18,21,30.1496,1,2.09742,2.24045,0,3.069,13587
18,11,21,21,31.6702,0,2.10178,2.10178,0,2.97236,13661
19,16,21,21,33.7343,1,2.10178,2.2424,0,3.07341,13666
20,3,15,21,25.9808,0,2.10373,2.10373,0,2.97512,13503
21,22,16,21,34.3657,1,2.10373,2.23654,0,3.07047,13547
22,22,19,21,35.8608,0,2.10373,2.10373,0,2.97512,13622
23,15,19,21,32.0468,1,2.10373,2.23216,0,3.06728,13615
24,1,21,23,31.1609,0,2.10513,2.10513,0,2.97711,14901
25,8,21,22,31.4484,1,2.10513,2.22018,0,3.05954,14283
26,17,16,21,31.4006,0,2.10568,2.10568,0,2.97788,13542
27,12,16,22,29.7321,1,2.10568,2.22127,0,3.06071,14162
28,7,4,19,20.6398,0,2.10568,2.10568,0,2.97788,11982
29,15,5,19,24.7184,1,2.10568,2.25211,0,3.08317,12015
30,1,12,24,26.8514,0,2.10568,2.10568,0,2.97788,15301
31,10,13,24,29.0689,1,2.10568,2.24665,0,3.07917,15335
32,12,13,21,27.4591,0,2.10747,2.10747,0,2.98041,13462
33,19,13,21,31.1609,1,2.10747,2.23459,0,3.07161,13469
34,17,2,19,25.5734,0,2.10764,2.10764,0,2.98065,11942
35,12,4,19,22.8254,1,2.10764,2.23459,0,3.07173,11987
36,7,24,23,33.9706,0,2.10907,2.10907,0,2.98268,14982
37,6,23,21,31.7175,1,2.10907,2.24826,0,3.08267,13706
38,6,10,21,24.0208,0,2.11341,2.11341,0,2.98881,13381
39,17,11,22,29.8998,1,2.11341,2.21587,0,3.06211,14042
40,11,19,23,31.7962,0,2.11697,2.11697,0,2.99384,14861
41,14,19,24,33.6601,1,2.11697,2.21879,0,3.06669,15489
42,22,5,19,29.4958,0,2.12108,2.12108,0,2.99966,12022
43,17,7,19,26.4386,1,2.12108,2.24435,0,3.08806,12067
44,3,1,19,19.2614,0,2.12131,2.12131,0,2.99998,11903
45,13,2,20,23.9374,1,2.12131,2.22632,0,3.07513,12563
